grid,velocity,spread_rate,lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.359412651,-1.03096139e-19,-724.223643,300,0.651698552,5.66434139e-13,-2.16875643e-15,1.1289616e-14,3.07482404e-15,1.19924357e-18,2.27051338e-16,1.21621371e-21,1.84823676e-17,1.67978499e-15,-3.78228404e-15,1.12868021e-19,-7.07427579e-15,1.02763051e-16,1,1.19471397e-19,1.20321481e-17,2.34180601e-20,2.68445066e-16,7.2421937e-16,8.56763471e-22,6.40056021e-15,4.57565647e-16,-7.27642627e-20,3.72932169e-14,2.14926331e-15,2.33205088e-18,1.46315948e-19,1.42432989e-21,1.40360233e-20,-8.37700233e-15,-2.72877707e-15,2.01217177e-14,-3.53564112e-15,1.27713937e-20,-1.21729586e-37,1.85841002e-14,5.98816899e-20,3.17727446e-15,3.13845347e-15,6.39061475e-20,2.17377098e-15,9.73812172e-21,9.2114372e-22,-3.2228917e-15,-7.79387475e-19,1.49448049e-14,2.15678978e-21,-5.19096952e-18,-1.51386579e-18,4.76196473e-19,4.10567007e-17,3.3115889e-19,2.77543261e-15
0.000375,0.358977845,1.15948157,-724.223643,300,0.651698552,1.59970195e-12,-2.36229639e-15,1.00895211e-14,3.07408168e-15,6.26719165e-18,1.58448571e-15,2.07419511e-20,1.84310949e-17,1.67960369e-15,-1.87638807e-21,1.1334738e-19,-4.69610403e-21,7.04204297e-16,1,8.37100708e-19,1.20368266e-17,1.88051241e-19,2.68380151e-16,7.24253087e-16,8.74483661e-22,6.4005586e-15,4.57084865e-16,-4.38167195e-19,1.2081659e-14,1.92287783e-14,2.32940659e-18,1.45283355e-19,1.55154615e-21,2.72594961e-19,-8.37705822e-15,-2.72856286e-15,2.01215375e-14,-3.53556424e-15,1.27755387e-20,-8.60765519e-37,1.85837237e-14,9.61984922e-20,3.17727421e-15,3.13826658e-15,3.22751768e-19,2.17377066e-15,7.06146237e-21,9.21632552e-22,-3.22289351e-15,-7.79952468e-19,1.49448071e-14,2.15892515e-21,-5.04398892e-18,-1.51386577e-18,4.76330197e-19,4.10566734e-17,3.45749289e-19,2.77543239e-15
0.00075,0.357673428,2.31896315,-724.223643,300,0.651698552,4.5170297e-12,-2.35359697e-15,9.01544358e-15,3.07343186e-15,5.63089533e-18,2.80539943e-15,4.05203068e-20,1.83845864e-17,1.67938365e-15,5.89425881e-26,1.13672848e-19,-4.91799741e-27,7.04794581e-15,1,1.6222661e-18,1.20415625e-17,3.43187483e-19,2.68372301e-16,7.24286876e-16,8.64412593e-22,6.40055707e-15,4.56619623e-16,-4.91761143e-19,3.89608683e-15,2.77413254e-14,2.32451544e-18,1.30403968e-19,1.66672301e-21,3.83688586e-19,-8.37711297e-15,-2.72834742e-15,2.01213774e-14,-3.53549495e-15,1.28061919e-20,-8.60517701e-37,1.85833019e-14,1.2808762e-19,3.17727399e-15,3.13809792e-15,5.82914489e-19,2.1737704e-15,4.87304659e-21,9.22133165e-22,-3.22289537e-15,-7.80529039e-19,1.49448093e-14,2.16223379e-21,-4.01257893e-18,-1.51386575e-18,4.7646247e-19,4.10565671e-17,3.52013084e-19,2.7754322e-15
0.001125,0.3554994,3.47844472,-724.223643,300,0.651698552,1.27344244e-11,-2.34483721e-15,8.05298522e-15,3.07285912e-15,5.0299406e-18,3.90127304e-15,6.07748461e-20,1.83424502e-17,1.6791844e-15,5.33356886e-26,1.13859392e-19,-1.80969735e-27,1.01789613e-14,1,2.79433867e-18,1.20503168e-17,4.96348601e-19,2.68332875e-16,7.24320825e-16,8.51871047e-22,6.40055552e-15,4.56138812e-16,-4.82421671e-19,1.24765514e-15,3.04958363e-14,2.31904464e-18,1.08134596e-20,1.77076321e-21,4.5140316e-19,-8.37716654e-15,-2.72812967e-15,2.01212353e-14,-3.53543232e-15,1.30254207e-20,-8.60308708e-37,1.85828368e-14,1.56000605e-19,3.17727376e-15,3.13794522e-15,8.45330341e-19,2.1737701e-15,2.50781876e-21,9.22650405e-22,-3.22289732e-15,-7.81122016e-19,1.49448116e-14,2.16688646e-21,3.19270194e-18,-1.51386573e-18,4.76593108e-19,4.1056469e-17,3.55377804e-19,2.77543202e-15
0.0015,0.352455761,4.63792629,-724.223643,300,0.651698552,3.57900044e-11,-2.33592719e-15,7.18925127e-15,3.07239221e-15,4.49044556e-18,4.89739424e-15,8.16141369e-20,1.83042351e-17,1.67901521e-15,4.74142258e-26,1.13917086e-19,-1.80138612e-27,1.21492559e-14,1,6.95133205e-18,1.20972984e-17,6.50250372e-19,2.68254348e-16,7.24355036e-16,8.50018566e-22,6.40055394e-15,4.55567591e-16,-4.02150847e-19,3.95994936e-16,3.13818215e-14,2.31350227e-18,-6.56309971e-19,1.86481928e-21,5.05974592e-19,-8.37721903e-15,-2.72790939e-15,2.01211091e-14,-3.53537568e-15,1.45744961e-20,-8.60998757e-37,1.85823353e-14,1.80326217e-19,3.17727352e-15,3.13780683e-15,1.11083267e-18,2.17376986e-15,4.01649541e-22,9.23187012e-22,-3.22289934e-15,-7.81733905e-19,1.4944814e-14,2.17303263e-21,5.32543648e-17,-1.51386571e-18,4.76722097e-19,4.10564344e-17,3.57646849e-19,2.77543187e-15
0.001875,0.348542511,5.79740785,-724.223643,300,0.651698552,1.00120656e-10,-2.32669531e-15,6.41316445e-15,3.07229158e-15,4.00569422e-18,5.87909837e-15,1.0310951e-19,1.82695932e-17,1.67885055e-15,4.20562013e-26,1.13852544e-19,-1.793038e-27,1.36319503e-14,1,3.21269597e-17,1.24791754e-17,8.06052666e-19,2.68164043e-16,7.24389605e-16,8.59865093e-22,6.40055236e-15,4.547039e-16,4.46801386e-20,1.24329972e-16,3.16646112e-14,2.30802748e-18,-1.92845459e-19,1.94987983e-21,5.56294342e-19,-8.37727059e-15,-2.72768787e-15,2.0120997e-14,-3.53532445e-15,2.54183777e-20,-8.66929087e-37,1.85818342e-14,2.01405307e-19,3.17727326e-15,3.13768141e-15,1.38025478e-18,2.17377042e-15,2.69709802e-21,9.23744883e-22,-3.22290145e-15,-7.8236635e-19,1.49448166e-14,2.18085194e-21,3.98517679e-16,-1.51386569e-18,4.76849399e-19,4.10564568e-17,3.59429903e-19,2.77543173e-15
0.00225,0.34375965,6.95688942,-724.223643,300,0.651698551,2.78340009e-10,-2.31680364e-15,5.71648916e-15,3.0743583e-15,3.57054379e-18,7.34782025e-15,1.2536229e-19,1.82382982e-17,1.67860226e-15,3.72213859e-26,1.13665437e-19,-1.7780608e-27,1.47439719e-14,1,2.01930608e-16,1.57443494e-17,9.64538561e-19,2.68145895e-16,7.24424657e-16,8.79805346e-22,6.4005509e-15,4.52920419e-16,2.20898983e-18,3.8066291e-17,3.17545924e-14,2.30263926e-18,8.88684828e-17,2.02688923e-21,6.05109716e-19,-8.37732136e-15,-2.72746528e-15,2.01208977e-14,-3.53527821e-15,1.00555431e-19,-9.08303799e-37,1.85815781e-14,2.1954995e-19,3.17727301e-15,3.13756804e-15,1.65470398e-18,2.17377544e-15,2.69302616e-20,9.24326838e-22,-3.22290354e-15,-7.83020508e-19,1.494482e-14,2.19063738e-21,2.75710032e-15,-1.51386568e-18,4.7697418e-19,4.10565243e-17,3.60940434e-19,2.77543161e-15
0.003,0.331585097,9.27585256,-724.223643,300,0.651698545,1.56832931e-09,-2.29303629e-15,4.56347653e-15,3.12118969e-15,2.85036046e-18,2.16088138e-14,1.73243828e-19,1.8186744e-17,1.67770559e-15,2.91537831e-26,1.12873106e-19,-1.75317293e-27,1.44172176e-14,0.999999998,3.4861838e-15,9.57641306e-17,1.29451648e-18,2.68379868e-16,7.24497236e-16,9.47690312e-22,6.40055001e-15,4.39148497e-16,3.24313089e-17,6.52695155e-18,3.17898341e-14,2.29213657e-18,2.27472425e-15,2.16022087e-21,7.02723877e-19,-8.37742051e-15,-2.72676108e-15,2.01207373e-14,-3.53520071e-15,1.56857358e-18,4.4564055e-37,1.85867651e-14,2.48065959e-19,3.17727255e-15,3.13737936e-15,2.2271399e-18,2.17375474e-15,-3.30094678e-19,9.2559009e-22,-3.22290495e-15,-7.84388499e-19,1.49448461e-14,2.21913306e-21,4.81685328e-14,-1.5138657e-18,4.77214767e-19,4.10567666e-17,3.63333191e-19,2.7754314e-15
0.00375,0.315932108,11.5948157,-724.223643,300,0.651698519,7.20359973e-09,-2.25728261e-15,3.61171237e-15,3.69153524e-15,2.25587898e-18,1.78517704e-13,2.27901429e-19,1.8150542e-17,1.67624198e-15,2.24195626e-26,1.11668076e-19,-1.74254386e-27,1.09967954e-14,0.999999993,4.3512649e-14,1.33488445e-15,1.64174188e-18,2.68955498e-16,7.24573837e-16,1.05304128e-21,6.40058051e-15,3.83380875e-16,3.29356622e-16,1.06495516e-18,3.18287308e-14,2.28226332e-18,7.13454826e-15,2.32486759e-21,8.34708948e-19,-8.37751173e-15,-2.7256653e-15,2.01206091e-14,-3.53513251e-15,1.95913437e-17,1.56178287e-35,1.86650255e-14,2.96242695e-19,3.17727328e-15,3.13722397e-15,2.8319943e-18,2.1741642e-15,-1.30055464e-18,9.26985751e-22,-3.22285606e-15,-7.85260352e-19,1.49451689e-14,2.26106754e-21,5.97423583e-13,-1.51386581e-18,4.77449586e-19,4.10572018e-17,3.65292676e-19,2.77543123e-15
0.0045,0.296800713,13.9137789,-724.223643,300,0.651698412,3.09249849e-08,-2.18957575e-15,2.8218112e-15,1.02548474e-14,1.76250093e-18,1.97307748e-12,3.18652394e-19,1.81937425e-17,1.67404939e-15,1.66118286e-26,1.10059223e-19,-1.76475621e-27,3.82238506e-15,0.999999969,5.10351246e-13,1.96765204e-14,2.00835282e-18,2.71421333e-16,7.24657036e-16,1.36911589e-21,6.4011018e-15,1.79991332e-16,3.97502211e-15,1.64454378e-19,3.23227374e-14,2.28322173e-18,1.54904676e-14,2.98153597e-21,1.56041062e-18,-8.37747545e-15,-2.72404436e-15,2.01205106e-14,-3.53504652e-15,2.31249365e-16,1.71827237e-34,1.95966279e-14,7.16130528e-19,3.17729208e-15,3.13709967e-15,3.4767815e-18,2.18271199e-15,-3.1168161e-18,9.28563044e-22,-3.22205517e-15,-7.77079531e-19,1.49498836e-14,2.33600912e-21,6.95302516e-12,-1.51386625e-18,4.77735768e-19,4.10595323e-17,3.67445955e-19,2.77543165e-15
