grid,velocity,spread_rate,lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.600995439,-2.97423325e-19,-1772.93193,300,0.651698552,1.27329788e-15,1.40002723e-15,-2.73151239e-14,-2.43612785e-17,-4.95140477e-16,-2.60713013e-16,-4.36547619e-21,2.83919994e-17,-1.02759571e-14,-3.65254868e-14,-9.30196302e-17,4.59390103e-14,9.32463868e-15,1,2.52965686e-20,7.2930939e-17,-7.14794257e-15,9.6084629e-16,1.63200821e-24,1.248572e-19,6.86714378e-16,-4.22194123e-16,-1.19467429e-19,4.78664762e-21,-6.37287782e-15,1.3913907e-17,2.61821148e-16,2.07764293e-20,-8.27595284e-16,9.35033378e-17,6.30629678e-15,1.92200613e-15,-8.61145164e-15,5.31284421e-15,3.61545251e-38,6.02526098e-17,-1.8837231e-16,-4.8448264e-17,4.6035495e-15,4.90009953e-21,1.2715994e-15,1.45971502e-18,4.51647593e-21,2.97305821e-15,5.32591062e-19,-8.20160321e-20,-1.67627537e-17,-1.38474618e-14,1.34628911e-18,1.02262801e-20,-5.72441639e-14,1.56528071e-17,-3.75475008e-15
0.000375,0.600358883,1.69748286,-1772.93193,300,0.651698552,1.30002874e-15,-7.85902121e-16,-2.54709308e-14,-2.43612748e-17,-2.02671103e-17,-2.86707842e-15,-4.39424637e-21,2.83920138e-17,-1.02752799e-14,-2.77511128e-20,-9.25268419e-17,4.80075116e-20,1.00581613e-13,1,3.76292817e-19,7.29294356e-17,-7.14869479e-15,9.60242685e-16,-5.83970362e-24,1.24833514e-19,6.86709758e-16,-4.2219521e-16,-1.59139232e-18,2.10621648e-21,-9.105648e-14,1.39150671e-17,3.73156101e-15,2.10496822e-20,-8.26034256e-16,9.35033381e-17,6.30645928e-15,1.92200604e-15,-8.61145165e-15,5.3128443e-15,4.03191547e-37,6.02220216e-17,-1.88371347e-16,-4.84482591e-17,4.60358018e-15,4.90013394e-21,1.27155676e-15,1.1726933e-18,4.51647926e-21,2.97305836e-15,5.32591051e-19,-8.19367426e-20,-1.67624134e-17,-1.38474618e-14,1.34628912e-18,1.02261225e-20,-5.72441657e-14,1.40564237e-17,-3.75475007e-15
0.00075,0.598449215,3.39496571,-1772.93193,300,0.651698552,1.41886612e-15,-7.83989724e-16,-2.37450339e-14,-2.43612711e-17,-1.48700792e-17,-4.82166908e-15,-4.42303961e-21,2.83920282e-17,-1.02746399e-14,-2.23314814e-26,-9.20342688e-17,4.98085795e-26,9.42145268e-14,1,7.61996265e-19,7.29280417e-17,-7.14944934e-15,9.5969123e-16,-1.32375895e-23,1.24809625e-19,6.8670927e-16,-4.22196413e-16,-2.98251359e-18,9.41692832e-22,-9.10565449e-14,1.3916098e-17,6.83169486e-15,2.13197628e-20,-8.24474865e-16,9.35033381e-17,6.30657342e-15,1.92200596e-15,-8.61145181e-15,5.31284452e-15,3.96721876e-37,6.01922898e-17,-1.88370379e-16,-4.8448254e-17,4.60360989e-15,4.90017994e-21,1.27152683e-15,9.6903367e-19,4.51648203e-21,2.97305851e-15,5.32591047e-19,-8.18483546e-20,-1.67620788e-17,-1.38474617e-14,1.34628913e-18,1.02259616e-20,-5.72441672e-14,1.24615672e-17,-3.75475e-15
0.001125,0.595266434,5.09244857,-1772.93193,300,0.651698552,1.90951373e-15,-7.82064927e-16,-2.21267115e-14,-2.43612672e-17,-1.38200814e-17,-6.64991447e-15,-4.4521269e-21,2.8392043e-17,-1.02740361e-14,-1.31422168e-27,-9.15406208e-17,-1.41564318e-28,8.84348412e-14,1,1.18462437e-18,7.29267428e-17,-7.15021216e-15,9.59186121e-16,-2.06279361e-23,1.24785486e-19,6.86708858e-16,-4.2219781e-16,-4.29482578e-18,4.17580728e-22,-9.10565466e-14,1.39169955e-17,9.55120542e-15,2.15866269e-20,-8.2291594e-16,9.35033379e-17,6.30663689e-15,1.92200589e-15,-8.61145205e-15,5.31284482e-15,3.91139663e-37,6.01633448e-17,-1.88369407e-16,-4.84482488e-17,4.60363874e-15,4.90024415e-21,1.27151022e-15,8.52656077e-19,4.51648468e-21,2.97305865e-15,5.32591042e-19,-8.17529322e-20,-1.67617494e-17,-1.38474617e-14,1.34628913e-18,1.02258001e-20,-5.72441686e-14,1.08670828e-17,-3.75474991e-15
0.0015,0.590810542,6.78993141,-1772.93193,300,0.651698552,3.89423627e-15,-7.80124006e-16,-2.06066976e-14,-2.43612631e-17,-1.28703691e-17,-8.36702197e-15,-4.48172279e-21,2.8392058e-17,-1.02734687e-14,-1.30631908e-27,-9.10446832e-17,-1.34499707e-28,8.32352756e-14,1,1.64503193e-18,7.29255165e-17,-7.15098699e-15,9.58722986e-16,-2.80197725e-23,1.24761114e-19,6.86708482e-16,-4.22199456e-16,-5.52824018e-18,1.72335427e-22,-9.10565493e-14,1.39177546e-17,1.18761852e-14,2.18509149e-20,-8.21355239e-16,9.35033376e-17,6.30664713e-15,1.92200582e-15,-8.61145228e-15,5.31284509e-15,3.86624571e-37,6.01351415e-17,-1.88368433e-16,-4.84482437e-17,4.60366688e-15,4.90033064e-21,1.27150756e-15,8.27806148e-19,4.51648691e-21,2.97305879e-15,5.32591038e-19,-8.16556171e-20,-1.67614247e-17,-1.38474616e-14,1.34628913e-18,1.02256399e-20,-5.72441698e-14,9.27072433e-18,-3.75474983e-15
0.001875,0.585081537,8.48741425,-1772.93193,300,0.651698552,1.18455354e-14,-7.78161005e-16,-1.91770914e-14,-2.43612586e-17,-1.1977474e-17,-9.98211641e-15,-4.51196558e-21,2.83920734e-17,-1.02729386e-14,-1.29754217e-27,-9.05452602e-17,-1.27964833e-28,7.86197147e-14,1,2.14340614e-18,7.29243387e-17,-7.15177633e-15,9.58298164e-16,-3.54271741e-23,1.24736491e-19,6.86708136e-16,-4.22201375e-16,-6.68100605e-18,5.89791595e-23,-9.10565529e-14,1.39183685e-17,1.37883302e-14,2.21134442e-20,-8.19789638e-16,9.35033375e-17,6.30660077e-15,1.92200576e-15,-8.61145245e-15,5.31284529e-15,3.82846047e-37,6.01076132e-17,-1.88367457e-16,-4.84482385e-17,4.60369441e-15,4.90044165e-21,1.2715197e-15,8.99874492e-19,4.51648856e-21,2.97305894e-15,5.32591035e-19,-8.15588223e-20,-1.6761104e-17,-1.38474615e-14,1.34628914e-18,1.02254806e-20,-5.72441708e-14,7.66931696e-18,-3.75474977e-15
0.00225,0.578079421,10.1848971,-1772.93193,300,0.651698552,4.34372671e-14,-7.76167592e-16,-1.78325114e-14,-2.43612526e-17,-1.1137687e-17,-1.15018181e-14,-4.54297704e-21,2.83920891e-17,-1.02724486e-14,-1.28830788e-27,-9.0040931e-17,-1.21974795e-28,7.46129739e-14,1,2.67974795e-18,7.2923188e-17,-7.1525819e-15,9.57908644e-16,-4.28693115e-23,1.24711562e-19,6.86707819e-16,-4.22203576e-16,-7.74832092e-18,1.09880009e-23,-9.10565576e-14,1.39188262e-17,1.52557102e-14,2.23752115e-20,-8.18215114e-16,9.35033374e-17,6.30649177e-15,1.92200571e-15,-8.61145256e-15,5.31284542e-15,3.79453603e-37,6.00806751e-17,-1.88366478e-16,-4.8448233e-17,4.6037214e-15,4.90057935e-21,1.27154794e-15,1.07750255e-18,4.51648961e-21,2.97305909e-15,5.32591034e-19,-8.14619848e-20,-1.67607864e-17,-1.38474609e-14,1.34628915e-18,1.02253207e-20,-5.72441715e-14,6.05874178e-18,-3.75474974e-15
0.003,0.560255851,13.5798628,-1772.93193,300,0.651698552,3.84936699e-13,-7.72044856e-16,-1.54223305e-14,-2.43612037e-17,-9.63235594e-18,-1.42238379e-14,-4.60836861e-21,2.83921224e-17,-1.02716299e-14,-1.26919143e-27,-8.90066182e-17,-1.11520966e-28,6.90053848e-14,1,3.8980148e-18,7.29209055e-17,-7.15426672e-15,9.57247982e-16,-5.79996619e-23,1.24660161e-19,6.86707289e-16,-4.22208699e-16,-9.53060295e-18,-8.22725389e-24,-9.10565703e-14,1.39190793e-17,1.63065385e-14,2.29017023e-20,-8.15008154e-16,9.35033372e-17,6.30601178e-15,1.92200561e-15,-8.61145273e-15,5.31284552e-15,3.73055169e-37,6.00284592e-17,-1.88364491e-16,-4.84482153e-17,4.60377383e-15,4.90096306e-21,1.27167373e-15,1.88683754e-18,4.51648971e-21,2.97305943e-15,5.32591033e-19,-8.12589796e-20,-1.67601576e-17,-1.38474435e-14,1.34628915e-18,1.02249871e-20,-5.72441719e-14,2.77813584e-18,-3.75474971e-15
0.00375,0.537339832,16.9748284,-1772.93193,300,0.651698552,2.67010348e-12,-7.67680323e-16,-1.32580882e-14,-2.4360447e-17,-8.28063101e-18,-1.66679564e-14,-4.67791338e-21,2.83921579e-17,-1.02709925e-14,-1.24965375e-27,-8.79348062e-17,-1.02576354e-28,6.6013315e-14,1,5.29172715e-18,7.29186905e-17,-7.15604421e-15,9.56689314e-16,-7.35567555e-23,1.24606592e-19,6.86706847e-16,-4.22208627e-16,-1.09268618e-17,-7.06014615e-24,-9.10565869e-14,1.39185764e-17,1.52076735e-14,2.3439607e-20,-8.11705754e-16,9.35033368e-17,6.30522432e-15,1.92200557e-15,-8.61145285e-15,5.31284557e-15,3.66565523e-37,5.9977294e-17,-1.88362458e-16,-4.84481971e-17,4.60382529e-15,4.90147105e-21,1.27188012e-15,3.22413055e-18,4.51648798e-21,2.97305979e-15,5.32591035e-19,-8.10409503e-20,-1.67595278e-17,-1.38471029e-14,1.34628916e-18,1.02246139e-20,-5.72441712e-14,-6.00332678e-19,-3.75474971e-15
0.0045,0.509331365,20.3697941,-1772.93193,300,0.651698552,1.74292267e-11,-7.62796724e-16,-1.13044349e-14,-2.43464016e-17,-7.06043417e-18,-1.8871412e-14,-4.75236791e-21,2.83921963e-17,-1.02705546e-14,-1.22977324e-27,-8.68127754e-17,-9.49307276e-29,6.58538949e-14,1,7.27188748e-18,7.29197341e-17,-7.15793614e-15,9.56217263e-16,-8.97420367e-23,1.24550152e-19,6.8670648e-16,-4.22172156e-16,-1.19260811e-17,-3.59257719e-24,-9.10566078e-14,1.39172135e-17,1.16644113e-14,2.39979872e-20,-8.08265575e-16,9.35033363e-17,6.30408527e-15,1.92200559e-15,-8.61145294e-15,5.31284578e-15,3.59632912e-37,5.99272723e-17,-1.88360357e-16,-4.84481768e-17,4.60387642e-15,4.90211811e-21,1.27217958e-15,5.17097475e-18,4.51648435e-21,2.97306016e-15,5.32591042e-19,-8.08023966e-20,-1.6758889e-17,-1.38406408e-14,1.34628917e-18,1.02242028e-20,-5.72441692e-14,-4.11999471e-18,-3.75474971e-15
