z,u,V,T,rho,Z,PV,chiZ,S_n,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.000000000000000000e+00,4.348893070000000027e-01,1.083587069999999930e-18,3.000000000000000000e+02,6.516985520000000420e-01,9.999999999999917843e-01,5.427642642512000837e-15,9.599560704422802899e-22,-1.364517333333352012e+00,2.187721319999794007e-14,8.778762969999173614e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.481398439999672069e-20,3.814832039999640738e-19,0.000000000000000000e+00,6.225220679999414358e-15,0.000000000000000000e+00,2.237562979999789169e-14,6.712602279999368753e-15,9.999999999999058531e-01,1.428191449999865359e-19,3.831891569999639362e-17,0.000000000000000000e+00,0.000000000000000000e+00,1.654589939999844205e-18,5.430189779999488085e-20,0.000000000000000000e+00,6.094929329999427229e-15,0.000000000000000000e+00,1.137109429999893066e-15,1.615920689999848056e-15,3.798362999999642648e-18,5.113217619999518515e-18,6.892106019999352020e-21,1.072396909999899004e-19,0.000000000000000000e+00,3.689578759999653412e-15,2.098697449999802420e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.598198969999849726e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195814399999605393e-20,7.174677729999325994e-15,0.000000000000000000e+00,1.385339279999869558e-14,1.610820819999848422e-18,0.000000000000000000e+00,9.267551079999127745e-19,2.121402299999800156e-20,4.471063849999579358e-16,3.637914039999657327e-18,0.000000000000000000e+00
3.750000000000000078e-04,4.343776129999999958e-01,1.364517820000000103e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,1.680506038881487622e-14,0.000000000000000000e+00,-4.093554666666647357e+00,6.775096169998821328e-14,1.200924379999791147e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.480753529999394050e-20,3.506157339999389473e-19,0.000000000000000000e+00,3.600404229999373863e-21,0.000000000000000000e+00,1.753512829999694933e-20,5.424968499999056117e-14,9.999999999998259170e-01,1.418012079999753158e-19,3.831891369999332851e-17,0.000000000000000000e+00,0.000000000000000000e+00,1.654593369999711744e-18,5.429182839999055100e-20,0.000000000000000000e+00,6.094920359998939750e-15,4.285513529999253745e-21,4.129519249999280987e-16,1.715378499999701646e-14,3.798342209999338532e-18,5.113268619999109972e-18,6.892019169998801264e-21,1.065040989999814578e-19,0.000000000000000000e+00,3.689578379999358447e-15,2.098697329999634808e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.598198499999721720e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195814549999269433e-20,7.174677699998750131e-15,0.000000000000000000e+00,1.385339279999758802e-14,1.610840709999719527e-18,0.000000000000000000e+00,9.267550739998386628e-19,2.122561659999630433e-20,4.471063859999221608e-16,3.637910969999366840e-18,0.000000000000000000e+00
7.500000000000000156e-04,4.328425300000000031e-01,2.729035640000000207e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,5.326888981174861366e-14,0.000000000000000000e+00,-6.822589333333352712e+00,2.147731219999311947e-13,1.176935589999623078e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.480140599998884618e-20,3.250950649998958375e-19,0.000000000000000000e+00,1.979978569999365882e-27,0.000000000000000000e+00,1.369908559999561339e-26,5.354188119998284740e-14,9.999999999996795896e-01,1.413373909999547176e-19,3.831891419998771765e-17,0.000000000000000000e+00,0.000000000000000000e+00,1.654596709999469750e-18,5.428171359998261050e-20,0.000000000000000000e+00,6.094911629998047543e-15,8.750076189997197817e-21,1.496555159999520658e-16,1.742744789999441486e-14,3.798322889998782881e-18,5.113409419998360842e-18,6.891914389997791914e-21,1.057723369999661057e-19,0.000000000000000000e+00,3.689577979998818149e-15,2.098697189999327572e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.598198029999487956e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195814679998655353e-20,7.174677659997702531e-15,0.000000000000000000e+00,1.385339279999556223e-14,1.610860349999483866e-18,0.000000000000000000e+00,9.267550399997029214e-19,2.123725039999319685e-20,4.471063869998567049e-16,3.637907569998834323e-18,0.000000000000000000e+00
1.124999999999999915e-03,4.302840589999999965e-01,4.093553449999999927e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,1.698849306021635678e-13,0.000000000000000000e+00,-9.551624000000051851e+00,6.849689979994590304e-13,1.154025169999088492e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.479558289997252328e-20,3.250951079997432235e-19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.281928009995828765e-14,9.999999999992101873e-01,1.445540089998858502e-19,3.831893819996972853e-17,0.000000000000000000e+00,0.000000000000000000e+00,1.654599949998693089e-18,5.427152879995713873e-20,0.000000000000000000e+00,6.094902849995187136e-15,1.330238709998949369e-20,5.404750429995731139e-17,1.752681809998615770e-14,3.798304529996999990e-18,5.113662649995960599e-18,6.891817119994556953e-21,1.050392039999170357e-19,0.000000000000000000e+00,3.689577579997085882e-15,2.098697009998342712e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.598197559998737736e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195814799996685869e-20,7.174677619994334102e-15,0.000000000000000000e+00,1.385339279998905886e-14,1.610879779998727682e-18,0.000000000000000000e+00,9.267550049992678632e-19,2.124895179998321691e-20,4.471063869996468679e-16,3.637903869997126520e-18,0.000000000000000000e+00
1.500000000000000031e-03,4.267021999999999760e-01,5.458071269999999586e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,5.413572710700267109e-13,0.000000000000000000e+00,-1.228065866666661421e+01,2.182745469995008375e-12,1.132166189997411067e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.479005819992043961e-20,3.250951549992565216e-19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.213245419988078196e-14,9.999999999977131626e-01,1.773567929995944315e-19,3.831920539991236500e-17,0.000000000000000000e+00,0.000000000000000000e+00,1.654603099996215884e-18,5.426124829987590874e-20,0.000000000000000000e+00,6.094893169986061758e-15,1.887077349995684551e-20,1.942352389995557738e-17,1.756280509995983712e-14,3.798286929991313530e-18,5.114020569988304876e-18,6.891726879984240913e-21,1.043017949997614680e-19,0.000000000000000000e+00,3.689577169991562352e-15,2.098696789995200718e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.598197089996345205e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195814909990404676e-20,7.174677589983594555e-15,0.000000000000000000e+00,1.385339279996831970e-14,1.610899029996316072e-18,0.000000000000000000e+00,9.267549699978806253e-19,2.126075029995138164e-20,4.471063879989775390e-16,3.637899889991680947e-18,0.000000000000000000e+00
1.874999999999999931e-03,4.220969529999999970e-01,6.822589090000000134e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,1.717931241798639780e-12,0.000000000000000000e+00,-1.500969600000005855e+01,6.926691679951304834e-12,1.111366869992187046e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.478485139975545730e-20,3.250952569977145603e-19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.149600289963797444e-14,9.999999999929698458e-01,4.518523619968233282e-19,3.832197899973059107e-17,0.000000000000000000e+00,0.000000000000000000e+00,1.654606179988367664e-18,5.425084469961860747e-20,0.000000000000000000e+00,6.094879699957152431e-15,2.890294039979681236e-20,6.935334639951242830e-18,1.757578479987644005e-14,3.798270009973297304e-18,5.114441989964044371e-18,6.891644129951552165e-21,1.035579189992719719e-19,0.000000000000000000e+00,3.689576779974061543e-15,2.098696529985246129e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.598196609988764486e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195814999970502281e-20,7.174677549949561525e-15,0.000000000000000000e+00,1.385339279990260917e-14,1.610918159988674796e-18,2.647459029981387818e-18,9.267549359934847268e-19,2.127267749985044949e-20,4.471063889968568046e-16,3.637895619974424989e-18,0.000000000000000000e+00
2.249999999999999830e-03,4.164683169999999768e-01,8.187106910000000681e+00,3.000000000000000000e+02,6.516985520000000420e-01,1.000000000000000000e+00,5.417033659071076742e-12,0.000000000000000000e+00,-1.910324933333332709e+01,2.184147229952070613e-11,1.091706919976043385e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.478018009923677885e-20,3.250957969928660107e-19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.091283749888275647e-14,9.999999999780557758e-01,2.686512419941046239e-18,3.835034089915842984e-17,0.000000000000000000e+00,0.000000000000000000e+00,1.654609179963690800e-18,5.424028259880974688e-20,0.000000000000000000e+00,6.094851379866253933e-15,5.944814769869545913e-20,2.436967549946522419e-18,1.758045919961420783e-14,3.798253749916650269e-18,5.114865929887758429e-18,6.891576439848769709e-21,1.028055879977440094e-19,0.000000000000000000e+00,3.689576419919035404e-15,2.098696199953945766e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.598196109964928651e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195815069907926030e-20,7.174677519842558859e-15,0.000000000000000000e+00,1.385339279969599861e-14,1.610937159964649174e-18,3.441126869924486871e-17,9.267549069796630782e-19,2.128477279953292285e-20,4.471063899901886815e-16,3.637891049920169136e-18,0.000000000000000000e+00
3.000000000000000062e-03,4.021408799999999784e-01,1.091614249999999942e+01,3.000000000000000000e+02,6.516985509999999593e-01,1.000000000000000000e+00,3.629024924913958187e-11,0.000000000000000000e+00,-2.456131866666667207e+01,1.463222699785747784e-10,1.056510079845300698e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.477774579490767594e-20,3.251074819523961599e-19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.992738329268938869e-14,9.999999998535751278e-01,5.428736209205097704e-17,3.918114499426290413e-17,0.000000000000000000e+00,0.000000000000000000e+00,1.654614919757723187e-18,5.421838389206108308e-20,0.000000000000000000e+00,6.094590639107600490e-15,4.835507169291961767e-19,5.004568639267206826e-19,1.758249209742548487e-14,3.798224039443845074e-18,5.116308339250844302e-18,6.891649498990891264e-21,1.012712339851713768e-19,0.000000000000000000e+00,3.689575849459754377e-15,2.098695329692698856e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.598195059765984529e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195815159385628559e-20,7.174677498949448411e-15,0.000000000000000000e+00,1.385339299797151866e-14,1.610974879764113272e-18,7.618997818884388914e-16,9.267548878642999347e-19,2.130982389687971097e-20,4.471063929345325325e-16,3.637880709467323928e-18,0.000000000000000000e+00
3.749999999999999861e-03,3.837198909999999796e-01,1.364517820000000015e+01,3.000000000000000000e+02,6.516985490000000159e-01,1.000000000000000000e+00,1.932872220346858265e-10,0.000000000000000000e+00,-3.001938133333330683e+01,7.793339531718841887e-10,1.027777020226679036e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.486210370768893521e-20,3.252762920717405469e-19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.910094631082934084e-14,9.999999992205527155e-01,8.063008221778318260e-16,5.460795861204393006e-17,0.000000000000000000e+00,0.000000000000000000e+00,1.654620400364930809e-18,5.419561831195299114e-20,0.000000000000000000e+00,6.093241961343881377e-15,4.819272551062903786e-18,9.919657312187808023e-20,1.758332440387804999e-14,3.798205200837703513e-18,5.148013121135408000e-18,6.894094861520511020e-21,1.000383420220637269e-19,0.000000000000000000e+00,3.689575500813745832e-15,2.098694270462873021e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.598194120352485969e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195815170925398748e-20,7.174678191582396198e-15,0.000000000000000000e+00,1.385339700305540304e-14,1.611012750355313154e-18,1.127844760248749194e-14,9.267548672043983684e-19,2.133611980470573891e-20,4.471063960986104332e-16,3.637869470802341190e-18,0.000000000000000000e+00
4.499999999999999660e-03,3.612053550000000057e-01,1.637421379999999971e+01,3.000000000000000000e+02,6.516985349999999677e-01,1.000000000000000000e+00,9.622807135036351219e-10,0.000000000000000000e+00,-3.411290666666667448e+01,3.879878330464858393e-09,1.012490920121309297e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.001078170479379352e-14,3.612660460432842946e-20,3.276185660392527944e-19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.841131040580028882e-14,9.999999961198126064e-01,1.129814320135365971e-14,3.286455670393759183e-16,0.000000000000000000e+00,0.000000000000000000e+00,1.654625640198244900e-18,5.417583740649094988e-20,0.000000000000000000e+00,6.086789670729274799e-15,6.253357160749229993e-17,1.886920830226076821e-20,1.759088430210760836e-14,3.798350710455090297e-18,5.820060150697316512e-18,6.923595800829534709e-21,1.064145740127498110e-19,0.000000000000000000e+00,3.689575430442058251e-15,2.098692990251449851e-15,0.000000000000000000e+00,0.000000000000000000e+00,2.427686530290867667e-37,0.000000000000000000e+00,0.000000000000000000e+00,1.598195900191483920e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195815030502712052e-20,7.174691410859618947e-15,0.000000000000000000e+00,1.385346820165981955e-14,1.611051160193024220e-18,1.568230800187893875e-13,9.267548381110369687e-19,2.136467440255975646e-20,4.471064160535690357e-16,3.637864610435861465e-18,0.000000000000000000e+00
