z,u,V,T,rho,Z,PV,chiZ,S_n,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.000000000000000000e+00,6.411680340000000533e-02,-3.254275219999999989e-19,3.000000000000000000e+02,6.515059930000000055e-01,1.000000000000000000e+00,1.148537723215046584e-05,0.000000000000000000e+00,-3.899045333333554519e-01,4.330776051215416478e-05,2.192547780615330543e-15,9.178230422575837509e-14,6.637930801862911135e-10,2.283946700640981688e-17,3.148635850883653189e-06,7.532767082114044144e-16,8.112637812276782204e-14,0.000000000000000000e+00,0.000000000000000000e+00,3.790001391063649879e-17,0.000000000000000000e+00,3.099069710869742807e-12,9.999409622806298970e-01,9.626677252701692415e-07,2.394579020672030260e-07,4.358978621223331704e-16,1.032873340289872248e-11,0.000000000000000000e+00,5.643131301583723875e-15,5.689225081596660743e-12,0.000000000000000000e+00,5.278848141481489795e-08,0.000000000000000000e+00,5.666454771590270404e-09,2.016833260566016907e-13,8.115740672277653422e-10,2.963331610831648405e-16,1.851830290519709544e-11,5.609658481574331017e-12,1.465162840411192707e-13,6.459837001812929641e-13,4.887931341371780485e-15,7.162174682010039018e-10,0.000000000000000000e+00,1.510366170423878702e-09,3.380763200948799139e-13,1.846494870518212180e-13,0.000000000000000000e+00,5.760997571616802116e-14,2.732917600766983338e-10,1.231959250345745056e-15,8.334533972339056756e-14,3.629131951018502703e-12,9.082645302549011927e-14,4.118788951155923697e-11,4.074535241143503983e-16,1.131667700317598392e-05,0.000000000000000000e+00,5.749513321613581073e-15,1.626982470456606800e-13,9.981544332801284605e-15,1.984670730556990851e-14
3.750000000000000078e-04,6.397058919999999704e-02,4.232987859999999825e-01,3.000310329999999794e+02,6.513787709999999676e-01,1.000000000000000000e+00,1.578126597827137669e-05,0.000000000000000000e+00,-1.215499733333310184e+00,5.741157047392622556e-05,0.000000000000000000e+00,6.268627227153069276e-14,1.369876829377862956e-09,4.045170948162863075e-17,6.506173837045186165e-06,1.559801519291607982e-15,9.345561305755663064e-14,0.000000000000000000e+00,0.000000000000000000e+00,7.837255786440667772e-17,0.000000000000000000e+00,6.334298557123244591e-12,9.999099015458855488e-01,2.004177299089791991e-06,5.747671167389664968e-07,1.073137099512629160e-15,2.551861678841058159e-11,0.000000000000000000e+00,5.609702787452323921e-15,1.416653319356619248e-11,0.000000000000000000e+00,1.247735439433334062e-07,0.000000000000000000e+00,1.369793949377900808e-08,5.078845647693414966e-13,2.051142079068462874e-09,5.562412897473800220e-16,4.930349827760855072e-11,1.493541209321700273e-11,1.421199839354554584e-13,5.951942487296893236e-13,4.921813167764732274e-15,1.496887929320180445e-09,0.000000000000000000e+00,3.150229588569306160e-09,7.649758066525821401e-13,5.449627767525022050e-13,0.000000000000000000e+00,3.394832028458218627e-14,6.848083966889905429e-10,3.100652128591822558e-15,8.256260396250375167e-14,8.733719606033534794e-12,2.186089039007176115e-13,9.913448005497753743e-11,9.788306015554588367e-16,2.345431918934809168e-05,0.000000000000000000e+00,1.678607999237651054e-14,4.759629357838389348e-13,2.662733348790705232e-14,5.942028047301396217e-14
7.500000000000000156e-04,6.351477680000000570e-02,8.467595369999999511e-01,3.000921329999999898e+02,6.511699909999999480e-01,1.000000000000000000e+00,2.206755657915576046e-05,1.951881493230910036e-02,-2.025609866666667092e+00,7.609645633347206554e-05,7.501116333299467551e-17,4.327770651903629197e-14,2.826005321243057331e-09,2.964298921303887251e-17,1.343436480590929049e-05,3.240758541425492259e-15,1.190090710523477865e-13,0.000000000000000000e+00,0.000000000000000000e+00,1.397295420614619559e-16,0.000000000000000000e+00,1.289842480567355006e-11,9.998559974398003591e-01,4.169539081834028716e-06,1.378360880606290915e-06,2.431414811069491193e-15,6.298775272770603214e-11,0.000000000000000000e+00,5.603276912464678724e-15,3.524178881550158232e-11,0.000000000000000000e+00,2.946618651296110841e-07,1.343078710590771349e-18,3.308385161455238271e-08,1.277782370562049989e-12,5.178918052278018120e-09,9.550733974201021323e-16,1.311307710576796689e-10,3.972334441747285714e-11,1.352218470594791836e-13,5.240654432305173504e-13,4.984127792192337145e-15,3.126198351375101442e-09,3.396122151493830834e-29,6.565901022888102180e-09,1.729246700760632802e-12,1.384229250608872201e-12,0.000000000000000000e+00,1.776811530781554924e-14,1.714275570754047417e-09,7.757092053412064431e-15,8.123539823573251311e-14,2.100085420923751417e-11,5.256905022312320976e-13,2.383379241048361905e-10,1.843163170810740730e-15,4.857613322136687786e-05,0.000000000000000000e+00,4.896033262153586847e-14,1.391053100611873726e-12,7.091107273119120388e-14,1.650233090725877659e-13
1.124999999999999915e-03,6.275517310000000570e-02,1.270545180000000052e+00,3.002119359999999801e+02,6.508158830000000394e-01,9.999629538574892340e-01,3.160362582623141574e-05,1.696330053958490514e-01,-2.808096533333340084e+00,1.008022639924027281e-04,1.139990789914081084e-15,3.072999619768393543e-14,5.816922999561589657e-09,2.365385619821724919e-17,2.767266649791435946e-05,6.721281819493429714e-15,1.717615639870546419e-13,0.000000000000000000e+00,1.911331789855946460e-28,2.298059889826799606e-16,0.000000000000000000e+00,2.623115949802300602e-11,9.997583939246500462e-01,8.653353839347812873e-06,3.295507479751623752e-06,5.271914959602666542e-15,1.549844579883190908e-10,0.000000000000000000e+00,5.683670009571632274e-15,8.739218919341341138e-11,0.000000000000000000e+00,6.938119449477085847e-07,2.440142679816090646e-17,7.966078469399611495e-08,3.204473349758484558e-12,1.303422419901763512e-08,1.566685769881921915e-15,3.475711779738042399e-10,1.052896339920645214e-10,1.248644459905892099e-13,4.310243649675144611e-13,5.095948439615928662e-15,6.512798529509142707e-09,3.752464789717183304e-28,1.365173249897109437e-08,3.898075069706209143e-12,3.343877799747978128e-12,0.000000000000000000e+00,7.838714289409211757e-15,4.277644459677602366e-09,1.931614639854417571e-14,7.903925659404294983e-14,5.034691509620544354e-11,1.260306949905012933e-12,5.712535049569456293e-10,3.078930479767947129e-15,1.003641569924357377e-04,0.000000000000000000e+00,1.422782799892767497e-13,4.050471879694723422e-12,1.881410919858201425e-13,4.454564139664267908e-13
1.500000000000000031e-03,6.170213690000000278e-02,1.694980010000000092e+00,3.004452360000000226e+02,6.501995400000000203e-01,9.998537415839486853e-01,4.666666508988034234e-05,8.503996042360721930e-01,-3.542022666666682085e+00,1.333605749959464290e-04,2.125177019935404220e-15,2.317322539929563922e-14,1.191878099963772341e-08,2.137357729935033779e-17,5.673347129827555985e-05,1.386954689957842769e-14,2.799213489914916477e-13,0.000000000000000000e+00,5.992275309817861632e-28,3.586827869890976699e-16,0.000000000000000000e+00,5.315984689838417956e-11,9.995758789696174151e-01,1.787479659945668501e-05,7.834204069761875361e-06,1.108921259966293839e-14,3.790854999884775225e-10,0.000000000000000000e+00,6.004046019817504264e-15,2.154183549934522755e-10,0.000000000000000000e+00,1.624504159950622344e-06,1.017565719969070655e-16,1.907041139942034639e-07,7.987881539757204808e-12,3.260607559900892369e-08,2.497213849924096496e-15,9.153655419721770434e-10,2.772915319915716099e-10,1.102215179966497653e-13,3.205741409902560119e-13,5.292629949839128569e-15,1.350331899958955893e-08,1.359503919958677237e-27,2.825107909914129361e-08,8.740630519734324919e-12,7.915838789759394599e-12,0.000000000000000000e+00,2.445604039925665048e-15,1.060981479967750965e-08,4.779179459854734997e-14,7.552802819770429117e-14,1.200107919963522104e-10,3.004195439908686385e-12,1.361393809958619881e-09,4.670932769858025397e-15,2.064025219937262994e-04,0.000000000000000000e+00,4.106052139875195087e-13,1.171226579964400066e-11,4.958335059849289258e-13,1.184019389964011190e-12
1.874999999999999931e-03,6.037387839999999728e-02,2.120701739999999891e+00,3.008951099999999883e+02,6.491087140000000311e-01,9.996092140350449906e-01,7.144886033039379695e-05,3.847626818319769715e+00,-4.192702666666660249e+00,1.760583869779856672e-04,2.818702639647549714e-15,1.919334849760006548e-14,2.424596609696828542e-08,2.142869619732055413e-17,1.154583989855630853e-04,2.841695199644674649e-14,4.995063019375416851e-13,0.000000000000000000e+00,1.361103919829807777e-27,5.341359239332116458e-16,0.000000000000000000e+00,1.070318989866167300e-10,9.992275118750566509e-01,3.665362589541683048e-05,1.846037719769171387e-05,2.270579569716086896e-14,9.187899448851144889e-10,0.000000000000000000e+00,6.942430039131918801e-15,5.261291919342127964e-10,4.138373749482538387e-23,3.770871059528490028e-06,3.062702159617039837e-16,4.524937439434202369e-07,1.972845969753315229e-11,8.081205568989526967e-08,3.875329389515429483e-15,2.387188239701506005e-09,7.231504039095772998e-10,9.116110148860120633e-14,2.062554819742098168e-13,5.632438459295720715e-15,2.778850439652532434e-08,3.662555289542034227e-27,5.803523729274327791e-08,1.943882339756936744e-11,1.853221759768273126e-11,0.000000000000000000e+00,0.000000000000000000e+00,2.607250709673989722e-08,1.171253889853546447e-13,7.017264119122561698e-14,2.835518569645446593e-10,7.098104949112452819e-12,3.216063209597863857e-09,6.361764879204525450e-15,4.214087499473070692e-04,0.000000000000000000e+00,1.172576719853380947e-12,3.351000729580990708e-11,1.293502599838260521e-12,3.105985329611627945e-12
2.249999999999999830e-03,5.880161490000000019e-02,2.548942719999999884e+00,3.017512510000000248e+02,6.471659419999999940e-01,9.990890830316784266e-01,1.136984532373666319e-04,2.528252656738777304e+01,-4.980961333333328689e+00,2.316774490988268774e-04,3.091587331318781669e-15,1.727865690737057236e-14,4.882276262082637653e-08,2.249937100959758005e-17,2.325295910991903830e-04,5.778602832464984385e-14,9.394284554007327807e-13,0.000000000000000000e+00,2.089695120891403291e-27,7.479405263190497692e-16,1.900190530810566240e-26,2.134534250910530464e-10,9.985565564259553106e-01,7.439053933173284951e-05,4.296807051832893454e-05,4.538770751936108473e-14,2.198630580937871839e-09,1.585882160676491199e-19,9.402412324010796873e-15,1.268584990541141635e-09,7.213118033076906964e-23,8.647958843688968904e-06,7.583708693234990938e-16,1.060410880452340495e-06,4.810479452052010777e-11,1.977134700843388349e-07,5.769364662461043568e-15,6.141290382619696338e-09,1.860378690793583738e-09,6.904647932945323210e-14,1.086472810463457802e-13,6.209374572648740242e-15,5.658460762413735604e-08,8.311309903545364862e-27,1.179939820503328205e-07,4.273589911822989785e-11,4.294727541832006189e-11,0.000000000000000000e+00,0.000000000000000000e+00,6.324617012697897773e-08,2.833102311208519473e-13,6.251590012666747251e-14,6.617454922822814567e-10,1.656540390706631994e-11,7.504727663201299723e-09,7.525894663210329065e-15,8.516650833632956894e-04,0.000000000000000000e+00,3.300236051407784887e-12,9.447973304030232099e-11,3.327616691419464892e-12,8.027213583424177123e-12
3.000000000000000062e-03,5.506589390000000278e-02,3.418490199999999923e+00,3.056858219999999733e+02,6.388575949999999448e-01,9.964224914624504326e-01,2.925554725868826115e-04,2.015032150575283083e+02,-5.554118266666668191e+00,3.910940710784206352e-04,2.994969190600539671e-15,1.333078130267303606e-14,1.683921470337653212e-07,3.856744650773338816e-17,8.012628561606660853e-04,2.052899340411639242e-13,3.092096750620014948e-12,0.000000000000000000e+00,4.855752320973655629e-28,1.109098670222392175e-15,1.918453320384680772e-25,7.263857511456520768e-10,9.953655051995867753e-01,2.597322730520804437e-04,1.842863720369523829e-04,1.538837590308561821e-13,9.814403971967945029e-09,9.348265951874477415e-17,2.508446030502983759e-14,5.725693541148093971e-09,2.091597250419398803e-24,3.629191130727711298e-05,3.002818820602113830e-15,4.593017880920974228e-06,2.208440760442827885e-10,9.118599651828425894e-07,1.030599680206651779e-14,3.042743740610119376e-08,9.217361361848229989e-09,2.629001160527156804e-14,1.605626140321953784e-14,8.511615051706715708e-15,1.983499780397723516e-07,3.246302780650935978e-26,4.130849150828301133e-07,1.684115630337692033e-10,1.838843180368717445e-10,3.180639980637769272e-13,0.000000000000000000e+00,2.879436500577372879e-07,1.284691990257601238e-12,4.020230120806120303e-14,2.849267670571323916e-09,7.132560771430192223e-11,3.230997430647867002e-08,5.678177451138566068e-15,2.955162340592557522e-03,0.000000000000000000e+00,1.855776530372113107e-11,5.324080471067563339e-10,1.648283470330507349e-11,4.000404030802145497e-11
3.749999999999999861e-03,5.090030520000000253e-02,4.323451290000000391e+00,3.157132339999999999e+02,6.194962259999999832e-01,9.888943589426996139e-01,7.322450810470557516e-04,1.260063422556360365e+03,-5.392960666666669844e+00,6.316451309104261771e-04,4.020521369429849056e-15,4.977358889294159100e-15,4.930495249300804563e-07,2.007875649715262376e-16,2.336927809668599455e-03,6.811245209034095406e-13,8.973665178727441551e-12,0.000000000000000000e+00,0.000000000000000000e+00,7.150805388985942551e-16,8.515355358792434736e-25,2.126447429698447752e-09,9.867658568600663482e-01,7.682931528910480999e-04,6.441361989086547522e-04,4.632291439343093576e-13,3.539476909498065264e-08,4.383016559378442789e-16,8.053896708857874855e-14,2.083874309704485228e-08,0.000000000000000000e+00,1.246251219823268886e-04,1.288329259817301537e-14,1.617717829770590904e-05,8.178994048840133290e-10,3.382501549520326643e-06,9.143604408703343522e-15,1.196065589830385708e-07,3.623227389486189425e-08,5.258371739254309480e-15,1.109365319842680599e-15,1.360198879807109801e-14,5.868687109167759917e-07,1.893891939731426849e-25,1.224516749826350912e-06,5.490602209221375473e-10,6.446011519085888602e-10,1.318076019813083292e-12,0.000000000000000000e+00,1.055163389850367020e-06,4.685610299335531262e-12,1.767806929749306696e-14,9.990740198583209841e-09,2.500986679645334174e-10,1.132898639839343264e-07,1.717094559756498389e-15,8.705254058765505426e-03,0.000000000000000000e+00,8.114652818849259102e-11,2.327360059669956149e-09,6.477958839081359356e-11,1.579682079775984735e-10
4.499999999999999660e-03,4.685558470000000114e-02,5.300223149999999883e+00,3.386254519999999957e+02,5.808250839999999915e-01,9.700690345738082199e-01,1.737254722053577878e-03,4.432614899509994757e+03,-4.812591466666659379e+00,9.681091290358823315e-04,1.144952750042436866e-14,1.492620710055323067e-15,1.282010960047516766e-06,1.143005510042364818e-15,6.015400250222956678e-03,2.462031800091253602e-12,2.335270140086555489e-11,0.000000000000000000e+00,1.511171810056010634e-28,3.207726130118892351e-16,6.782024000251369882e-24,5.693781380211035802e-09,9.657636780357953254e-01,2.017410850074773890e-03,1.968985790072979181e-03,1.471348820054534620e-12,1.110520270041160766e-07,1.945614930072112906e-15,2.463137500091294622e-13,6.595468240244456553e-08,2.421917610089766906e-25,3.747643100138904051e-04,8.926171680330842883e-14,4.975611710184418146e-05,2.653671460098356623e-09,1.092765660040502544e-05,6.568972150243475148e-15,4.072740270150953612e-07,1.233747920045728045e-07,5.555970640205928310e-16,6.686684420247837430e-16,2.403874480089098026e-14,1.531938740056780245e-06,3.165796480117338064e-24,3.221126410119388704e-06,1.571394360058242690e-09,1.978585410073334849e-09,3.743327550138743961e-12,0.000000000000000000e+00,3.358973230124498204e-06,1.481223230054900670e-11,4.800433550177925939e-15,3.062683920113516502e-08,7.666854100284166436e-10,3.472911140128720944e-07,2.285640900084715907e-16,2.282046570084582740e-02,0.000000000000000000e+00,3.068950160113748837e-10,8.759017130324646106e-09,2.209880260081907573e-10,5.401651990200208550e-10
