grid,velocity,spread_rate,lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.54635949,-7.49040157e-19,-1482.78731,300,0.651698552,9.15090108e-16,1.85595432e-15,1.22132052e-19,2.12093419e-17,-2.79336806e-15,-3.37518128e-16,2.96053515e-20,3.56696634e-17,6.57739309e-15,4.209178e-15,1.8024533e-16,1.74862492e-14,6.63584223e-15,1,7.60187685e-18,-2.12573275e-17,6.30867902e-17,1.08717528e-15,1.22437596e-25,-2.09137365e-18,1.67760783e-15,7.65883125e-15,-9.04022317e-21,7.4563735e-14,4.57542873e-15,3.77826995e-17,-2.85583424e-18,-1.8218662e-20,-2.65295998e-17,-9.24571382e-17,1.26040075e-14,2.14640543e-15,-5.81982922e-14,5.45192694e-14,-1.06866248e-36,-2.65963092e-14,9.46353286e-16,-5.81195012e-20,-1.97672433e-14,-3.56425347e-20,-9.52467772e-18,-2.39317228e-15,1.36245908e-19,-4.33555847e-15,-1.19018324e-18,2.72519529e-15,-5.74313583e-18,-7.36656651e-18,-2.73833469e-18,-1.26660364e-20,2.02173099e-17,-1.98757284e-14,1.81328991e-14
0.000375,0.54577387,1.56165423,-1482.78731,300,0.651698552,1.14708166e-15,2.09826296e-15,8.66318306e-20,2.12093897e-17,-2.34684474e-17,-3.40496472e-15,2.96169575e-20,3.54437658e-17,6.57739364e-15,2.94741771e-21,1.79199152e-16,1.67754304e-20,6.56746291e-14,1,7.6509459e-18,-2.12573277e-17,6.30859212e-17,1.08717524e-15,-4.92241955e-25,-2.09106442e-18,1.67760753e-15,7.65883124e-15,1.3029872e-20,3.08122363e-14,5.98471309e-14,3.77833771e-17,-2.85581574e-18,-8.96633393e-20,-2.65296003e-17,-9.24571378e-17,1.26040074e-14,2.14640584e-15,-5.81982917e-14,5.45192696e-14,-1.0931346e-35,-2.65963067e-14,9.46353398e-16,-6.01521224e-20,-1.97672433e-14,-3.59501897e-20,-9.52469396e-18,-2.39317226e-15,1.36245908e-19,-4.33555847e-15,-1.19018324e-18,2.7251953e-15,-5.74313594e-18,-7.3664183e-18,-2.73833469e-18,-1.31778672e-20,2.02173031e-17,-1.98757284e-14,1.8132899e-14
0.00075,0.544017009,3.12330846,-1482.78731,300,0.651698552,1.99419115e-15,2.0931971e-15,7.98810915e-20,2.12094372e-17,-1.96580092e-19,-3.43073283e-15,2.96283294e-20,3.54418621e-17,6.57739417e-15,2.05822157e-27,1.78155451e-16,1.60465915e-26,7.56440059e-14,1,7.6996763e-18,-2.12573281e-17,6.30850478e-17,1.0871752e-15,-4.83202666e-25,-2.09075417e-18,1.67760719e-15,7.65883128e-15,3.49743987e-20,1.27099586e-14,7.86520276e-14,3.77840563e-17,-2.8557764e-18,-1.60611572e-19,-2.65296033e-17,-9.24571374e-17,1.26040073e-14,2.14640626e-15,-5.81982912e-14,5.45192699e-14,-1.09314029e-35,-2.65963042e-14,9.4635351e-16,-6.21916798e-20,-1.97672433e-14,-3.62588979e-20,-9.52471025e-18,-2.39317223e-15,1.36245908e-19,-4.33555847e-15,-1.19018324e-18,2.7251953e-15,-5.74313606e-18,-7.36626879e-18,-2.73833469e-18,-1.36913919e-20,2.02172967e-17,-1.98757284e-14,1.8132899e-14
0.001125,0.541088907,4.68496269,-1482.78731,300,0.651698552,5.15413753e-15,2.08810939e-15,7.38174098e-20,2.1209485e-17,-1.59525509e-21,-3.43094233e-15,2.96394876e-20,3.5441841e-17,6.57739469e-15,1.45842221e-33,1.77111985e-16,-4.23995639e-31,7.9819009e-14,1,7.74817021e-18,-2.12573284e-17,6.30841688e-17,1.08717516e-15,-4.68843732e-25,-2.09044224e-18,1.67760686e-15,7.65883132e-15,5.68540513e-20,5.22722678e-15,8.64252675e-14,3.77847389e-17,-2.85571979e-18,-2.31212907e-19,-2.65296062e-17,-9.24571371e-17,1.26040072e-14,2.14640668e-15,-5.81982906e-14,5.45192701e-14,-1.09314119e-35,-2.65963017e-14,9.46353622e-16,-6.42426594e-20,-1.97672433e-14,-3.65693406e-20,-9.52472663e-18,-2.39317221e-15,1.36245908e-19,-4.33555847e-15,-1.19018324e-18,2.72519531e-15,-5.74313618e-18,-7.36611073e-18,-2.73833469e-18,-1.42077524e-20,2.02172905e-17,-1.98757284e-14,1.8132899e-14
0.0015,0.536989565,6.24661693,-1482.78731,300,0.651698552,1.69709262e-14,2.08298796e-15,6.81653713e-20,2.12095333e-17,2.74913754e-23,-3.43093806e-15,2.96504515e-20,3.54418354e-17,6.57739521e-15,2.75026774e-35,1.76066481e-16,-4.33539696e-31,8.15871197e-14,1,7.79653415e-18,-2.12573287e-17,6.30832826e-17,1.08717511e-15,-4.54303388e-25,-2.09012791e-18,1.67760652e-15,7.65883135e-15,7.86962349e-20,2.14079152e-15,8.96315749e-14,3.77854268e-17,-2.85566586e-18,-3.01616397e-19,-2.65296091e-17,-9.24571367e-17,1.2604007e-14,2.14640711e-15,-5.81982901e-14,5.45192704e-14,-1.09314209e-35,-2.65962992e-14,9.46353734e-16,-6.63097063e-20,-1.97672433e-14,-3.68822243e-20,-9.52474315e-18,-2.39317218e-15,1.36245908e-19,-4.33555848e-15,-1.19018324e-18,2.72519532e-15,-5.7431363e-18,-7.36587416e-18,-2.73833469e-18,-1.47281166e-20,2.02172843e-17,-1.98757284e-14,1.81328989e-14
0.001875,0.531718982,7.80827116,-1482.78731,300,0.651698552,6.09908008e-14,2.07781945e-15,6.28886048e-20,2.12095838e-17,3.76740262e-23,-3.4309322e-15,2.96612396e-20,3.54418299e-17,6.57739574e-15,2.72696812e-35,1.7501657e-16,-4.27700177e-31,8.2360691e-14,1,7.84491842e-18,-2.12573288e-17,6.30823873e-17,1.08717507e-15,-4.39570859e-25,-2.08981044e-18,1.67760618e-15,7.65883134e-15,1.00556514e-19,8.71926887e-16,9.09497312e-14,3.77861216e-17,-2.8556553e-18,-3.71973844e-19,-2.65296121e-17,-9.24571363e-17,1.26040069e-14,2.14640754e-15,-5.81982896e-14,5.45192706e-14,-1.09314301e-35,-2.65962966e-14,9.46353848e-16,-6.83977595e-20,-1.97672433e-14,-3.71983063e-20,-9.52475982e-18,-2.39317215e-15,1.36245909e-19,-4.33555848e-15,-1.19018324e-18,2.72519532e-15,-5.74313642e-18,-7.36486482e-18,-2.73833469e-18,-1.52537181e-20,2.02172781e-17,-1.98757284e-14,1.81328989e-14
0.00225,0.525277158,9.36992539,-1482.78731,300,0.651698552,2.23870905e-13,2.07258762e-15,5.79632127e-20,2.12096497e-17,3.47094394e-23,-3.43092447e-15,2.96718709e-20,3.54418245e-17,6.57739633e-15,2.70360974e-35,1.73959402e-16,-4.2180444e-31,8.2726206e-14,1,7.89390759e-18,-2.12573262e-17,6.30814794e-17,1.08717503e-15,-4.2456623e-25,-2.0894889e-18,1.67760584e-15,7.65883115e-15,1.22595497e-19,3.51045798e-16,9.14907326e-14,3.77868253e-17,-2.85576583e-18,-4.42456728e-19,-2.65296151e-17,-9.24571359e-17,1.26040067e-14,2.14640798e-15,-5.81982893e-14,5.45192708e-14,-1.09314393e-35,-2.65962941e-14,9.46353963e-16,-7.05129946e-20,-1.97672433e-14,-3.75185604e-20,-9.52477668e-18,-2.39317213e-15,1.36245909e-19,-4.33555848e-15,-1.19018324e-18,2.72519533e-15,-5.74313654e-18,-7.35622924e-18,-2.73833468e-18,-1.57860505e-20,2.02172717e-17,-1.98757284e-14,1.81328989e-14
0.003,0.508879789,12.4932339,-1482.78731,300,0.651698552,1.85326928e-12,2.06186662e-15,4.92511423e-20,2.12102126e-17,2.92708999e-23,-3.43084399e-15,2.96927777e-20,3.54418139e-17,6.57739772e-15,2.65581643e-35,1.7180331e-16,-4.09716233e-31,8.30359187e-14,1,8.00818464e-18,-2.12572239e-17,6.30795637e-17,1.08717502e-15,-3.93038887e-25,-2.08882528e-18,1.67760514e-15,7.65882805e-15,1.69620687e-19,8.57949237e-17,9.17661546e-14,3.77882782e-17,-2.85706463e-18,-5.84750342e-19,-2.65296213e-17,-9.24571357e-17,1.26040063e-14,2.14640892e-15,-5.8198289e-14,5.45192709e-14,-1.09314584e-35,-2.6596289e-14,9.46354202e-16,-7.48801165e-20,-1.97672432e-14,-3.81797589e-20,-9.52481135e-18,-2.39317209e-15,1.3624591e-19,-4.33555848e-15,-1.19018324e-18,2.72519533e-15,-5.74313678e-18,-7.11534722e-18,-2.73833468e-18,-1.68850372e-20,2.02172575e-17,-1.98757284e-14,1.81328989e-14
0.00375,0.487797456,15.6165423,-1482.78731,300,0.651698552,1.19058016e-11,2.0508871e-15,4.1536185e-20,2.1218561e-17,2.44545097e-23,-3.42955549e-15,2.97133025e-20,3.54418036e-17,6.57739939e-15,2.60543385e-35,1.69581404e-16,-3.97176646e-31,8.32419811e-14,1,8.40778275e-18,-2.12548442e-17,6.30775627e-17,1.087175e-15,-3.59155811e-25,-2.0881328e-18,1.67760442e-15,7.65880783e-15,2.35229066e-19,2.03324578e-17,9.1834131e-14,3.77897948e-17,-2.86096059e-18,-7.29781852e-19,-2.65296277e-17,-9.24571354e-17,1.26040058e-14,2.14640989e-15,-5.81982887e-14,5.45192711e-14,-1.09314785e-35,-2.65962832e-14,9.4635445e-16,-7.94387053e-20,-1.97672431e-14,-3.88700723e-20,-9.52484676e-18,-2.39317204e-15,1.36245911e-19,-4.33555848e-15,-1.19018324e-18,2.72519534e-15,-5.74313702e-18,-2.77825511e-18,-2.73833468e-18,-1.80320008e-20,2.0217243e-17,-1.98757283e-14,1.81328989e-14
0.0045,0.462030162,18.7398508,-1482.78731,300,0.651698552,7.1772281e-11,2.0401255e-15,3.46681154e-20,2.13604794e-17,2.01674581e-23,-3.40748601e-15,2.97344786e-20,3.54417949e-17,6.57740143e-15,2.54782824e-35,1.67268e-16,-3.83925728e-31,8.3429125e-14,1,1.37486374e-17,-2.12017511e-17,6.3075448e-17,1.08717497e-15,-3.21649531e-25,-2.0874022e-18,1.67760366e-15,7.65869049e-15,4.12157592e-19,4.64199298e-18,9.18504283e-14,3.77913954e-17,-2.86986507e-18,-8.79029703e-19,-2.65296336e-17,-9.24571349e-17,1.26040054e-14,2.14641092e-15,-5.81982881e-14,5.45192733e-14,-1.09307243e-35,-2.65962673e-14,9.46354712e-16,-8.42497081e-20,-1.9767243e-14,-3.95988684e-20,-9.52486881e-18,-2.39317199e-15,1.36245911e-19,-4.33555848e-15,-1.19018321e-18,2.72519535e-15,-5.74313728e-18,7.23438835e-17,-2.73833468e-18,-1.92425551e-20,2.02172282e-17,-1.98757283e-14,1.81328988e-14
