grid,velocity,spread_rate,lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.170693695,-1.30377637e-19,-211.866408,300,0.651698432,2.6459915e-08,-7.1678103e-15,9.86373904e-16,4.90392419e-14,7.15098656e-19,1.50621389e-12,1.53029786e-20,-4.04242479e-14,8.69767644e-16,5.90018936e-15,2.97305667e-22,-1.01664515e-14,-8.00652247e-15,0.999999974,3.97450174e-13,1.52173257e-14,-2.29828296e-20,2.94620551e-16,1.24110033e-17,9.6831496e-15,1.52504808e-18,-1.38406096e-14,3.29905618e-15,-2.25845707e-17,4.49805487e-15,-1.67937545e-19,3.33877528e-17,8.61059845e-21,1.7133331e-14,-1.5000817e-16,4.22971443e-14,6.4228827e-14,-7.43485567e-15,2.2463412e-16,-9.63374357e-35,7.41142683e-16,1.85823117e-19,1.96911272e-15,-1.14552902e-13,1.00502422e-19,8.85061734e-18,2.44331437e-14,2.37364684e-20,-5.19983218e-15,2.87076604e-18,3.74069739e-18,1.66763132e-20,5.20367626e-12,-8.3410006e-18,-6.27405093e-20,5.8113379e-14,6.47728813e-19,-2.74126264e-15
0.000375,0.170425892,0.714215413,-211.866408,300,0.651698328,4.94009435e-08,-6.42185063e-15,7.98607105e-16,5.41802582e-14,4.9897093e-19,5.78288196e-12,3.32864184e-20,-4.04241367e-14,8.69771253e-16,1.70851217e-21,1.19263517e-20,-3.73516368e-21,-3.0261353e-14,0.999999951,1.54238624e-12,7.19571833e-14,-2.37670657e-20,2.97949109e-16,1.24105689e-17,9.67852252e-15,7.57695879e-18,-1.36315095e-14,1.52767674e-14,-4.59035921e-18,2.14740318e-14,-1.3197365e-19,1.69120652e-16,9.78170721e-21,1.71349698e-14,-1.49534923e-16,4.22970968e-14,6.42287219e-14,-7.43483668e-15,8.87657186e-16,-3.74109522e-34,2.88419572e-15,7.46938249e-19,1.96917214e-15,-1.1455291e-13,1.00528829e-19,4.32756457e-17,2.44331183e-14,2.3733586e-20,-5.19823769e-15,2.89766406e-18,1.64351745e-17,1.67830085e-20,2.01687685e-11,-8.34100006e-18,-6.31047491e-20,5.81133831e-14,6.87449435e-19,-2.74126075e-15
0.00075,0.16962245,1.42843083,-211.866408,300,0.651698133,9.22008885e-08,-5.9494894e-15,6.45992828e-16,7.38758864e-14,4.03337584e-19,2.21827991e-11,8.14307646e-20,-4.04238414e-14,8.69774936e-16,3.59968685e-28,2.33844032e-20,-1.27571345e-27,-3.05941208e-14,0.999999908,5.98036845e-12,3.39924249e-13,-2.55459832e-20,3.14310956e-16,1.24101401e-17,9.67384066e-15,1.87511617e-17,-1.32569838e-14,7.12923855e-14,-9.30222523e-19,2.81039996e-14,4.70049008e-20,8.56007856e-16,1.14762124e-20,1.71440164e-14,-1.46967638e-16,4.22970278e-14,6.42283987e-14,-7.43479206e-15,3.47195757e-15,-1.34800017e-33,1.12128123e-14,3.19171223e-18,1.9694518e-15,-1.14552896e-13,1.00644936e-19,2.1550985e-16,2.44330925e-14,2.37304959e-20,-5.1906782e-15,3.02516846e-18,7.66045614e-17,1.72074966e-20,7.78037564e-11,-8.34099903e-18,-6.23873319e-20,5.81134154e-14,7.32916654e-19,-2.74125078e-15
0.001125,0.16828339,2.14264627,-211.866408,300.000001,0.65169777,1.71875983e-07,-5.49190817e-15,5.2180127e-16,1.49073908e-13,3.2577876e-19,8.48550551e-11,2.4567044e-19,-4.04228202e-14,8.6977643e-16,-1.21320511e-28,3.47631354e-20,9.66100644e-29,-3.08126692e-14,0.999999828,2.31226265e-11,1.60075767e-12,-3.08131801e-20,3.94356195e-16,1.24097154e-17,9.66906154e-15,5.50432776e-17,-1.26063898e-14,3.30540212e-13,-1.87627203e-19,5.9616249e-14,9.42891875e-19,4.31890237e-15,1.49802184e-20,1.71930236e-14,-1.33104769e-16,4.22968949e-14,6.42274708e-14,-7.43467871e-15,1.3509604e-14,-4.7945013e-33,4.34676713e-14,1.38048805e-17,1.97076536e-15,-1.14552812e-13,1.01137781e-19,1.07398443e-15,2.44330687e-14,2.37272106e-20,-5.15497689e-15,3.62732676e-18,3.60744702e-16,1.88950395e-20,2.98998393e-10,-8.34099713e-18,-5.50836617e-20,5.81136269e-14,8.0917913e-19,-2.74119737e-15
0.0015,0.166408749,2.85686177,-211.866408,300.000005,0.651697092,3.19654879e-07,-5.04701442e-15,4.20703608e-16,4.3451187e-13,2.62602179e-19,3.22962615e-10,8.52595711e-19,-4.0419019e-14,8.69761964e-16,-1.08276313e-28,4.61987674e-20,1.00980814e-28,-3.05819046e-14,0.999999679,8.89493423e-11,7.49632711e-12,-4.80489704e-20,7.83438315e-16,1.24092912e-17,9.6641189e-15,2.14187761e-16,-1.15322533e-14,1.51980149e-12,-3.78048357e-20,2.0838211e-13,5.4075884e-18,2.16663605e-14,2.46193593e-20,1.7456077e-14,-5.87396593e-17,4.22965738e-14,6.42248808e-14,-7.43437994e-15,5.22681283e-14,-1.68622653e-32,1.67652372e-13,5.95984707e-17,1.97690451e-15,-1.14552478e-13,1.03043805e-19,5.32592356e-15,2.44330609e-14,2.37236932e-20,-4.98742222e-15,6.45340973e-18,1.6942202e-15,2.5586515e-20,1.14295562e-09,-8.34099362e-18,-8.02022579e-21,5.81149352e-14,1.04917648e-18,-2.74091068e-15
0.001875,0.163998592,3.57107746,-211.866408,300.000017,0.65169583,5.92343603e-07,-4.60892824e-15,3.38525443e-16,1.50909599e-12,2.11126191e-19,1.22016912e-09,3.13112915e-18,-4.0404706e-14,8.69698667e-16,-8.98246838e-29,5.80969239e-20,1.05017736e-28,-2.86852051e-14,0.999999402,3.39643083e-10,3.48221806e-11,-8.98243767e-20,2.65790857e-15,1.24088579e-17,9.65890715e-15,9.69482233e-16,-9.89600813e-15,6.92222702e-12,-8.41779568e-21,9.04507334e-13,2.74679372e-17,1.07794057e-13,5.48138557e-20,1.88545244e-14,3.36554517e-16,4.22956982e-14,6.42177703e-14,-7.433579e-15,2.00691585e-13,-5.84708136e-32,6.41834488e-13,2.55497245e-16,2.0053753e-15,-1.14551236e-13,1.09925546e-19,2.61981306e-14,2.4433143e-14,2.3719725e-20,-4.20794197e-15,1.96006648e-17,7.89744625e-15,5.19863637e-20,4.33656356e-09,-8.34098723e-18,2.76596787e-19,5.81228353e-14,2.1633099e-18,-2.7393813e-15
0.00225,0.161053041,4.28529377,-211.866408,300.000061,0.651693473,1.09218416e-06,-4.16531612e-15,2.72218262e-16,5.51154194e-12,1.69289258e-19,4.56493935e-09,1.1647167e-17,-4.03511193e-14,8.69495273e-16,-6.49189758e-29,7.18451616e-20,1.08871535e-28,-2.07124423e-14,0.999998885,1.28418552e-09,1.60038363e-10,-1.53228687e-19,1.15848206e-14,1.24083865e-17,9.65327093e-15,4.58396196e-15,-7.70091447e-15,3.11767652e-11,-5.18725405e-21,4.12481071e-12,1.35217884e-16,5.30460094e-13,1.53059811e-19,2.62008063e-14,2.41305765e-15,4.22931986e-14,6.41985362e-14,-7.43141907e-15,7.62987933e-13,-1.98683008e-31,2.43307804e-12,1.08422552e-15,2.13602542e-15,-1.14546657e-13,1.33500484e-19,1.27475377e-13,2.4433682e-14,2.37146077e-20,-6.22950534e-16,8.00677332e-17,3.64264701e-14,1.55337977e-19,1.62926811e-08,-8.34097584e-18,1.96243066e-18,5.81697586e-14,7.88705454e-18,-2.7313102e-15
0.003,0.15355642,5.71373213,-211.866408,300.000465,0.651682539,3.3185548e-06,-3.19920335e-15,1.82829445e-16,4.56447667e-11,1.12621121e-19,3.81363956e-08,9.75028973e-17,-3.98099163e-14,8.67911507e-16,-1.66138385e-29,1.19604613e-19,1.16887954e-28,6.08363914e-14,0.999996493,1.08751241e-08,1.7320055e-09,2.32977755e-19,1.28388235e-13,1.24070275e-17,9.64030432e-15,5.23429809e-14,-2.8999194e-15,3.28992173e-10,-3.07418453e-20,4.49672471e-11,1.58379133e-15,6.24144578e-12,9.99218397e-19,1.32943037e-13,3.25847496e-14,4.227411e-14,6.40643657e-14,-7.41613143e-15,6.50694259e-12,-1.28463212e-30,2.06733388e-11,1.06288193e-14,3.78003264e-15,-1.14500771e-13,3.41128482e-19,1.47944999e-12,2.4441435e-14,2.36946341e-20,4.45613912e-14,8.42180322e-16,3.95988728e-13,1.25296768e-18,1.36852187e-07,-8.34092788e-18,2.97433867e-17,5.89453562e-14,9.10099491e-17,-2.61341424e-15
0.00375,0.143921475,7.14219891,-211.866408,300.002756,0.651651965,9.01800573e-06,-1.99407924e-15,1.40623166e-16,2.90552463e-10,9.11145438e-20,2.43211135e-07,6.24960917e-16,-3.64802916e-14,8.61209375e-16,-5.27483672e-31,2.96719888e-19,1.28960428e-28,5.58862992e-13,0.999989774,7.01760921e-08,1.38495267e-08,9.7600394e-18,1.06814599e-12,1.24037603e-17,9.63620877e-15,4.40934108e-13,-5.19834061e-16,2.5724518e-09,-1.47506385e-19,3.63144467e-10,1.35697677e-14,5.37333597e-11,5.4021833e-18,1.08983605e-12,3.03059627e-13,4.21887545e-14,6.35274545e-14,-7.35124267e-15,4.22450219e-11,-5.16164918e-30,1.33788998e-10,7.79128606e-14,1.64604408e-14,-1.14218379e-13,1.26012353e-18,1.25845291e-11,2.45052617e-14,2.36288344e-20,3.94293635e-13,6.7410255e-15,3.17892336e-12,7.45166747e-18,8.76867189e-07,-8.34081922e-18,3.13123341e-16,6.6879986e-14,8.39178014e-16,-1.55060434e-15
0.0045,0.132155639,8.5707906,-211.866408,300.015053,0.651563064,2.30507225e-05,-4.06122034e-16,2.01511887e-16,1.70664684e-09,1.60954559e-19,1.43017672e-06,3.69230117e-15,-1.70684442e-14,8.35897519e-16,7.67425711e-30,1.21747853e-18,1.5683408e-28,3.40496956e-12,0.999969794,4.17546362e-07,1.02155323e-07,9.70206823e-17,8.21349613e-12,1.23954465e-17,9.75493858e-15,3.42927861e-12,-3.99333975e-17,1.85524358e-08,-2.20046228e-19,2.70625371e-09,1.07270446e-13,4.26909342e-10,2.71719354e-17,9.18954693e-12,2.59252075e-12,4.18359805e-14,6.15749326e-14,-7.08714652e-15,2.52889511e-10,-6.60915122e-30,7.98343622e-10,5.26680844e-13,1.08986385e-13,-1.12565315e-13,4.61550135e-18,9.87728329e-11,2.49983813e-14,2.33743243e-20,2.95331193e-12,4.99033437e-14,2.35411e-11,3.80534568e-17,5.18058904e-06,-8.34061018e-18,3.03998611e-15,1.43446971e-13,7.19582136e-15,7.49613064e-15
