grid,velocity,spread_rate,lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.03986158,4.46928983e-19,-21.6088492,300,0.650687319,0.000259489148,1.73819341e-14,-1.02140701e-14,9.30273967e-09,-8.09447137e-15,0.000132302833,1.22731182e-14,1.64110487e-13,-1.47884414e-13,1.03964867e-13,-3.70485834e-16,-1.41182176e-14,7.95286858e-11,0.999062168,4.2989653e-05,1.80286139e-05,3.57900089e-14,6.39144368e-10,9.59238076e-17,2.16952295e-14,4.03067385e-10,4.44948786e-18,4.07097998e-06,1.62652605e-15,4.0928777e-07,1.53492352e-11,6.52821114e-08,-3.39283823e-15,1.91277703e-09,5.60874613e-10,9.32559399e-14,-2.26660422e-13,1.72143562e-13,3.53420579e-08,2.0313014e-26,5.94174926e-08,8.51599287e-12,1.69704761e-11,-3.42388426e-13,-7.33624831e-14,2.57634784e-08,1.11099076e-13,1.53570932e-13,1.9607515e-10,5.93428391e-12,2.61710603e-09,1.13532005e-15,0.000480339708,-2.07101793e-29,7.47433306e-13,2.09924169e-11,8.69907807e-13,2.92325569e-12
0.000375,0.0398387006,0.31538086,-21.6088492,300.659397,0.649133946,0.00031193742,1.44123713e-14,-1.47668584e-14,1.54509878e-08,-3.05542649e-17,0.000219824015,2.09796915e-14,2.73743399e-13,-8.87407659e-14,1.5370508e-20,-6.05915887e-16,-2.29200764e-21,1.31046898e-10,0.998553941,7.18515261e-05,3.36913188e-05,6.82447042e-14,1.22224044e-09,1.54358045e-16,2.02673491e-14,7.75645109e-10,2.85032951e-20,7.5153325e-06,3.0125569e-15,7.69196736e-07,2.98072906e-11,1.27143622e-07,-5.24091585e-15,3.88539193e-09,1.13929536e-09,4.73435192e-14,-1.14421955e-13,1.68352219e-13,5.92410092e-08,3.41543557e-26,9.94490383e-08,1.5187773e-11,3.18259456e-11,-3.03619566e-13,-2.30117993e-14,4.98288358e-08,2.15579809e-13,1.43092217e-13,3.67219732e-10,1.11140668e-11,4.90146604e-09,2.12308619e-15,0.000800106239,-4.30676755e-29,1.63788902e-12,4.60798399e-11,1.76994835e-12,5.95717648e-12
0.00075,0.0396280799,0.632454655,-21.6088492,301.70956,0.646775851,0.000374793515,9.81435502e-15,-1.48789816e-14,2.56246754e-08,-1.36470411e-17,0.000364617364,3.48709171e-14,4.55865987e-13,-4.54511103e-14,6.83060087e-28,-8.19264455e-16,-5.56928339e-26,2.15490199e-10,0.997731019,0.000119912882,6.28401141e-05,1.09821331e-13,2.33236528e-09,2.66262115e-16,1.8974203e-14,1.48944388e-09,1.22534034e-22,1.38479105e-05,3.8216137e-15,1.44274418e-06,5.77584536e-11,2.47116919e-07,-7.06163105e-15,7.87447619e-09,2.30898782e-09,1.67746505e-14,-4.74613839e-14,1.63598092e-13,9.91309262e-08,4.04480512e-26,1.66203423e-07,2.70384466e-11,5.97378164e-11,-2.42423792e-13,-9.39823392e-15,9.61651651e-08,4.10086303e-13,1.29771689e-13,6.86423122e-10,2.07749007e-11,9.16238443e-09,1.83394087e-15,0.0013308674,-1.02555572e-28,3.58081504e-12,1.0087931e-10,3.56160828e-12,1.21121865e-11
0.001125,0.0392527626,0.952149369,-21.6088492,303.371566,0.643201355,0.000449849459,6.4601056e-15,-1.16412578e-14,4.23565296e-08,-6.53201879e-18,0.000602560033,5.75912948e-14,7.56545058e-13,-1.91003065e-14,-1.15273125e-27,-8.96465975e-16,-1.02140416e-25,3.53242863e-10,0.996395515,0.00019945651,0.00011670223,1.66970968e-13,4.43002781e-09,4.8124475e-16,1.81114384e-14,2.84668011e-09,-8.82244785e-24,2.54092876e-05,4.55821464e-15,2.69417593e-06,1.11428373e-10,4.78077157e-07,-8.04811929e-15,1.58784035e-08,4.65591456e-09,1.43339417e-15,-1.55400042e-14,1.57625578e-13,1.65267055e-07,4.73109617e-26,2.76836743e-07,4.79435043e-11,1.11612617e-10,-1.44889577e-13,-4.44462869e-15,1.84704307e-07,7.73681124e-13,1.13568638e-13,1.27754296e-09,3.86653446e-11,1.70532153e-08,7.87454805e-16,0.00220661931,-2.75304878e-28,7.78647846e-12,2.19592238e-10,7.12102572e-12,2.45014017e-11
0.0015,0.0387448506,1.27583896,-21.6088492,305.97592,0.63782949,0.000538945953,4.23825881e-15,-6.93922998e-15,6.96004683e-08,5.3535373e-18,0.000989345594,9.60037022e-14,1.248001e-12,-6.31845606e-15,-6.01180507e-28,-7.60412642e-16,-1.56084259e-25,5.76531918e-10,0.994235757,0.000329794727,0.000215083138,2.53416694e-13,8.34548096e-09,8.95236345e-16,1.82358154e-14,5.39584679e-09,-2.11307132e-24,4.62770672e-05,5.34615125e-15,4.99209908e-06,2.13319401e-10,9.17369874e-07,-7.39800391e-15,3.17344391e-08,9.30523685e-09,-3.05332817e-15,-3.87312654e-15,1.50138987e-13,2.73732382e-07,5.69179343e-26,4.58360481e-07,8.4408714e-11,2.06760859e-10,1.09570514e-14,-1.90701517e-15,3.51796339e-07,1.45078995e-12,9.49376971e-14,2.35956789e-09,7.14130814e-11,3.14971887e-08,-1.11748297e-16,0.00363764281,-7.36049822e-28,1.67722606e-11,4.73316708e-10,1.41327365e-11,4.91223843e-11
0.001875,0.0381465696,1.60547733,-21.6088492,309.999514,0.629891931,0.000643785454,3.08971855e-15,-2.80996685e-15,1.13318865e-07,2.76575507e-17,0.001608152,1.63823698e-13,2.03961119e-12,-1.57910249e-15,-2.2743469e-28,-4.56477106e-16,-1.72565095e-25,9.35221317e-10,0.990776467,0.00054027152,0.000391768822,3.97019283e-13,1.55245531e-08,1.6951916e-15,2.03320384e-14,1.00986124e-08,-2.25941252e-25,8.33201838e-05,6.84268336e-15,9.13983088e-06,4.03572408e-10,1.73836143e-06,-4.91721556e-15,6.25670224e-08,1.8345979e-08,-2.54240671e-15,-7.01240065e-16,1.40828478e-13,4.48812845e-07,7.95955007e-26,7.51870342e-07,1.46981655e-10,3.78262121e-10,2.58558469e-13,-6.35890945e-16,6.61469791e-07,2.69616557e-12,7.49974449e-14,4.30691227e-09,1.3034974e-10,5.7492304e-08,-4.05230931e-16,0.00594320942,-1.80226017e-27,3.56106546e-11,1.00505196e-09,2.77303986e-11,9.71474945e-11
0.00225,0.0375089264,1.9436892,-21.6088492,316.097602,0.618471287,0.000765626684,3.01782175e-15,-3.59956635e-16,1.82080464e-07,7.62500556e-17,0.00257659788,2.89786965e-13,3.28927797e-12,-2.53381509e-16,-5.84113566e-29,-1.41839984e-16,-5.23436899e-26,1.50467971e-09,0.985325048,0.000873410763,0.00070180376,6.52187379e-13,2.83674289e-08,3.25184217e-15,2.59977118e-14,1.8562706e-08,-5.74830935e-27,0.000147587324,1.14810799e-14,1.64517498e-05,7.50827087e-10,3.23608337e-06,-2.02853036e-15,1.21007239e-07,3.54818184e-08,-1.13816708e-15,-2.93131481e-17,1.29431938e-13,7.25279744e-07,1.58645665e-25,1.21699074e-06,2.51957063e-10,6.80228326e-10,6.46075127e-13,-1.35913832e-16,1.22122949e-06,4.93677645e-12,5.55025625e-14,7.73091845e-09,2.33977599e-10,1.03199326e-07,-2.90982075e-16,0.00958657222,-3.94002023e-27,7.40908962e-11,2.08973129e-09,5.34792728e-11,1.88450749e-10
0.003,0.0362164969,2.65116015,-21.6088492,336.778072,0.583606455,0.00105906099,6.82764784e-15,4.51033643e-16,4.26468069e-07,3.66178622e-16,0.00597675176,8.94611252e-13,7.75099372e-12,-9.45157734e-18,2.96515512e-29,8.76718311e-17,1.44894695e-24,3.58361488e-09,0.965824853,0.00206718101,0.00195806841,1.79129838e-12,8.14684047e-08,1.07916025e-14,5.43006762e-14,5.38183311e-08,7.17655657e-26,0.000404490849,5.96553701e-14,4.62170596e-05,2.22894733e-09,9.59097717e-06,1.42659405e-15,3.80009991e-07,1.11426484e-07,-1.25120736e-16,3.43494446e-16,1.00332549e-13,1.70749126e-06,1.76243881e-24,2.88587308e-06,6.54610809e-10,1.90861977e-09,2.01720434e-12,-6.67809504e-18,3.56347441e-06,1.42617701e-11,2.41755288e-14,2.16368685e-08,6.54842103e-10,2.88829576e-07,-4.25141259e-17,0.0226442478,-1.32464405e-26,2.60779732e-10,7.33480457e-09,1.67577024e-10,5.94543945e-10
0.00375,0.0348968037,3.40989562,-21.6088492,372.825407,0.533337843,0.00140627812,2.93347801e-14,8.76774918e-16,8.74077055e-07,1.29900938e-15,0.0120471524,3.01389913e-12,1.59634926e-11,-2.06063031e-19,3.84394715e-28,2.51072347e-16,2.01136866e-23,7.8441997e-09,0.929662291,0.00427516346,0.00460052863,5.09058488e-12,1.94916544e-07,3.69170027e-14,1.13477008e-13,1.29762348e-07,2.60513552e-24,0.000937005793,4.43682587e-13,0.000109009915,5.55395692e-09,2.36200766e-05,5.9642239e-15,9.76871855e-07,2.86437303e-07,-7.46559912e-18,2.43924296e-15,6.76042552e-14,3.48710405e-06,4.58074717e-23,5.97581241e-06,1.44832264e-09,4.50224416e-09,4.48611476e-12,-1.42385063e-19,8.62730668e-06,3.39426431e-11,7.93832222e-15,5.09459837e-08,1.54188495e-09,6.80076612e-07,4.78907291e-18,0.0469176229,-3.00737486e-26,7.37422427e-10,2.05523875e-08,4.29951466e-10,1.53358125e-09
0.0045,0.0331908757,4.21997515,-21.6088492,427.945672,0.474416438,0.00177698585,1.66295655e-13,3.03937027e-15,1.58515148e-06,3.54926638e-15,0.0213087594,1.01326862e-11,2.90689213e-11,-3.78281358e-21,1.03638408e-26,1.04207166e-15,5.16436131e-22,1.63008349e-08,0.871179852,0.00781839084,0.00934472648,1.38906828e-11,3.99682347e-07,1.41041571e-13,1.9673759e-13,2.67936086e-07,9.90805383e-23,0.00187971169,3.41399517e-12,0.000221680762,1.20465933e-08,4.98977529e-05,2.97763887e-14,2.13421389e-06,6.25786729e-07,-3.32384042e-19,1.75254497e-14,4.39549059e-14,6.24692577e-06,1.70346711e-21,1.09359945e-05,2.76902575e-09,9.17016415e-09,8.2218931e-12,-1.68436979e-21,1.78536113e-05,6.63264333e-11,2.14402491e-15,1.03611868e-07,3.13582575e-09,1.38311414e-06,2.88284061e-17,0.0863783617,-5.64227906e-26,1.75327599e-09,4.82336421e-08,9.30067439e-10,3.35632029e-09
