grid,velocity,spreadRate,Lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.155176129,-2.89872253e-19,-178.878089,300,0.651698254,6.58003011e-08,-3.49385606e-16,-2.19084385e-14,3.94657892e-14,-4.00731693e-18,7.97479846e-12,1.86245146e-20,-1.09357424e-14,7.22397032e-14,8.87080901e-15,3.97674249e-21,-2.97653255e-14,-2.53951468e-14,0.999999934,2.13210238e-12,9.81032842e-14,1.42852861e-19,3.92219166e-16,-1.228754e-17,2.43499622e-16,2.12731196e-18,-1.22013204e-18,2.17681377e-14,2.01355621e-14,1.42558286e-14,1.05573594e-18,6.61810825e-14,1.71634209e-20,-1.14659259e-13,-3.4220836e-16,-8.86667588e-14,-2.24348243e-14,6.52315599e-15,1.26788323e-15,1.97423314e-36,3.917359e-15,7.84116873e-19,1.13390513e-14,1.11636556e-13,9.75941521e-19,5.77612306e-17,1.33456678e-14,-1.44190916e-19,-3.28923743e-16,3.05633113e-19,-9.69763151e-15,2.31295115e-21,2.77786899e-11,-7.2695387e-18,7.90196533e-20,1.55105022e-16,-7.19125874e-20,3.76505735e-14
0.000375,0.154927444,0.66331062,-178.878089,300,0.651698018,1.17663556e-07,3.62793615e-17,-1.74716358e-14,6.0160544e-14,-1.08809347e-17,2.8559569e-11,5.76061417e-20,-1.09354695e-14,7.22394001e-14,2.41829009e-21,7.95394059e-21,-1.0208277e-20,-8.95661049e-14,0.999999882,7.71569777e-12,4.30638371e-13,1.43157317e-19,4.10980459e-16,-1.22875389e-17,2.43371061e-16,9.80046557e-18,-1.17831419e-18,9.36163542e-14,3.85436837e-15,6.31672073e-14,1.27223654e-18,6.70072918e-14,1.79264086e-20,-1.14648395e-13,-3.39085201e-16,-8.86665464e-14,-2.24346725e-14,6.52317354e-15,4.61313054e-15,7.14910134e-36,1.42128146e-14,3.45351345e-18,1.13393689e-14,1.11636558e-13,9.92731663e-19,2.74979339e-16,1.33455762e-14,-1.43431484e-19,-3.20191128e-16,4.59947898e-19,-9.62508317e-15,1.17094696e-21,9.98966218e-11,-7.26953761e-18,8.05543206e-20,1.55146629e-16,-9.38014264e-20,3.76505818e-14
0.00075,0.15418132,1.32662126,-178.878089,300.000002,0.651697595,2.1033952e-07,4.75474199e-17,-1.39197197e-14,1.34122327e-13,-8.69374151e-18,1.02207493e-10,1.97279273e-19,-1.093449e-14,7.22385494e-14,6.57253358e-28,1.18003656e-20,-3.49083383e-27,-9.4648806e-14,0.999999789,2.78983e-11,1.88853445e-12,1.44424365e-19,4.96424404e-16,-1.22875359e-17,2.43241326e-16,4.46288977e-17,-1.1077316e-18,4.02248579e-13,7.35565621e-16,1.0237608e-13,2.28296596e-18,7.08833111e-14,2.03355368e-20,-1.14594032e-13,-3.23413927e-16,-8.86660075e-14,-2.24342586e-14,6.52323221e-15,1.67704879e-14,3.73526607e-35,5.15226177e-14,1.42694605e-17,1.13407775e-14,1.11636609e-13,1.0496386e-18,1.28273436e-15,1.33454869e-14,-1.4268342e-19,-2.81766547e-16,1.13895393e-18,-9.30585585e-15,-2.99748211e-21,3.58944226e-10,-7.26953567e-18,8.91903411e-20,1.55381987e-16,-8.33072383e-20,3.76506348e-14
0.001125,0.152937791,1.98993194,-178.878089,300.000005,0.651696838,3.75593739e-07,6.47968998e-17,-1.10728345e-14,3.97540488e-13,-6.91577516e-18,3.64750232e-10,6.96394515e-19,-1.09309819e-14,7.22361794e-14,-3.38047807e-32,1.56942762e-20,-1.65129273e-30,-9.92347905e-14,0.999999623,1.005967e-10,8.25646261e-12,1.50222745e-19,8.8409603e-16,-1.22875277e-17,2.43112879e-16,2.0379564e-16,-9.94420262e-19,1.72311481e-12,1.39662428e-16,2.61518327e-13,6.98425757e-18,8.89980308e-14,2.79165845e-20,-1.14322477e-13,-2.45081928e-16,-8.8664547e-14,-2.24331625e-14,6.52340988e-15,6.07987717e-14,1.97894013e-34,1.86258522e-13,5.7934532e-17,1.13469898e-14,1.11636865e-13,1.23750579e-18,5.9402658e-15,1.33454102e-14,-1.4193564e-19,-1.1332258e-16,4.11555382e-18,-7.90641721e-15,-1.81725807e-20,1.28620956e-09,-7.26953223e-18,1.37692591e-19,1.56707857e-16,8.9196705e-20,3.76509199e-14
0.0015,0.151196917,2.65324277,-178.878089,300.000018,0.651695479,6.69221513e-07,9.11342151e-17,-8.78953147e-15,1.33027391e-12,-5.48971382e-18,1.29520953e-09,2.46997401e-18,-1.09184801e-14,7.22296248e-14,-4.14881824e-32,1.99103198e-20,-1.44394463e-30,-1.01422579e-13,0.999999324,3.60933076e-10,3.58978897e-11,1.76506852e-19,2.63195784e-15,-1.22875027e-17,2.43001987e-16,9.28302287e-16,-8.26555415e-19,7.34114054e-12,2.63280305e-17,9.56190845e-13,2.87139497e-17,1.73121031e-13,5.16863307e-20,-1.12974096e-13,1.43930781e-16,-8.86604978e-14,-2.24303039e-14,6.52391966e-15,2.19317841e-13,1.05449856e-33,6.6998911e-13,2.33144205e-16,1.13741898e-14,1.11637894e-13,1.84272735e-18,2.73297388e-14,1.33454069e-14,-1.41165474e-19,6.20497968e-16,1.70830185e-17,-1.80971621e-15,-7.31094808e-20,4.58608037e-09,-7.26952621e-18,4.08384535e-19,1.64127198e-16,1.06763824e-18,3.76523764e-14
0.001875,0.148958807,3.31655404,-178.878089,300.000061,0.651693037,1.18835068e-06,1.31196717e-16,-6.95813852e-15,4.60599883e-12,-4.34592822e-18,4.56581574e-09,8.72101814e-18,-1.08742761e-14,7.22116866e-14,-3.27878395e-31,2.54780716e-20,-1.21673412e-30,-9.74172819e-14,0.999998789,1.28556128e-09,1.54830585e-10,2.93914148e-19,1.04425827e-14,-1.22874187e-17,2.42989349e-16,4.1985709e-15,-6.06942338e-19,3.10281779e-11,4.91535981e-18,3.97265669e-12,1.28254743e-16,5.60290562e-13,1.25744908e-19,-1.06338928e-13,2.05828515e-15,-8.86492431e-14,-2.24229459e-14,6.52533245e-15,7.85356522e-13,5.61183801e-33,2.39242267e-12,9.30176057e-16,1.14921635e-14,1.11641743e-13,3.74151775e-18,1.24684962e-13,1.33457647e-14,-1.40315561e-19,3.78932648e-15,7.30799236e-17,2.45177735e-14,-2.70258108e-19,1.62332624e-08,-7.26951583e-18,1.90509959e-18,2.05255862e-16,6.01500814e-18,3.76596392e-14
0.00225,0.146223651,3.97986669,-178.878089,300.0002,0.651688613,2.10026255e-06,1.91840453e-16,-5.49076208e-15,1.5988418e-11,-3.42958007e-18,1.59403591e-08,3.05191842e-17,-1.07196075e-14,7.21633333e-14,-3.95441418e-31,3.62570855e-20,-9.72390577e-31,-7.44693507e-14,0.999997822,4.5346083e-09,6.60747245e-10,8.10379169e-19,4.49446561e-14,-1.22871169e-17,2.43443584e-16,1.87914728e-14,-3.68971175e-19,1.29771044e-10,8.67880986e-19,1.69237755e-11,5.78961502e-16,2.3216165e-12,3.54488924e-19,-7.4072435e-14,1.13678169e-14,-8.86182452e-14,-2.24042901e-14,6.52914775e-15,2.78502257e-12,2.96475173e-32,8.46025161e-12,3.67241986e-15,1.19978184e-14,1.11655597e-13,9.51719465e-18,5.6268337e-13,1.33478055e-14,-1.39230681e-19,1.73174989e-14,3.12138567e-16,1.36914758e-13,-9.69207379e-19,5.69068825e-08,-7.26949844e-18,1.00805041e-17,4.30482921e-16,3.02582219e-17,3.76952385e-14
0.003,0.139263263,5.30650442,-178.878089,300.001403,0.651668643,5.95601692e-06,4.04945731e-16,-3.44895388e-15,1.21709126e-10,-2.15538214e-18,1.216893e-07,2.337655e-16,-9.27185999e-15,7.18286024e-14,-2.26104201e-31,1.15985421e-19,-3.65850024e-31,1.57142783e-13,0.999993442,3.50862696e-08,6.52039706e-09,6.99385541e-18,4.6117051e-13,-1.22840325e-17,2.5061143e-16,1.96774997e-13,-5.44333812e-20,1.24867154e-09,9.37379935e-20,1.68440868e-10,6.16290548e-15,2.42535554e-11,2.22208825e-18,3.57532327e-13,1.35895008e-13,-8.83974859e-14,-2.22837358e-14,6.5555743e-15,2.16993647e-11,4.9669055e-31,6.56772023e-11,3.28524215e-14,1.79007779e-14,1.11787577e-13,5.4515293e-17,5.95191808e-12,1.33747456e-14,-1.35095342e-19,1.74614977e-13,3.09176924e-15,1.44381279e-12,-7.58786282e-18,4.36766268e-07,-7.26943142e-18,1.33864306e-16,3.8498704e-15,3.5581814e-16,3.8174519e-14
0.00375,0.130319934,6.63320265,-178.878089,300.00769,0.651613483,1.52668333e-05,8.24680039e-16,-1.91167294e-15,7.16643445e-10,-1.20055126e-18,7.17378871e-07,1.38168782e-15,-1.057875e-15,7.05371342e-14,-5.0418413e-32,5.9299444e-19,8.30227804e-31,1.45706637e-12,0.99998116,2.09247826e-07,4.80302878e-08,5.16663575e-17,3.53697978e-12,-1.22657622e-17,3.06843404e-16,1.52704672e-12,7.27875503e-21,8.99683596e-09,2.37289642e-19,1.25303889e-09,4.85807123e-14,1.91729537e-10,1.15101544e-17,3.90665964e-12,1.1598952e-12,-8.75149664e-14,-2.18458246e-14,6.66418729e-15,1.30187668e-10,6.08293304e-30,3.92800922e-10,2.22124284e-13,6.00845625e-14,1.12544616e-13,2.2581981e-16,4.65997738e-11,1.35856952e-14,-1.22698718e-19,1.29342395e-12,2.28624345e-14,1.07395168e-11,-3.9320039e-17,2.58672787e-06,-7.26929904e-18,1.29044601e-15,3.58879774e-14,3.04087321e-15,4.21390796e-14
0.0045,0.119406059,7.96016206,-178.878089,300.038839,0.651451596,3.69042595e-05,1.62691376e-15,-1.95387644e-16,3.88763385e-09,-1.49771744e-19,3.89549322e-06,7.51859782e-15,4.30789768e-14,6.61427138e-14,3.30190823e-31,3.37651632e-18,8.93500052e-30,8.28308912e-12,0.999943537,1.14944749e-06,3.25851223e-07,3.50263127e-16,2.50028241e-11,-1.21637695e-17,7.06690349e-16,1.09159461e-11,1.90191182e-21,5.97002603e-08,2.91474028e-18,8.58746798e-09,3.52811467e-13,1.39915205e-09,5.52386058e-17,3.14432105e-11,9.10478789e-12,-8.4376926e-14,-2.04283008e-14,7.08601567e-15,7.19421156e-10,6.60158131e-29,2.16386537e-09,1.38304814e-12,3.44797087e-13,1.1664146e-13,7.52200472e-16,3.36084003e-10,1.51252338e-14,-8.2489676e-20,8.81150375e-12,1.55715713e-13,7.32048197e-11,-1.6404875e-16,1.41113612e-05,-7.26909948e-18,1.14766197e-14,3.1882896e-13,2.39261215e-14,7.30723744e-14
