z,u,V,T,rho,Z,PV,SourcePV,chiZ,S_n,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.000000000000000000e+00,-3.447921669999999938e+00,0.000000000000000000e+00,3.000000000000000000e+02,1.171970350000000050e+00,0.000000000000000000e+00,6.711115426033859937e-84,6.720365258048733645e-124,0.000000000000000000e+00,-1.082400000000013307e+01,0.000000000000000000e+00,9.236059730000000014e-88,7.520180050000000568e-66,2.329092180000000012e-01,9.144656940000000614e-74,3.022518609999999930e-83,0.000000000000000000e+00,6.969155879999999728e-75,0.000000000000000000e+00,0.000000000000000000e+00,2.051410559999999904e-130,9.682346629999998998e-132,8.059084589999999545e-109,1.011084410000000039e-104,0.000000000000000000e+00,7.590568520000000595e-112,4.770273209999999690e-147,4.639400190000000242e-119,6.743377719999998859e-182,2.048154330000000004e-126,9.238731559999999795e-120,2.004286040000000015e-199,6.375776410000000716e-119,1.199920459999999949e-192,2.851983479999999672e-120,6.782474520000000482e-124,4.989195869999999900e-115,5.176313569999999829e-182,3.439340299999999951e-126,6.933258829999999863e-129,8.564923170000000274e-103,0.000000000000000000e+00,1.579174220000000096e-94,2.317969869999999997e-107,5.601018560000000407e-97,5.534885050000000126e-103,1.523208960000000125e-111,9.910135800000000419e-66,4.835284009999999857e-108,0.000000000000000000e+00,1.126863690000000034e-117,1.335205649999999876e-120,0.000000000000000000e+00,5.734978329999999269e-120,2.920432079999999634e-120,8.718758100000001415e-118,2.902636249999999620e-120,7.670907820000000266e-01,3.331460469999999810e-121,0.000000000000000000e+00,3.035271579999999599e-141,7.262990909999999007e-182,2.907817779999999735e-129
8.340283569641367481e-04,-3.468430661068184762e-01,0.000000000000000000e+00,3.521850333341216697e+02,9.955890840625033489e-01,8.340283569641367481e-04,8.599121328215670072e-04,1.457181579986761193e-03,1.689480783174207943e+02,1.344326235224221477e+02,4.428109002105147713e-05,3.046142324024193442e-11,5.623685583336256144e-07,2.298334472255554872e-01,1.684959139598680844e-06,3.661489597161416212e-03,3.539660555841483109e-06,3.148166441071146439e-06,0.000000000000000000e+00,7.053553799107873848e-25,4.943308210928293382e-17,3.021752693229237775e-18,4.847406796409662953e-13,3.155044014449563511e-09,1.749502116766698959e-04,6.534646134680546520e-04,7.744668135192067338e-16,4.871277932149580441e-11,1.147908547793793263e-16,9.796629067528510404e-13,7.114781888321037808e-11,6.837190404672592257e-28,4.803861354172100355e-13,1.667455522670591732e-20,4.658585853181671337e-13,3.379774377714352419e-18,2.179123622927783823e-15,1.004752283573257652e-17,1.543043676023812670e-12,3.088910121729266638e-15,1.588443946716689906e-14,2.080276776390102191e-14,2.679049345275591867e-12,2.529911611748855898e-11,7.086608331372405917e-19,4.560586826206133697e-07,3.845366781251078722e-07,4.224119643590861905e-09,1.422757775352456562e-10,3.073765488567834202e-22,6.008244424537323649e-09,1.541678825801969616e-11,6.558169900438435704e-25,7.159782901742107872e-12,3.645979432209870051e-12,1.088495187157877304e-09,3.067566519434912650e-12,7.656225766822926104e-01,1.470697258742894500e-21,8.307305955520955258e-24,1.554821099456716595e-21,3.034167087617308265e-17,3.348270744527524518e-15
1.668056713928273496e-03,-3.672469937285320896e-01,0.000000000000000000e+00,4.021402836936468361e+02,8.701922377669079056e-01,1.668056713928273496e-03,1.639016268536129832e-03,7.269601348827545509e-03,5.536536967358175616e+02,4.664380069243686080e+02,5.576337451175936757e-05,2.324096196157624456e-10,1.244419867732905491e-06,2.265014006827193727e-01,3.882397422290501439e-06,6.930107612309305276e-03,9.569948585828272025e-06,6.280731203771038491e-06,4.366868248531381810e-26,3.834032509318323571e-23,3.719397923359542774e-16,2.572163577707424188e-17,1.801482823196261719e-12,6.157537856568840134e-09,3.608297374452093466e-04,1.618700789962768203e-03,6.761385887590204229e-15,1.248129459853272257e-10,6.443102459358644118e-16,4.703791586195384916e-12,1.771900009604597116e-10,1.653809174665362245e-25,1.141689963910574310e-12,1.924176602007283997e-19,1.136648029050802091e-12,2.291659442189742460e-17,5.704641100168253915e-15,8.145152718012111180e-17,4.356071555466055252e-12,8.652642811444052888e-15,3.837558298585691330e-14,1.202174030902203794e-13,4.886826714332536464e-12,4.903316368018009172e-11,1.995035807947458718e-17,9.871723659359719039e-07,8.080602765416213938e-07,1.054996585168207181e-08,3.346174770980529958e-10,2.234568820888931295e-20,1.490564355261862151e-08,3.848595167761369461e-11,2.578698570452964644e-23,1.781750859658100654e-11,9.073191623753444233e-12,2.708820750346674280e-09,9.018280033629642352e-12,7.645103897406849702e-01,3.097020264368409300e-21,3.824295140801064929e-23,5.194788767215318724e-21,3.278717590449798625e-16,1.058843194785107230e-14
2.502085070892410244e-03,-3.922230960329888272e-01,0.000000000000000000e+00,4.500872450054295086e+02,7.760325915017273202e-01,2.502085070892410244e-03,2.365590815886109421e-03,2.149207469604743140e-02,1.032518714271873478e+03,6.941159012225031120e+02,6.380679527003578412e-05,1.203250820471441963e-09,2.216115660110575387e-06,2.231401024945709466e-01,7.062860263745650009e-06,9.938122806216245428e-03,1.850140438834660487e-05,9.233400479093544749e-06,3.254102167392622543e-25,7.742961988871994628e-22,1.497467934727143694e-15,1.130541639805519682e-16,4.458421685059368529e-12,9.051978622251229999e-09,5.481089040149739406e-04,2.718975360524884897e-03,3.724991206139379642e-14,2.161774983438760026e-10,1.995447959488227361e-15,1.164534693069707691e-11,2.965043231511553192e-10,5.342539048503322378e-24,1.876116918915150896e-12,1.043915727024194930e-18,1.895627035528777283e-12,9.521573961117663504e-17,9.916661803574813290e-15,3.185362053121946990e-16,7.899069309259849724e-12,1.553327339952629085e-14,7.422928342141333193e-14,3.943829159549585281e-13,7.216857503334660478e-12,7.150153204113582526e-11,2.684243542685388192e-16,1.574155460612260935e-06,1.175226317106920390e-06,1.780904351062482708e-08,5.749791340290911591e-10,4.500797125207506644e-19,2.493825961473120467e-08,6.448619915379531137e-11,3.871473971742560615e-22,3.001611295557229928e-11,1.528492547040095192e-11,4.563498228656043659e-09,1.765460694097632577e-11,7.635510615886484942e-01,4.753189516317400539e-21,1.010775797562289226e-22,1.038216618723622125e-20,2.035124492070216553e-15,2.116060863600566509e-14
3.336113427856546992e-03,-4.179251357160772007e-01,0.000000000000000000e+00,4.964736190973482053e+02,7.023620877196306012e-01,3.336113427856546992e-03,3.055617271587840814e-03,5.126527076975299912e-02,1.556155291884982034e+03,8.593350669274479969e+02,7.024297876534083907e-05,5.574830811408874658e-09,3.622363632995809664e-06,2.197633036292047648e-01,1.164890231436672556e-05,1.276409518163839490e-02,3.083070413922469851e-05,1.198217098508403871e-05,1.596920205122115438e-24,1.057440734394793711e-20,4.609263944823925811e-15,3.710661224333071755e-16,9.133254521973267652e-12,1.188027582757555770e-08,7.365612865928379462e-04,3.912305183446727896e-03,1.871807896523749118e-13,3.208127238242683713e-10,4.906710966082362358e-15,2.188821354679795731e-11,4.230101534250857897e-10,7.025856408782637283e-23,2.662363897816059215e-12,4.077482696227057979e-18,2.719175224011080739e-12,3.175301971418633302e-16,1.466751727151016638e-14,9.221868641158865810e-16,1.204776882990232972e-11,2.337939323045498426e-14,1.341815688125017011e-13,9.888461725932580144e-13,9.794567308794278112e-12,9.315174008004454149e-11,2.564201595503731710e-15,2.224038189153014964e-06,1.455477814338204869e-06,2.571900749203685230e-08,8.726203829356659263e-10,4.612857999853698676e-18,3.569034643274612355e-08,9.202935032058501721e-11,4.063032464944825606e-21,4.328807457064072340e-11,2.204263403902450484e-11,6.581445829956800171e-09,2.930853697313139224e-11,7.626916406814545635e-01,6.427512457903212043e-21,2.126456741698118426e-22,1.694420996205131284e-20,9.582342526613623423e-15,3.531308419982755810e-14
4.170141784820683740e-03,-4.433609990168190240e-01,0.000000000000000000e+00,5.415019665376670446e+02,6.429620823600314949e-01,4.170141784820683740e-03,3.717735978643738320e-03,1.072232430949378312e-01,2.100356742575771932e+03,9.828393593671481767e+02,7.572566600312497496e-05,2.133874291939369859e-08,5.659677369432764127e-06,2.163759388549766349e-01,1.817001106865605625e-05,1.545064914273114494e-02,4.639947319763532580e-05,1.449313170019548970e-05,2.237687779805107516e-24,1.084000946387760341e-19,1.218420310616586827e-14,1.029257858868201021e-15,1.666288424910152657e-11,1.466505833520777117e-08,9.261651841313405529e-04,5.177010911312756279e-03,8.078842016027002900e-13,4.384338210972258339e-10,1.066767363682272010e-14,3.488249167657135689e-11,5.528382137435617999e-10,6.118437917877360430e-22,3.491792348078834002e-12,1.324997912141456707e-17,3.598547571975447273e-12,8.761926815136763188e-16,1.990933602461212274e-14,2.262777541311829250e-15,1.678774561684400010e-11,3.201093320045657050e-14,2.364981673003950117e-13,2.106441553488323783e-12,1.271274339454404689e-11,1.142747417005444436e-10,1.768587744992708146e-14,2.942855499119459022e-06,1.629389722673479078e-06,3.413365260251122594e-08,1.235109631275736561e-09,3.172229269871427244e-17,4.695847793604203391e-08,1.198607320678792128e-10,3.226431762410630312e-20,5.739680899085663298e-11,2.922407602374706062e-11,8.726234277494290018e-09,4.442250518373539840e-11,7.619050871970901584e-01,8.114903791315369646e-21,3.934032856167349166e-22,2.480255058888450537e-20,3.322001461079511969e-14,5.354856205292848655e-14
5.004170141784820489e-03,-4.681843996476875991e-01,0.000000000000000000e+00,5.852822480014168605e+02,5.940036065700740053e-01,5.004170141784820489e-03,4.357302294717185082e-03,2.021189958268806708e-01,2.652664823096296004e+03,1.076217428823825458e+03,8.056703380469496748e-05,6.402271182299081783e-08,8.591207224017746990e-06,2.129809524230618367e-01,2.722384851939258670e-05,1.802421961354048682e-02,6.407877879035999238e-05,1.672854956724367860e-05,3.352806296863153116e-23,7.732615135636848787e-19,2.885648119502344145e-14,2.527328002304177462e-15,2.801889980746599203e-11,1.742255466233464041e-08,1.116999430205127845e-03,6.500012675251773224e-03,2.738403636504834478e-12,5.697543874647565998e-10,2.137110234297133777e-14,4.935589859266927555e-11,6.828829864271830840e-10,3.768424525818940319e-21,4.362189234890621578e-12,3.742934847167474767e-17,4.532745559525540014e-12,1.999686216819911821e-15,2.564303076965930078e-14,4.974488976194970726e-15,2.218983692024535143e-11,4.135199326328949896e-14,4.104752473746549719e-13,4.005446826422016619e-12,1.606642025646779211e-11,1.351028203273860439e-10,8.473712183221507993e-14,3.731809611616816408e-06,1.689825768154742953e-06,4.296514710820952951e-08,1.661630908799079851e-09,1.585990332132533257e-16,5.862847080147007049e-08,1.462596882799956177e-10,1.835028860760145095e-19,7.221436218904137526e-11,3.675918805885020478e-11,1.097644291758013644e-08,6.355556353436495950e-11,7.611750072891132479e-01,9.812701670406549557e-21,6.670444089733263784e-22,3.391069441511697148e-20,8.632218870385983215e-14,7.653244240887660880e-14
5.838198498748957237e-03,-4.922635019496261477e-01,0.000000000000000000e+00,6.278985868717907124e+02,5.528334434819948129e-01,5.838198498748957237e-03,4.978286579239835953e-03,3.473360152631517206e-01,3.206294122942339527e+03,1.146964492186732969e+03,8.495343880446769454e-05,1.551146112663933059e-07,1.273207780318120627e-05,2.095808235904264571e-01,3.932843437687432055e-05,2.050442315649191050e-02,8.207990708798549228e-05,1.866022538806883229e-05,3.918098321007670179e-22,3.931630315699655916e-18,6.197930508492965829e-14,5.578021954705668413e-15,4.417243400802839259e-11,2.016755893049246051e-08,1.309199675799368329e-03,7.871709706332864764e-03,7.386332362469845310e-12,7.160850582822502417e-10,4.002337110310915797e-14,6.352256179065544697e-11,8.103124209478709094e-10,1.730789702585882484e-20,5.275348921022926438e-12,9.293231234137958754e-17,5.525653302810140016e-12,3.840365532786934091e-15,3.187351657443266969e-14,1.003149933308566644e-14,2.839487604473996213e-11,5.140641982785406607e-14,6.979266654471621556e-13,6.977064120828972980e-12,1.995290752295693521e-11,1.558532411326009169e-10,2.978091530648305734e-13,4.583809161867524940e-06,1.646090502821233025e-06,5.214929554784435083e-08,2.138369337543501351e-09,6.091990142229605686e-16,7.062491555676520665e-08,1.690081477073006767e-10,7.691544587228808528e-19,8.767410263238050457e-11,4.460430664083609522e-11,1.331698287285058456e-08,8.736523975116221268e-11,7.604895441224962527e-01,1.151928247367168666e-20,1.054721074410875192e-21,4.418044212920633657e-20,1.785672952133289450e-13,1.049362002978961883e-13
6.672226855713093985e-03,-5.154701880815125703e-01,0.000000000000000000e+00,6.693044523701152002e+02,5.180999863329257549e-01,6.672226855713093985e-03,5.582238394699796068e-03,5.562991452628947009e-01,3.756837468979748792e+03,1.198492576617008353e+03,8.897648505674846640e-05,3.289450487399234875e-07,1.864555001198390656e-05,2.061773708215559608e-01,5.518537604862916733e-05,2.289876904517399239e-02,9.835866150439219317e-05,2.023943866385450197e-05,3.909450448856474234e-21,1.771652604346056525e-17,1.258324837227052561e-13,1.158760709385382326e-14,6.668189646816319030e-11,2.291638841260236093e-08,1.503132072570447387e-03,9.288722840309650980e-03,1.736768555006393256e-11,8.813405462301808631e-10,7.236881063151535105e-14,7.525214661164456101e-11,9.317037196805405987e-10,7.230481537145244577e-20,6.243140360611745984e-12,2.155604090858811682e-16,6.594573267683804892e-12,6.459988969183061629e-15,3.861469920047270306e-14,1.943061381738536679e-14,3.574720164691869843e-11,6.237034749189711812e-14,1.179446683584496035e-12,1.151633533071029546e-11,2.454836691699057995e-11,1.767715668546964007e-10,8.899642571580033980e-13,5.488465165690674690e-06,1.514927562996337881e-06,6.166692873246440482e-08,2.641169201940832528e-09,2.101090749873063457e-15,8.292290764919833159e-08,1.850216823061557519e-10,2.817560241270160239e-18,1.038413996193232949e-10,5.277219565294597948e-11,1.574513242559416481e-08,1.173507041512134820e-10,7.598430787831829125e-01,1.323443240382578305e-20,1.581990524479371597e-21,5.554263208460328768e-20,3.160012340389213964e-13,1.401061642373033752e-13
7.506255212677230733e-03,-5.378591697820160888e-01,0.000000000000000000e+00,7.096360653046310745e+02,4.879660868893624937e-01,7.506255212677230733e-03,6.172744074632797312e-03,8.257400918048382055e-01,4.302537111790801646e+03,1.235829183880031678e+03,9.274600256248155430e-05,6.064585069408307015e-07,2.665640532033235465e-05,2.027722926216092569e-01,7.460954779803450330e-05,2.522512278209886397e-02,1.117454503782107676e-04,2.148891288422961278e-05,2.437790943543551830e-20,6.081055075724404611e-17,2.328530161486018304e-13,2.182275296482954069e-14,9.592601804751941996e-11,2.568598964880518395e-08,1.698924694397066634e-03,1.074197996335036522e-02,3.488789656981172938e-11,1.066988628319974619e-09,1.232659831052117661e-13,8.341979787709172169e-11,1.044837407022479141e-09,2.392869579529904112e-19,7.274080385646710583e-12,4.456743019604373995e-16,7.751258795877472733e-12,9.642086484236394770e-15,4.571849938574258100e-14,3.521526758341686310e-14,4.449254842087551568e-11,7.441353676343549164e-14,1.924518352315708098e-12,1.790313449885925740e-11,2.991568695987849298e-11,1.980823326776841099e-10,2.151454164182286311e-12,6.423284920786280689e-06,1.334418156331968400e-06,7.145624113716408391e-08,3.137178204780890075e-09,5.897366869496834924e-15,9.546509486339921038e-08,1.929989459287417294e-10,8.131265334692376066e-18,1.207394935929095950e-10,6.125413387645632684e-11,1.824769716462554346e-08,1.542696819094872718e-10,7.592258522997774595e-01,1.495695544708128740e-20,2.232845660009994749e-21,6.766973738004439563e-20,4.900033911639161164e-13,1.822870615031431508e-13
