z,u,V,T,rho,Z,PV,SourcePV,chiZ,S_n,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.000000000000000000e+00,-2.582161830000000158e-02,0.000000000000000000e+00,3.000000000000000000e+02,1.171499000000000068e+00,0.000000000000000000e+00,1.463984602013315272e-04,4.599808661480675514e-09,3.168921412133375581e-02,6.281604000000010624e-01,8.862032807002484318e-08,1.161394459607166951e-16,1.359156539540275434e-10,2.324922659213612408e-01,1.077033799635701390e-08,6.471271037811140731e-04,1.727003479415853866e-10,1.777157149398889766e-08,0.000000000000000000e+00,9.088019806926044891e-37,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.357552307173119666e-28,7.875151467336289683e-08,5.913456127999818033e-05,1.786722499395654628e-22,6.268851997879608823e-23,6.371384227844926834e-38,0.000000000000000000e+00,1.118963649621518922e-30,1.114139779623150452e-46,7.002433587631478515e-28,4.228174258569851054e-40,0.000000000000000000e+00,0.000000000000000000e+00,6.106492057934525350e-31,3.154333278933069996e-35,4.251784268561865521e-28,3.190889088920705908e-25,2.041081059309619633e-24,1.648978349442245587e-21,6.771992877709423583e-17,2.492217229157026000e-16,3.251085198900344460e-25,4.813330508371926303e-07,9.309483336851136223e-08,1.022629059654103223e-09,6.035087937958676856e-14,3.127546008942130866e-34,1.056357399642694866e-18,1.662777869437577699e-24,0.000000000000000000e+00,1.090642719631098213e-20,3.204354408916150944e-19,1.139595139614540382e-16,8.914094056984874485e-23,7.668007007406353326e-01,6.305025937867372404e-25,0.000000000000000000e+00,0.000000000000000000e+00,5.085182648279974637e-38,9.775575376693483084e-36
8.340283569641367481e-04,-2.868861722978167939e-02,0.000000000000000000e+00,3.493755811836352905e+02,1.004247137590031480e+00,8.340283569641367481e-04,1.021420582245975922e-03,1.789635114021479367e-07,8.037163328301907272e-01,2.325411222148793478e+00,1.754929758678740710e-07,3.271411990192944017e-15,9.261035731712737952e-10,2.293868613701982029e-01,6.996764295176598371e-08,4.443359318918113296e-03,1.564339500847032785e-09,1.297301107526345528e-07,1.194179040359569107e-27,1.784108860472728457e-35,0.000000000000000000e+00,8.070418652709116795e-38,0.000000000000000000e+00,5.939610128390537446e-27,6.404861510323598355e-07,7.649461317385264098e-04,8.465672082669842962e-23,2.488830293595436367e-22,2.603032787525425967e-35,1.966247398660445426e-32,6.034496955742909891e-28,0.000000000000000000e+00,8.494691717448095296e-27,7.126715707313981920e-38,0.000000000000000000e+00,0.000000000000000000e+00,7.829890810420109767e-30,2.002619202074614551e-33,7.879607954474382389e-27,5.711496563142348173e-24,6.343379725127460830e-23,3.032108352853630370e-20,2.979823031799935071e-16,1.804187237288518166e-15,7.875889106097730578e-23,3.968101482999802373e-06,9.803847478849273046e-07,1.346062134891376607e-08,6.094248728480492764e-13,8.315664115089355098e-32,1.409429379551791688e-17,2.232015069613167881e-23,0.000000000000000000e+00,1.423402443823308994e-19,4.182001787169874081e-18,1.487370719032213822e-15,3.305271997911291016e-21,7.653988530643529575e-01,5.387573602065423352e-24,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.668056713928273496e-03,-3.177365030003067442e-02,0.000000000000000000e+00,4.007123667892500976e+02,8.743334355088685506e-01,1.668056713928273496e-03,1.891622222193135340e-03,7.949211898778584868e-07,2.838545731322067223e+00,4.353575910667601079e+00,2.170574310137964837e-07,2.690209118319920318e-14,2.704419359741106217e-09,2.258633510816119572e-01,1.626837243353619771e-07,8.153306688218928816e-03,4.440881465147453096e-09,2.307044834348325468e-07,3.937110586768830787e-29,5.843294434234748873e-35,5.551543441886371848e-35,3.114819326338031226e-36,1.199469730406804884e-30,1.116723457248109880e-26,1.275921265173739046e-06,1.786446772021005845e-03,1.430102418692983638e-21,8.701946261220626229e-22,3.113581515188218134e-34,1.819388172472867059e-31,1.817016966948030180e-27,0.000000000000000000e+00,2.002744849588593503e-26,3.134440170573973363e-37,0.000000000000000000e+00,0.000000000000000000e+00,1.559107425271464028e-29,1.229115323103036766e-32,2.216038454881491316e-26,1.522267912202096679e-23,3.162273684896942710e-22,1.601993664996691966e-19,4.982984247913545923e-16,3.416811384454304035e-15,2.557986249537928585e-21,7.939011306818894370e-06,2.084069263383633583e-06,3.165260820602284410e-08,1.489335055419744084e-12,2.470063126064276045e-30,3.295472079733308515e-17,5.059250365671144246e-23,0.000000000000000000e+00,3.336517351787238344e-19,9.802756371935094597e-18,3.486919971205511473e-15,2.351579482606450775e-20,7.641849472112413055e-01,1.080270164309482040e-23,0.000000000000000000e+00,0.000000000000000000e+00,2.582644020097272367e-35,0.000000000000000000e+00
2.502085070892410244e-03,-3.478641949144976875e-02,0.000000000000000000e+00,4.500101462474801224e+02,7.759994018526762405e-01,2.502085070892410244e-03,2.703179267868003818e-03,2.054795221382684541e-06,5.554142487273591833e+00,5.987892998338582018e+00,2.464247874568882016e-07,1.084262058849925996e-13,5.835348443387409862e-09,2.223397000800559908e-01,2.828047986747755678e-07,1.157470866225193511e-02,9.282624565243853167e-09,3.168827394183200842e-07,0.000000000000000000e+00,0.000000000000000000e+00,2.006866886955285542e-34,1.605551437498479678e-35,9.082907508960510335e-30,1.613689815893552834e-26,1.917425115028398685e-06,2.927344340822071646e-03,8.214874343736141920e-21,2.105785315527247589e-21,1.170146357159609980e-33,7.034269418273584953e-31,3.270733313631674149e-27,0.000000000000000000e+00,3.333544000020613859e-26,7.999802791501739375e-38,0.000000000000000000e+00,0.000000000000000000e+00,2.142512947963649055e-29,3.676058176184206369e-32,4.111095012599909382e-26,2.695796399309033858e-23,9.746822657907279620e-22,5.512879357759227488e-19,6.826385613081449137e-16,4.981562614962124379e-15,2.374891005581752552e-20,1.195182637739945898e-05,3.210061626140754755e-06,5.207764795983802395e-08,2.569450838523274319e-12,3.777333364085028478e-29,5.381527987951655700e-17,7.732817353700020612e-23,0.000000000000000000e+00,5.479595490933861382e-19,1.609911329728492758e-17,5.727839539169547674e-15,8.760672211202318925e-20,7.631402542931154942e-01,1.621564115403809480e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.336113427856546992e-03,-3.769235108626932396e-02,0.000000000000000000e+00,4.976518297611751223e+02,7.006309433373968387e-01,3.336113427856546992e-03,3.469982578374780288e-03,4.501366020742098047e-06,8.916985006397903035e+00,7.328408858164685569e+00,2.694787949567586220e-07,3.617534787276275182e-13,1.129841589400271049e-08,2.188159648209150598e-01,4.379708422926209591e-07,1.477488735384783515e-02,1.744720334312323907e-08,3.916941974791912213e-07,0.000000000000000000e+00,0.000000000000000000e+00,5.297444417631156190e-34,6.229518715190041567e-35,3.137959217914032180e-29,2.093022623037687216e-26,2.568696424211968530e-06,4.164341682693123610e-03,3.649843320343314349e-20,4.541683281491944279e-21,4.908249149666888832e-33,2.255356767944307248e-30,4.974822640683871015e-27,0.000000000000000000e+00,4.823192929669942262e-26,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.492258419194421891e-29,1.979490541507566223e-30,6.533756958378699456e-26,4.068385555955526233e-23,2.590618059322131388e-21,1.664662109264353181e-18,8.559286185551025840e-16,6.541115206986067921e-15,1.724562741202219451e-19,1.601839496055104846e-05,4.328190999859117121e-06,7.431165313457496267e-08,3.807050441689220538e-12,3.991228300702636094e-28,7.615347014247149044e-17,9.506996210504692205e-23,0.000000000000000000e+00,7.808539386624895552e-19,2.294150588349202757e-17,8.165623946186495343e-15,2.683390594582164310e-19,7.622206886548679172e-01,2.162134970012712157e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.170141784820683740e-03,-4.049624335134156122e-02,0.000000000000000000e+00,5.439414357407639500e+02,6.398563603500816432e-01,4.170141784820683740e-03,4.204214377931126886e-03,8.822710638308953659e-06,1.360247080835073774e+01,8.695750578487070115e+00,2.891493237554524309e-07,9.949597833371448159e-13,2.030777718394551359e-08,2.152921777878829546e-01,6.344833760542330499e-07,1.781302325533500736e-02,3.055158677224551148e-08,4.590272053578924644e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.088864054206474835e-33,1.789923261397032338e-34,7.370805566872587788e-29,2.563548003343712142e-26,3.231798646368059618e-06,5.476339862084747545e-03,1.225217265991576411e-19,9.207558596301760186e-21,2.175233809769800747e-32,6.325310192686425986e-30,6.921270961701463653e-27,0.000000000000000000e+00,6.441679922946780999e-26,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.636975978511840783e-29,1.231691981096914519e-30,9.555921688558713051e-26,5.609691692202671332e-23,5.942279592906323363e-21,4.177184046318455423e-18,1.018021379147693647e-15,8.134530818024214953e-15,8.361064792646249261e-19,2.014153149938094735e-05,5.414600190394336036e-06,9.796424434786768447e-08,5.166154486687245288e-12,2.418809369543323356e-27,9.956357567351254880e-17,9.593480301489520594e-23,0.000000000000000000e+00,1.028295993417801015e-18,3.021125609912143154e-17,1.076084805458139182e-14,6.842047558443875077e-19,7.613881396746664532e-01,2.701790954528097379e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.004170141784820489e-03,-4.319562445831073849e-02,0.000000000000000000e+00,5.889467346895386299e+02,5.903249368266365593e-01,5.004170141784820489e-03,4.910452005301301978e-03,1.635713563490724930e-05,1.774293404557970177e+01,9.586619562374041337e+00,3.065159486279360036e-07,2.508224897751969059e-12,3.443206628785775607e-08,2.117683495840954888e-01,8.812521221052497742e-07,2.071115821992980041e-02,5.089913916812707935e-08,5.206963574021609374e-07,7.674288621759885428e-26,8.212344318613652911e-33,2.876489059791726649e-33,4.219358830275924009e-34,1.368586253207594559e-28,3.031508657830902326e-26,3.908913327829824334e-06,6.856360854873964732e-03,3.671269844454179214e-19,1.780029359279293769e-20,1.077635858868819994e-31,1.683765975421750111e-29,9.124405129035616520e-27,8.414897948404484125e-35,8.209974160376384931e-26,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.598687464716308616e-29,2.885040189561924071e-31,1.340270727893767406e-25,7.333894896630242963e-23,1.279205527386512858e-20,9.576168907480502205e-18,1.167605103512232737e-15,9.787531387095344387e-15,3.536326178698391180e-18,2.432712697930634822e-05,6.451795120882838600e-06,1.229070595144761181e-07,6.720527974673015548e-12,1.238042790290289072e-26,1.238882015712110517e-16,7.987236036108325160e-23,0.000000000000000000e+00,1.288953482114964057e-18,3.786916641814959871e-17,1.350344591354924979e-14,1.576381733920764300e-18,7.606275267937262496e-01,3.237310358394013790e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.838198498748957237e-03,-4.580728429022401516e-02,0.000000000000000000e+00,6.329272383313713135e+02,5.483524528114777086e-01,5.838198498748957237e-03,5.596220071136089914e-03,2.833012717630535658e-05,2.199250965682666603e+01,1.032451141832443753e+01,3.225490765641290479e-07,5.523352264428240383e-12,5.475745801334819930e-08,2.082444909974559277e-01,1.183385888775369960e-06,2.350647094212426208e-02,7.996053056531684273e-08,5.786379112608009592e-07,1.515325237603578908e-26,3.708868275562573772e-33,1.299083258684571394e-33,8.230153318062541280e-34,2.165486515036401374e-28,3.504418435118234639e-26,4.600204479317099768e-06,8.288326219810420240e-03,9.167558558852943457e-19,3.213341198152213675e-20,4.210424493651699473e-31,3.902883205236598159e-29,1.159005752039519479e-26,2.392850086905215385e-35,1.004990554266996134e-25,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.449050972902042196e-29,1.436167950329472696e-31,1.816873425985898412e-25,9.184476413716687287e-23,2.557298145782221276e-20,1.961328918259742826e-17,1.306068330958476497e-15,1.151513597266600545e-14,1.126081395610316038e-17,2.857207211007433756e-05,7.430158397529178955e-06,1.488365575661219669e-07,8.610360951069460340e-12,4.399903171554952159e-26,1.488772851218401940e-16,5.741960737149691446e-23,5.164376354817234779e-36,1.559709322139203922e-18,4.582363993275237102e-17,1.636428595884799550e-14,3.183394550493003542e-18,7.599177412640365503e-01,3.772572609212614262e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.672226855713093985e-03,-4.833274542545226010e-02,0.000000000000000000e+00,6.759272700971272343e+02,5.125649616072737169e-01,6.672226855713093985e-03,6.263812376379401282e-03,4.739570748354619671e-05,2.630847468939550282e+01,1.093460699281283510e+01,3.376957094031750949e-07,1.142069519030162887e-11,8.366932107818080295e-08,2.047206024073789377e-01,1.558726204591295678e-06,2.621008935592866046e-02,1.208664389446188909e-07,6.334774513775109347e-07,0.000000000000000000e+00,0.000000000000000000e+00,3.660348279426417962e-32,1.503791156946791786e-33,3.184386377526900924e-28,3.990179158577292319e-26,5.308414800920903723e-06,9.768336252288860669e-03,2.114131607225315161e-18,5.610576883249434382e-20,1.544495185906698150e-30,8.368196921042258933e-29,1.442229716250753942e-26,0.000000000000000000e+00,1.192851192957126750e-25,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.218092306759329774e-29,2.743239511843148919e-30,2.444320279669821235e-25,1.114449554760661737e-22,5.081469298422053539e-20,3.844141537901996222e-17,1.434396291773210294e-15,1.334010125461401326e-14,3.208328815325186538e-17,3.288427994547635859e-05,8.331294192411710812e-06,1.756791343320348812e-07,1.111174311635987217e-11,1.354026279710503744e-25,1.744575099831842549e-16,3.875828572358165600e-23,1.782456243756349297e-33,1.839809496532305752e-18,5.405242914639363624e-17,1.934223031127808116e-14,5.965905619933828684e-18,7.592515378586381924e-01,4.308810536320078500e-23,0.000000000000000000e+00,0.000000000000000000e+00,8.323091440008007021e-32,0.000000000000000000e+00
7.506255212677230733e-03,-5.077070594964834538e-02,0.000000000000000000e+00,7.179467204138487659e+02,4.820570724397390538e-01,7.506255212677230733e-03,6.914476515800621094e-03,7.857961713752815427e-05,3.067495733531709590e+01,1.143689130241208041e+01,3.523539968895974565e-07,2.316683855673713228e-11,1.250620518136871244e-07,2.011966784337763936e-01,2.039200110667669986e-06,2.882790363860474395e-02,1.782764995049662731e-07,6.853015607071491318e-07,0.000000000000000000e+00,0.000000000000000000e+00,9.576855904559994163e-32,2.736164627543550360e-33,4.578548232208194227e-28,4.500245972141397772e-26,6.038093673558295584e-06,1.129505957415164255e-02,4.765405028202472958e-18,9.739238351054763354e-20,5.780947236951002319e-30,1.712436125865863174e-28,1.784340227669036111e-26,0.000000000000000000e+00,1.386055287073787398e-25,0.000000000000000000e+00,0.000000000000000000e+00,1.361459302718646916e-34,1.947377649299295911e-29,4.748903358264550446e-30,3.235842690730076204e-25,1.319275996079588066e-22,1.068223971293272776e-19,7.552453973187766714e-17,1.555953317487409942e-15,1.529152165424716650e-14,8.798187440836342697e-17,3.727740987603367606e-05,9.128672541515985971e-06,2.034091328605531755e-07,1.468506397330034852e-11,3.925487485426263499e-25,2.005955044556709292e-16,2.811179562823762113e-23,3.693876945310443230e-36,2.129002579904893142e-18,6.254792829387844678e-17,2.244607328760806971e-14,1.071089262274697444e-17,7.586243305361320965e-01,4.848641005689146414e-23,0.000000000000000000e+00,0.000000000000000000e+00,1.709173299161673541e-31,1.482668851179477579e-34
