grid,velocity,spreadRate,Lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.799924929,-4.57179309e-19,-3041.42904,300,0.651698552,3.67375835e-15,-1.45031472e-15,9.02698449e-20,-1.28450838e-17,2.04745253e-14,1.66239695e-15,-4.86271944e-22,-3.14996958e-17,1.02632466e-14,6.02605704e-15,2.53841333e-14,-7.06045906e-14,-9.90203328e-15,1,-1.0777469e-18,8.35681787e-17,8.8414095e-23,1.05971212e-15,-2.91291328e-17,8.12039622e-19,-2.52099243e-15,2.61023202e-14,-2.92266582e-19,1.41740067e-14,1.19065302e-15,-1.60391333e-17,-3.15797106e-18,-1.0139793e-18,-1.45566411e-17,-4.63496977e-16,-1.87791663e-15,8.70266484e-15,1.59804376e-15,-2.34910369e-18,2.21788764e-38,1.11785601e-14,2.05775448e-16,1.16019497e-20,-8.20822366e-15,2.50136681e-19,-1.70625204e-15,1.22712995e-17,7.88736376e-23,-1.36682525e-15,1.61153689e-19,-2.82992444e-14,2.77602906e-19,2.03943176e-14,2.0214619e-17,3.59696304e-21,-1.53822887e-16,-2.19210516e-16,-2.28577848e-14
0.000375,0.799104494,2.18782695,-3041.42904,300,0.651698552,3.67036024e-15,-1.06850065e-15,8.56920217e-20,-1.28459228e-17,2.40001581e-16,2.37824102e-14,-4.70587594e-22,-3.14996958e-17,1.02632465e-14,5.8899007e-21,2.5283298e-14,-9.59424602e-20,-1.38886227e-13,1,-1.07790174e-18,8.35681913e-17,5.96043739e-22,1.05971213e-15,-2.91291352e-17,8.11957541e-19,-2.52099252e-15,2.61022997e-14,-2.71255797e-19,7.123677e-15,2.22491321e-14,-1.60391195e-17,-6.54649651e-17,-1.01274972e-18,-1.45567732e-17,-4.63496907e-16,-1.87791855e-15,8.70266472e-15,1.59804376e-15,-2.34910369e-18,3.21863751e-37,1.11785595e-14,2.05775357e-16,1.16018339e-20,-8.20822296e-15,2.50136572e-19,-1.70625146e-15,1.22747577e-17,7.88748448e-23,-1.36682525e-15,1.61153689e-19,-2.82992444e-14,2.77600252e-19,2.03943176e-14,2.0214619e-17,3.59790075e-21,-1.53822896e-16,-2.19210384e-16,-2.28577848e-14
0.00075,0.796643189,4.37565391,-3041.42904,300,0.651698552,3.66712949e-15,-1.06679562e-15,8.13363773e-20,-1.28467558e-17,2.80562451e-18,2.40417369e-14,-4.54927566e-22,-3.14996959e-17,1.02632463e-14,1.26518345e-26,2.5182538e-14,-1.30009147e-25,-1.36463421e-13,1,-1.07805538e-18,8.35682038e-17,1.10004197e-21,1.05971214e-15,-2.91291379e-17,8.11875207e-19,-2.52099244e-15,2.61022792e-14,-2.50435312e-19,3.5749573e-15,2.59333559e-14,-1.60391036e-17,-1.27074101e-16,-1.01151616e-18,-1.45569056e-17,-4.63496837e-16,-1.87792043e-15,8.7026646e-15,1.59804377e-15,-2.34910369e-18,3.21319785e-37,1.11785588e-14,2.05775265e-16,1.16017177e-20,-8.20822227e-15,2.50136462e-19,-1.70625088e-15,1.22781549e-17,7.88760555e-23,-1.36682524e-15,1.61153689e-19,-2.82992444e-14,2.77597596e-19,2.03943176e-14,2.02146191e-17,3.59884428e-21,-1.53822905e-16,-2.19210256e-16,-2.28577848e-14
0.001125,0.792541013,6.56348086,-3041.42904,300,0.651698552,3.66476359e-15,-1.06508353e-15,7.71853461e-20,-1.28475887e-17,3.26949286e-20,2.40447738e-14,-4.39235379e-22,-3.14996959e-17,1.02632462e-14,6.87150335e-27,2.50816456e-14,-7.85034866e-30,-1.35225588e-13,1,-1.07820974e-18,8.35682164e-17,1.60407675e-21,1.05971215e-15,-2.91291406e-17,8.11792444e-19,-2.52099235e-15,2.61022585e-14,-2.29649525e-19,1.78961762e-15,2.77868702e-14,-1.60390867e-17,-1.88537244e-16,-1.01027605e-18,-1.45570384e-17,-4.63496766e-16,-1.8779223e-15,8.70266448e-15,1.59804377e-15,-2.34910369e-18,3.20768286e-37,1.11785582e-14,2.05775173e-16,1.16016009e-20,-8.20822157e-15,2.50136352e-19,-1.70625031e-15,1.22815341e-17,7.88772707e-23,-1.36682523e-15,1.61153689e-19,-2.82992444e-14,2.7759493e-19,2.03943176e-14,2.02146191e-17,3.59979279e-21,-1.53822913e-16,-2.1921013e-16,-2.28577848e-14
0.0015,0.786797968,8.75130782,-3041.42904,300,0.651698552,3.66678911e-15,-1.06336012e-15,7.32229005e-20,-1.28484255e-17,4.23568235e-22,2.40448137e-14,-4.23465613e-22,-3.14996959e-17,1.02632461e-14,6.83201662e-27,2.49804093e-14,-7.65600371e-30,-1.34479037e-13,1,-1.07836519e-18,8.3568229e-17,2.11055673e-21,1.05971216e-15,-2.91291433e-17,8.11709076e-19,-2.52099227e-15,2.61022378e-14,-2.0879902e-19,8.92750956e-16,2.87179917e-14,-1.60390691e-17,-2.50174369e-16,-1.0090267e-18,-1.45571721e-17,-4.63496695e-16,-1.87792418e-15,8.70266436e-15,1.59804377e-15,-2.34910369e-18,3.20209853e-37,1.11785576e-14,2.05775081e-16,1.16014832e-20,-8.20822087e-15,2.50136242e-19,-1.70624973e-15,1.22849182e-17,7.88784929e-23,-1.36682522e-15,1.6115369e-19,-2.82992444e-14,2.7759225e-19,2.03943176e-14,2.02146191e-17,3.60074829e-21,-1.53822922e-16,-2.19210003e-16,-2.28577848e-14
0.001875,0.779414052,10.9391348,-3041.42904,300,0.651698552,3.69080257e-15,-1.06162095e-15,6.94347304e-20,-1.28492691e-17,4.80973847e-23,2.40448185e-14,-4.0757717e-22,-3.14996959e-17,1.0263246e-14,6.79235168e-27,2.48786095e-14,-7.64253806e-30,-1.33977618e-13,1,-1.0785221e-18,8.35682417e-17,2.62129086e-21,1.05971217e-15,-2.91291461e-17,8.11624915e-19,-2.52099218e-15,2.61022169e-14,-1.87810009e-19,4.43318126e-16,2.9184593e-14,-1.60390511e-17,-3.12217053e-16,-1.00776525e-18,-1.45573067e-17,-4.63496624e-16,-1.87792606e-15,8.70266424e-15,1.59804377e-15,-2.34910369e-18,3.19642932e-37,1.1178557e-14,2.05774988e-16,1.16013644e-20,-8.20822017e-15,2.50136131e-19,-1.70624916e-15,1.22883228e-17,7.88797249e-23,-1.36682521e-15,1.6115369e-19,-2.82992444e-14,2.77589551e-19,2.03943176e-14,2.02146191e-17,3.60171294e-21,-1.53822931e-16,-2.19209877e-16,-2.28577847e-14
0.00225,0.770389265,13.1269617,-3041.42904,300,0.651698552,3.82375351e-15,-1.05986002e-15,6.58106004e-20,-1.28501225e-17,4.15533541e-23,2.40448228e-14,-3.91524591e-22,-3.14996959e-17,1.02632458e-14,6.75238932e-27,2.47759856e-14,-7.62894609e-30,-1.33597739e-13,1,-1.07868089e-18,8.35682544e-17,3.13798203e-21,1.05971218e-15,-2.91291488e-17,8.11539736e-19,-2.52099209e-15,2.61021958e-14,-1.66613946e-19,2.18536893e-16,2.94179405e-14,-1.60390328e-17,-3.74873532e-16,-1.00648811e-18,-1.45574428e-17,-4.63496552e-16,-1.87792797e-15,8.70266411e-15,1.59804377e-15,-2.34910369e-18,3.19065327e-37,1.11785564e-14,2.05774894e-16,1.16012441e-20,-8.20821945e-15,2.50136018e-19,-1.70624857e-15,1.22917607e-17,7.888097e-23,-1.3668252e-15,1.6115369e-19,-2.82992444e-14,2.77586824e-19,2.03943176e-14,2.02146191e-17,3.60268925e-21,-1.5382294e-16,-2.19209749e-16,-2.28577847e-14
0.003,0.747417082,17.5026156,-3041.42904,300,0.651698552,5.69193529e-15,-1.05623928e-15,5.91107801e-20,-1.28518806e-17,3.73198952e-23,2.40448307e-14,-3.58553813e-22,-3.14996959e-17,1.02632456e-14,6.67080407e-27,2.45661878e-14,-7.60091041e-30,-1.32991969e-13,1,-1.07900789e-18,8.35682805e-17,4.20300761e-21,1.05971219e-15,-2.91291545e-17,8.11364171e-19,-2.52099191e-15,2.61021524e-14,-1.23073644e-19,6.976216e-17,2.95723569e-14,-1.6038995e-17,-5.03597143e-16,-1.0038554e-18,-1.45577222e-17,-4.63496404e-16,-1.87793189e-15,8.70266386e-15,1.59804377e-15,-2.34910369e-18,3.17865095e-37,1.11785551e-14,2.057747e-16,1.1600996e-20,-8.20821799e-15,2.50135788e-19,-1.70624737e-15,1.22988254e-17,7.88835278e-23,-1.36682518e-15,1.6115369e-19,-2.82992445e-14,2.77581228e-19,2.03943176e-14,2.02146191e-17,3.60470192e-21,-1.53822959e-16,-2.19209487e-16,-2.28577847e-14
0.00375,0.717881419,21.8782695,-3041.42904,300,0.651698552,2.17999825e-14,-1.05247157e-15,5.28909059e-20,-1.28537109e-17,3.34330914e-23,2.4044838e-14,-3.24340786e-22,-3.14996959e-17,1.02632453e-14,6.58675057e-27,2.43495743e-14,-7.57165701e-30,-1.32424368e-13,1,-1.07934264e-18,8.35683075e-17,5.31245836e-21,1.05971221e-15,-2.91291604e-17,8.11181354e-19,-2.52099172e-15,2.61021073e-14,-7.78061243e-20,2.16794262e-17,2.96222631e-14,-1.60389557e-17,-6.37231901e-16,-1.001113e-18,-1.45580121e-17,-4.6349625e-16,-1.87793596e-15,8.70266359e-15,1.59804377e-15,-2.34910369e-18,3.16603269e-37,1.11785537e-14,2.057745e-16,1.16007375e-20,-8.20821647e-15,2.5013555e-19,-1.70624613e-15,1.23061631e-17,7.88861824e-23,-1.36682516e-15,1.6115369e-19,-2.82992445e-14,2.77575427e-19,2.03943177e-14,2.02146191e-17,3.606798e-21,-1.53822978e-16,-2.19209216e-16,-2.28577847e-14
0.0045,0.681782274,26.2539235,-3041.42904,300,0.651698552,1.55434533e-13,-1.04850191e-15,4.70799e-20,-1.28556299e-17,2.98017999e-23,2.40448456e-14,-2.88469816e-22,-3.14996959e-17,1.02632449e-14,6.49935744e-27,2.4123655e-14,-7.54086237e-30,-1.31851193e-13,1,-1.07955149e-18,8.35683361e-17,6.48068885e-21,1.05971222e-15,-2.91291666e-17,8.10988947e-19,-2.52099153e-15,2.61020596e-14,-2.98269656e-20,6.50947967e-18,2.96380078e-14,-1.60389145e-17,-7.77454105e-16,-9.98226793e-19,-1.45583161e-17,-4.63496089e-16,-1.87794023e-15,8.70266332e-15,1.59804377e-15,-2.34910365e-18,3.15266455e-37,1.11785523e-14,2.0577429e-16,1.16004651e-20,-8.20821487e-15,2.501353e-19,-1.70624482e-15,1.23138666e-17,7.88889657e-23,-1.36682514e-15,1.6115369e-19,-2.82992445e-14,2.77569351e-19,2.03943199e-14,2.02146191e-17,3.60900462e-21,-1.53822998e-16,-2.19208931e-16,-2.28577846e-14
