grid,velocity,spreadRate,Lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.0641168034,5.00758065e-19,-47.1344937,300,0.651505993,4.33077366e-05,-3.36091238e-14,-3.87344022e-16,6.62964637e-10,6.25516685e-14,3.14862991e-06,2.51029782e-16,1.25430785e-14,1.3783122e-13,-4.86433534e-14,6.75915908e-19,2.53861291e-14,3.16320755e-12,0.999940962,9.62665924e-07,2.39456922e-07,-1.11157649e-15,1.03287607e-11,-1.38801963e-16,3.53900701e-14,5.68946678e-12,1.09877467e-17,5.27883691e-08,-4.75824677e-17,5.66661885e-09,2.00639262e-13,8.11551927e-10,-1.28167077e-16,1.85190664e-11,5.60967183e-12,-3.31308186e-13,1.03618087e-14,8.99523284e-14,7.16216255e-10,-1.04918792e-27,1.51039373e-09,3.37509536e-13,2.37315666e-13,1.21591237e-13,5.84970146e-14,2.73293929e-10,7.55684204e-16,-6.30192617e-14,3.6273161e-12,9.08259532e-14,4.1142841e-11,-6.16661379e-16,1.13166552e-05,8.6865411e-18,5.74856769e-15,1.61952075e-13,8.79772831e-15,3.58455361e-14
0.000375,0.0639705892,0.423298646,-47.1344937,300.031033,0.651378771,5.74115389e-05,-3.2096501e-14,-6.6554062e-16,1.36904339e-09,1.26366906e-16,6.50616157e-06,5.21779095e-16,2.48600891e-14,1.29796081e-13,-8.42598729e-21,2.26932149e-18,5.06553189e-21,6.46539251e-12,0.999909902,2.00417355e-06,5.74765136e-07,-2.73572032e-15,2.55185738e-11,-1.38462968e-16,3.49867396e-14,1.41671351e-11,4.8150533e-19,1.24773279e-07,-1.14821657e-16,1.36983361e-08,5.05272439e-13,2.05108527e-09,-2.40717105e-16,4.9305868e-11,1.49354574e-11,-3.19228982e-13,9.56322322e-15,8.97491037e-14,1.4968854e-09,-2.1853428e-27,3.15028707e-09,7.63691578e-13,5.62719237e-13,1.23051422e-13,3.59692034e-14,6.84813833e-10,1.89734104e-15,-6.24414227e-14,8.73175877e-12,2.18608077e-13,9.90260534e-11,-1.48142793e-15,2.34542741e-05,8.68645025e-18,1.67847143e-14,4.75191156e-13,2.34882364e-14,7.54132499e-14
0.00075,0.063514777,0.846759256,-47.1344937,300.092132,0.651169992,7.60964146e-05,-2.87178411e-14,-1.30179417e-15,2.82516273e-09,-5.29783136e-19,1.34343394e-05,1.24493055e-15,5.0392615e-14,1.17925106e-13,7.73771889e-28,-8.26795809e-18,-4.59501495e-26,1.29721746e-11,0.999855998,4.16953126e-06,1.3783565e-06,-5.4070864e-15,6.29875522e-11,-1.377344e-16,3.44973333e-14,3.52428241e-11,1.59650399e-20,2.94661216e-07,-2.43418909e-16,3.30841895e-08,1.27204417e-12,5.17882544e-09,-4.53463046e-16,1.31136562e-10,3.9723446e-11,-3.00689503e-13,8.45021998e-15,8.94723906e-14,3.12619297e-09,-4.05993601e-27,6.56600471e-09,1.72659243e-12,1.34576586e-12,1.26320527e-13,2.11036602e-14,1.71428645e-09,5.22853253e-15,-6.1432574e-14,2.09985489e-11,5.25688889e-13,2.3812779e-10,-2.96206938e-15,4.85760399e-05,8.68644683e-18,4.89577522e-14,1.39020653e-12,6.35663608e-14,1.81003144e-13
0.001125,0.0627551734,1.27054475,-47.1344937,300.211935,0.650815884,0.000100802209,-2.50394451e-14,-2.57512912e-15,5.81606383e-09,-1.55927769e-18,2.76726141e-05,3.04948344e-15,1.03107665e-13,1.01407168e-13,4.02889666e-27,-4.16919576e-17,-3.42110263e-26,2.62177542e-11,0.999758394,8.65333754e-06,3.29549739e-06,-9.47107351e-15,1.54983894e-10,-1.36114991e-16,3.39407983e-14,8.73937146e-11,3.03550029e-22,6.93810391e-07,-4.97987039e-16,7.9660984e-08,3.19273657e-12,1.30341051e-08,-8.54226376e-16,3.47583929e-10,1.05289814e-10,-2.73557449e-13,6.9922365e-15,8.90939379e-14,6.5127871e-09,-7.35065291e-27,1.36519021e-08,3.89271017e-12,3.22172625e-12,1.33540966e-13,1.26388886e-14,4.27766258e-09,1.43661844e-14,-5.9740658e-14,5.03438013e-11,1.26030345e-12,5.70892586e-10,-5.24637884e-15,0.000100363965,8.68662556e-18,1.42272213e-13,4.04940869e-12,1.72053584e-13,4.61405561e-13
0.0015,0.0617021375,1.69497945,-47.1344937,300.445234,0.650199543,0.000133360502,-2.10167418e-14,-4.85097565e-15,1.19178919e-08,-2.93810945e-18,5.67333643e-05,7.35207132e-15,2.11204666e-13,8.02982214e-14,6.79444859e-27,-1.17444647e-16,-1.90719682e-26,5.29929548e-11,0.99957588,1.78747629e-05,7.8341805e-06,-1.48418721e-14,3.79084088e-10,-1.3245968e-16,3.34112741e-14,2.15420345e-10,-1.10178731e-22,1.6245005e-06,-9.73028969e-16,1.9070399e-07,7.96523343e-12,3.26059471e-08,-1.59700787e-15,9.15391534e-10,2.77291746e-10,-2.36408499e-13,5.24979022e-15,8.85746658e-14,1.3503295e-08,-1.28133348e-26,2.82513321e-08,8.72981187e-12,7.68191267e-12,1.49221703e-13,8.63097756e-15,1.06098385e-08,3.8555645e-14,-5.70212549e-14,1.20005816e-10,3.00418748e-12,1.36083236e-09,-8.29727047e-15,0.000206402128,8.68712361e-18,4.10589179e-13,1.17105828e-11,4.62451968e-13,1.19989522e-12
0.001875,0.0603738793,2.12070103,-47.1344937,300.895108,0.64910872,0.000176058292,-1.66863987e-14,-8.34619035e-15,2.42450221e-08,-4.96089008e-18,0.000115458182,1.72805631e-14,4.30695308e-13,5.63867329e-14,1.05449798e-26,-2.65559493e-16,-4.45005504e-27,1.06601981e-10,0.999227513,3.66535566e-05,1.84603222e-05,-1.99012432e-14,9.18786561e-10,-1.24175979e-16,3.31983813e-14,5.26131379e-10,-1.18066868e-22,3.77086253e-06,-1.77647686e-15,4.52492873e-07,1.96874259e-11,8.08119275e-08,-2.91950865e-15,2.38723696e-09,7.23150315e-10,-1.89998414e-13,3.42545731e-15,8.78610972e-14,2.77884546e-08,-2.11679584e-26,5.8035576e-08,1.941709e-11,1.81696058e-11,1.82607227e-13,6.93256841e-15,2.60725226e-08,1.00774202e-13,-5.28710323e-14,2.83542718e-10,7.09808653e-12,3.21527136e-09,-1.15464141e-14,0.000421407948,8.68809425e-18,1.1725322e-12,3.35065824e-11,1.22828995e-12,3.12168562e-12
0.00225,0.0588016159,2.54894186,-47.1344937,301.751246,0.647165952,0.000231677325,-1.22140286e-14,-1.24920656e-14,4.88217164e-08,-6.69719292e-18,0.000232529158,3.96589817e-14,8.70490407e-13,3.35900776e-14,1.46792779e-26,-5.13192133e-16,-1.02103463e-27,2.12606128e-10,0.998556559,7.43903992e-05,4.29679436e-05,-1.90094091e-14,2.19862269e-09,-1.05461032e-16,3.40694874e-14,1.26858648e-09,-9.35093676e-23,8.64793933e-06,-2.91319783e-15,1.06040831e-06,4.80360436e-11,1.97713296e-07,-5.07049757e-15,6.14137195e-09,1.86037699e-09,-1.3887712e-13,1.84403721e-15,8.68815584e-14,5.6584506e-08,-3.24635065e-26,1.17994371e-07,4.26929696e-11,4.24637724e-11,2.52067375e-13,5.74689397e-15,6.3246133e-08,2.56290939e-13,-4.69524942e-14,6.6172743e-10,1.65653615e-11,7.50371671e-09,-1.37118516e-14,0.000851663475,8.68959057e-18,3.30011017e-12,9.44715327e-11,3.20961496e-12,8.04250062e-12
0.003,0.0550658947,3.41848902,-47.1344937,305.685808,0.638857624,0.000391093869,-3.8148818e-15,-1.58523779e-14,1.68390619e-07,8.36572249e-18,0.000801261397,1.65901772e-13,3.02286054e-12,6.3402637e-15,1.56637153e-26,-1.19935662e-15,-1.57718529e-25,7.24142291e-10,0.995365513,0.000259731792,0.000184285837,4.44573693e-14,9.81437067e-09,1.61376185e-18,4.46440291e-14,5.72568666e-09,-2.33110872e-23,3.62918305e-05,-3.62758428e-15,4.59300569e-06,2.20697975e-10,9.11859019e-07,-1.15258509e-14,3.04275839e-08,9.21734438e-09,-4.9323353e-14,3.08726022e-16,8.38484197e-14,1.98349627e-07,-4.14891636e-26,4.13085088e-07,1.68273365e-10,1.83268238e-10,6.0367514e-13,2.24051878e-15,2.87943167e-07,1.2275047e-12,-2.98300616e-14,2.84920486e-09,7.13254286e-11,3.230868e-08,-1.00183995e-14,0.00295515687,8.69202964e-18,1.8557029e-11,5.32366725e-10,1.61937473e-11,4.00169213e-11
0.00375,0.0509003044,4.32344971,-47.1344937,315.713196,0.619496297,0.00063164483,2.29811455e-15,-6.37065871e-15,4.93046621e-07,1.7608526e-16,0.00233692373,6.29452838e-13,8.9044689e-12,4.91132452e-16,2.38295314e-27,-8.57922896e-16,-4.30406989e-25,2.12252512e-09,0.98676588,0.000768291781,0.000644134382,3.63310363e-13,3.53946592e-08,3.75291704e-16,9.24405626e-14,2.08387009e-08,-6.91653639e-25,0.000124624854,7.57256075e-15,1.6177136e-05,8.17713039e-10,3.38249583e-06,-1.00905731e-14,1.19606565e-07,3.62321892e-08,-9.40449533e-15,1.34934959e-16,7.92006105e-14,5.8686771e-07,1.07634573e-25,1.22451566e-06,5.48750906e-10,6.43956519e-10,1.5835524e-12,3.12887538e-16,1.05516129e-06,4.60650412e-12,-1.28480602e-14,9.99059255e-09,2.5009806e-10,1.1328829e-07,-2.9377251e-15,0.00870523856,8.68317162e-18,8.11429884e-11,2.32719855e-09,6.43491054e-11,1.57973859e-10
0.0045,0.0468555804,5.30022105,-47.1344937,338.625365,0.580825222,0.000968108735,1.12237491e-14,-2.55190872e-17,1.28200462e-06,1.12668396e-15,0.0060153906,2.42790542e-12,2.32845756e-11,1.87808938e-17,3.11564539e-29,-2.34490488e-17,4.66404064e-24,5.68871384e-09,0.965763735,0.0020174075,0.00196898053,1.42718152e-12,1.11051715e-07,1.91739484e-15,2.50262784e-13,6.59545334e-08,2.40442164e-25,0.000374763556,8.75051122e-14,4.9755994e-05,2.65352874e-09,1.09276341e-05,4.50949566e-16,4.0727335e-07,1.23374493e-07,-9.68033657e-16,6.69338056e-16,7.36040581e-14,1.53193633e-06,3.10267785e-24,3.22112199e-06,1.57089243e-09,1.97795268e-09,3.97588107e-12,1.67155372e-17,3.35896665e-06,1.4728913e-11,-3.39621598e-15,3.06265899e-08,7.66683659e-10,3.47288921e-07,-3.74912946e-16,0.0228204279,8.62196986e-18,3.06879976e-10,8.75850681e-09,2.20521224e-10,5.40149826e-10
0.004875,0.0450508565,5.835776,-47.1344937,358.710524,0.551669477,0.00117019285,2.85968505e-14,2.06504278e-15,2.0063018e-06,2.70679215e-15,0.00932049646,5.5489306e-12,3.65509211e-11,1.26646775e-18,6.60168577e-28,4.77181998e-16,3.07274646e-23,9.40093912e-09,0.94627189,0.00317488507,0.00336366345,2.91563407e-12,1.9206901e-07,5.44683875e-15,4.23919354e-13,1.14655183e-07,2.25251653e-24,0.000634343626,3.22405929e-13,8.52298261e-05,4.72751096e-09,1.92604329e-05,1.12836751e-14,7.39028439e-07,2.23871871e-07,-1.65539027e-16,2.07202462e-15,7.23747283e-14,2.3929657e-06,2.31065916e-23,5.07342932e-06,2.58107038e-09,3.3877569e-09,6.14835238e-12,1.22499839e-18,5.85563707e-06,2.54156576e-11,-1.29978797e-15,5.23976778e-08,1.31168421e-09,5.94160841e-07,-6.35581424e-17,0.0359427531,8.53497684e-18,5.94840033e-10,1.68335493e-08,4.01490713e-10,9.82368501e-10
