grid,velocity,spreadRate,Lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,3.2669975,8.13842518e-19,-40242.0824,300,0.651698552,-1.64479902e-16,-2.07656199e-15,-2.6664997e-17,-5.7249629e-23,-3.93009992e-15,-7.39133583e-17,-8.45870983e-17,-9.10595471e-17,-7.35602245e-15,-6.08874431e-15,-1.05563356e-15,-7.67646924e-14,-3.19844354e-15,1,1.86942942e-16,-2.94661771e-19,-4.76844518e-21,4.46186381e-15,8.31011592e-19,4.08001959e-19,5.24996403e-16,6.68464031e-18,-9.62072926e-15,-1.96332629e-14,-2.39426912e-16,7.15759282e-17,-3.34907618e-17,-8.08362491e-18,-2.59869821e-14,4.70555098e-15,2.40490255e-14,1.41643285e-14,2.85891958e-16,1.96712535e-17,6.41197284e-37,4.32764375e-14,1.68720076e-15,3.23442306e-15,-3.69820825e-15,1.8939486e-17,-1.88151338e-14,4.3550056e-16,-1.0537836e-17,2.43876886e-18,-4.97182496e-19,1.29291162e-14,-5.53403252e-23,-2.19069763e-14,4.34070061e-18,-2.02283592e-20,1.28108747e-14,2.42691651e-17,2.08546153e-14
0.000375,3.26433955,7.08787673,-40242.0824,300,0.651698552,-1.6650932e-16,-2.52008378e-15,-2.63114209e-17,-4.31462826e-23,-1.68630379e-16,-4.09064812e-15,-8.4587319e-17,-9.10595471e-17,-7.35602286e-15,-2.23737017e-20,-1.05460503e-15,-4.0276088e-19,-1.73355659e-13,1,1.8694291e-16,-2.94661767e-19,-4.76856378e-21,4.46186385e-15,8.31011545e-19,4.08154205e-19,5.2499624e-16,6.68463757e-18,-9.62073024e-15,-1.57241701e-14,-1.76091418e-14,7.15759307e-17,-3.34175834e-17,-8.08357385e-18,-2.59869879e-14,4.70555106e-15,2.40490515e-14,1.41643291e-14,2.85891958e-16,1.96712535e-17,3.60259796e-35,4.32764363e-14,1.68720074e-15,3.23442414e-15,-3.69820819e-15,1.89394503e-17,-1.88151412e-14,4.3545266e-16,-1.05378441e-17,2.43875738e-18,-4.97182496e-19,1.29291161e-14,-5.53150898e-23,-2.19069753e-14,4.34070061e-18,-2.02283723e-20,1.28108747e-14,2.42749789e-17,2.08546153e-14
0.00075,3.25636568,14.1757535,-40242.0824,300,0.651698552,-1.68543061e-16,-2.51907696e-15,-2.59616734e-17,-2.89102515e-23,-7.23384537e-18,-4.26337737e-15,-8.45875391e-17,-9.1059547e-17,-7.35602327e-15,-8.00335635e-26,-1.05357495e-15,-2.10819633e-24,-1.75260743e-13,1,1.86942875e-16,-2.94661762e-19,-4.76869445e-21,4.4618639e-15,8.31011504e-19,4.08305564e-19,5.24996243e-16,6.68463495e-18,-9.62073087e-15,-1.25872563e-14,-2.0863297e-14,7.15759285e-17,-3.33453796e-17,-8.08352265e-18,-2.59869936e-14,4.70555114e-15,2.40490773e-14,1.41643297e-14,2.85891958e-16,1.96712535e-17,3.60264199e-35,4.32764351e-14,1.68720072e-15,3.23442522e-15,-3.69820813e-15,1.89394145e-17,-1.88151486e-14,4.35405195e-16,-1.05378522e-17,2.43874588e-18,-4.97182496e-19,1.29291161e-14,-5.52871591e-23,-2.19069742e-14,4.34070061e-18,-2.02283811e-20,1.28108747e-14,2.42808046e-17,2.08546153e-14
0.001125,3.24307592,21.2636302,-40242.0824,300,0.651698552,-1.70584496e-16,-2.51806459e-15,-2.56151634e-17,-1.46388649e-23,-3.23769831e-19,-4.27114587e-15,-8.4587759e-17,-9.1059547e-17,-7.35602366e-15,1.98262384e-27,-1.05254163e-15,-1.01706777e-28,-1.76684385e-13,1,1.8694284e-16,-2.94661757e-19,-4.76883756e-21,4.46186395e-15,8.31011463e-19,4.08456632e-19,5.24996254e-16,6.68463232e-18,-9.62073121e-15,-1.00679259e-14,-2.34767475e-14,7.15759226e-17,-3.32737084e-17,-8.08347125e-18,-2.59869994e-14,4.70555123e-15,2.4049103e-14,1.41643302e-14,2.85891958e-16,1.96712535e-17,3.60259118e-35,4.3276434e-14,1.68720069e-15,3.23442631e-15,-3.69820807e-15,1.89393785e-17,-1.88151559e-14,4.35357979e-16,-1.05378603e-17,2.43873435e-18,-4.97182496e-19,1.2929116e-14,-5.52589785e-23,-2.19069731e-14,4.34070061e-18,-2.02283898e-20,1.28108747e-14,2.4286652e-17,2.08546153e-14
0.0015,3.22447024,28.3515069,-40242.0824,300,0.651698552,-1.72637075e-16,-2.5170466e-15,-2.52713156e-17,-3.08740751e-25,-2.88288747e-20,-4.27184764e-15,-8.45879794e-17,-9.1059547e-17,-7.35602405e-15,1.98015778e-27,-1.05150333e-15,-9.03987108e-29,-1.77827303e-13,1,1.86942804e-16,-2.94661752e-19,-4.76899263e-21,4.46186399e-15,8.31011421e-19,4.08607844e-19,5.24996264e-16,6.68462968e-18,-9.62073132e-15,-8.04357096e-15,-2.55767312e-14,7.15759135e-17,-3.32022813e-17,-8.08341958e-18,-2.59870053e-14,4.70555131e-15,2.40491286e-14,1.41643308e-14,2.85891957e-16,1.96712535e-17,3.60254008e-35,4.32764328e-14,1.68720067e-15,3.23442741e-15,-3.69820801e-15,1.89393424e-17,-1.88151632e-14,4.3531085e-16,-1.05378685e-17,2.43872276e-18,-4.97182496e-19,1.29291159e-14,-5.52306288e-23,-2.1906972e-14,4.34070061e-18,-2.02283987e-20,1.28108747e-14,2.42925309e-17,2.08546153e-14
0.001875,3.20054866,35.4393837,-40242.0824,300,0.651698552,-1.74704396e-16,-2.51602118e-15,-2.49295658e-17,1.41085286e-23,-1.61108789e-20,-4.27224567e-15,-8.45882008e-17,-9.1059547e-17,-7.35602444e-15,1.97737526e-27,-1.05045828e-15,-9.03502081e-29,-1.78749346e-13,1,1.86942767e-16,-2.94661748e-19,-4.76915938e-21,4.46186404e-15,8.3101138e-19,4.08759602e-19,5.24996275e-16,6.68462702e-18,-9.62073124e-15,-6.41664248e-15,-2.72644418e-14,7.15759019e-17,-3.31308454e-17,-8.08336754e-18,-2.59870111e-14,4.7055514e-15,2.40491542e-14,1.41643314e-14,2.85891957e-16,1.96712535e-17,3.60248862e-35,4.32764317e-14,1.68720065e-15,3.23442851e-15,-3.69820794e-15,1.8939306e-17,-1.88151704e-14,4.35263656e-16,-1.05378767e-17,2.4387111e-18,-4.97182497e-19,1.29291158e-14,-5.52020664e-23,-2.19069709e-14,4.34070061e-18,-2.02284076e-20,1.28108747e-14,2.42984514e-17,2.08546153e-14
0.00225,3.17131116,42.5272604,-40242.0824,300,0.651698552,-1.76790723e-16,-2.51498612e-15,-2.45893537e-17,2.86431076e-23,-1.53713172e-20,-4.27262917e-15,-8.45884237e-17,-9.10595469e-17,-7.35602482e-15,1.97457033e-27,-1.04940452e-15,-9.0312791e-29,-1.79493782e-13,1,1.86942729e-16,-2.94661743e-19,-4.76933774e-21,4.46186409e-15,8.31011338e-19,4.089123e-19,5.24996286e-16,6.68462432e-18,-9.62073101e-15,-5.10961706e-15,-2.86203116e-14,7.15758882e-17,-3.30591664e-17,-8.08331504e-18,-2.59870171e-14,4.70555148e-15,2.40491799e-14,1.41643319e-14,2.85891957e-16,1.96712535e-17,3.60243667e-35,4.32764305e-14,1.68720062e-15,3.23442962e-15,-3.69820788e-15,1.89392693e-17,-1.88151778e-14,4.35216256e-16,-1.0537885e-17,2.43869934e-18,-4.97182497e-19,1.29291157e-14,-5.51732378e-23,-2.19069698e-14,4.34070061e-18,-2.02284167e-20,1.28108747e-14,2.43044245e-17,2.08546154e-14
0.003,3.09688846,56.7030139,-40242.0824,300,0.651698552,-1.81060146e-16,-2.51286788e-15,-2.39116959e-17,5.83574766e-23,-1.49257753e-20,-4.27339189e-15,-8.45888788e-17,-9.10595469e-17,-7.35602559e-15,1.96884042e-27,-1.04725074e-15,-9.02371107e-29,-1.80507978e-13,1,1.86942651e-16,-2.94661734e-19,-4.76974102e-21,4.46186417e-15,8.31011252e-19,4.09223764e-19,5.24996308e-16,6.6846188e-18,-9.62073011e-15,-3.35217782e-15,-3.04433855e-14,7.15758547e-17,-3.29134858e-17,-8.08320761e-18,-2.59870292e-14,4.70555166e-15,2.40492322e-14,1.41643331e-14,2.85891957e-16,1.96712535e-17,3.60233035e-35,4.32764281e-14,1.68720057e-15,3.2344319e-15,-3.69820775e-15,1.89391941e-17,-1.88151927e-14,4.35119812e-16,-1.0537902e-17,2.43867531e-18,-4.97182497e-19,1.29291155e-14,-5.5114195e-23,-2.19069676e-14,4.34070061e-18,-2.02284354e-20,1.28108747e-14,2.43166474e-17,2.08546154e-14
0.00375,3.00120212,70.8787673,-40242.0824,300,0.651698552,-1.85463125e-16,-2.51068302e-15,-2.32322235e-17,8.89787921e-23,-1.45009484e-20,-4.27415658e-15,-8.45893475e-17,-9.10595468e-17,-7.35602638e-15,1.96294427e-27,-1.0450328e-15,-9.01589866e-29,-1.81200733e-13,1,1.86942568e-16,-2.94661725e-19,-4.77019448e-21,4.46186426e-15,8.31011164e-19,4.09544331e-19,5.24996331e-16,6.68461308e-18,-9.6207289e-15,-2.17543185e-15,-3.16640816e-14,7.15758163e-17,-3.2763892e-17,-8.08309684e-18,-2.59870417e-14,4.70555184e-15,2.4049286e-14,1.41643343e-14,2.85891956e-16,1.96712535e-17,3.6022207e-35,4.32764256e-14,1.68720052e-15,3.23443425e-15,-3.69820762e-15,1.89391165e-17,-1.8815208e-14,4.35020716e-16,-1.05379195e-17,2.43865056e-18,-4.97182497e-19,1.29291153e-14,-5.50532656e-23,-2.19069653e-14,4.34070061e-18,-2.02284547e-20,1.28108747e-14,2.43292497e-17,2.08546154e-14
0.0045,2.88425216,85.0545208,-40242.0824,300,0.651698552,-1.90039502e-16,-2.50841227e-15,-2.25460631e-17,1.20802561e-22,-1.40723914e-20,-4.27492877e-15,-8.45898344e-17,-9.10595468e-17,-7.35602719e-15,1.95682882e-27,-1.04273018e-15,-9.00777248e-29,-1.816767e-13,1,1.8694248e-16,-2.94661715e-19,-4.77070385e-21,4.46186436e-15,8.31011072e-19,4.09877323e-19,5.24996354e-16,6.68460713e-18,-9.62072743e-15,-1.39176981e-15,-3.24770018e-14,7.15757738e-17,-3.26087161e-17,-8.08298169e-18,-2.59870547e-14,4.70555203e-15,2.40493417e-14,1.41643356e-14,2.85891956e-16,1.96712535e-17,3.60210674e-35,4.3276423e-14,1.68720047e-15,3.2344367e-15,-3.69820748e-15,1.89390358e-17,-1.88152239e-14,4.34917893e-16,-1.05379377e-17,2.43862486e-18,-4.97182497e-19,1.29291151e-14,-5.49898695e-23,-2.19069628e-14,4.34070061e-18,-2.02284749e-20,1.28108747e-14,2.43423504e-17,2.08546154e-14
