grid,velocity,spreadRate,Lambda,T,D,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0,0.0705211639,-1.88155276e-19,-55.3235107,300,0.651573618,2.78963819e-05,6.82626502e-15,-1.49635862e-16,3.32466464e-10,-2.94313802e-15,1.29169707e-06,1.98562028e-16,5.23722862e-15,1.55245728e-15,9.08282412e-15,-1.6590915e-18,7.19988661e-16,1.39214259e-12,0.99996567,3.90910833e-07,8.65972399e-08,1.51829105e-16,3.89629386e-12,5.86097076e-19,2.3833598e-16,2.078247e-12,-3.76409323e-18,1.89974061e-08,4.37780254e-18,2.06397568e-09,7.13345766e-14,2.8884735e-10,-2.08615907e-17,6.26961174e-12,1.90644033e-12,-5.84705642e-14,5.40239681e-14,5.53373746e-15,2.84443785e-10,9.16160576e-29,6.27021629e-10,1.45985853e-13,7.58353337e-14,6.8087153e-15,1.45063762e-14,9.42040077e-11,4.27801811e-16,8.31788086e-15,1.4085126e-12,3.17037604e-14,1.53736748e-11,-4.25314105e-17,4.64133727e-06,-1.28250594e-18,1.814779e-15,5.08509607e-14,3.48661486e-15,1.10664414e-14
0.000375,0.0703599766,0.451579836,-55.3235107,300.014678,0.651498277,3.78889274e-05,6.93615747e-15,-2.67924289e-16,7.21959769e-10,-6.33142469e-18,2.80679337e-06,6.70937517e-16,1.15207122e-14,1.50336261e-15,1.63641667e-21,-2.90283915e-18,1.50908369e-22,2.99071764e-12,0.999948055,8.56112889e-07,2.19981068e-07,3.95912275e-16,1.01992419e-11,6.44222316e-19,2.52571059e-16,5.48457665e-12,-2.55511913e-19,4.74930557e-08,9.45612763e-18,5.28186707e-09,1.90454558e-13,7.74123534e-10,-4.0946772e-17,1.7734625e-11,5.39285657e-12,-5.76673255e-14,5.15860446e-14,5.55963038e-15,6.25479307e-10,2.00743008e-28,1.37585532e-09,3.48754818e-13,2.06662509e-13,7.86430393e-15,9.93540689e-15,2.50236485e-10,1.1302272e-15,8.26381058e-15,3.57833736e-12,8.40903329e-14,3.91650077e-11,-1.08073805e-16,1.01169658e-05,-1.28248955e-18,5.64614967e-15,1.58744487e-13,9.89021706e-15,2.50317767e-14
0.00075,0.0698652057,0.903247138,-55.3235107,300.045012,0.651374953,5.1452363e-05,6.66669278e-15,-5.02651962e-16,1.56664008e-09,-2.21482101e-19,6.09462508e-06,1.67963752e-15,2.52214088e-14,1.4243992e-15,2.34264797e-28,-6.07775647e-18,-7.76633507e-28,6.42205582e-12,0.999917843,1.87357605e-06,5.58307736e-07,9.12718141e-16,2.66731362e-11,7.91990236e-19,2.92361074e-16,1.44602235e-11,-1.30050022e-20,1.1862659e-07,2.25309449e-17,1.35042769e-08,5.07951261e-13,2.0726888e-09,-8.05999885e-17,5.01133956e-11,1.52389558e-11,-5.63008506e-14,4.78490042e-14,5.60844837e-15,1.37439175e-09,4.20822969e-28,3.01681642e-09,8.32471005e-13,5.39024188e-13,1.01512859e-14,6.23506025e-15,6.64061714e-10,2.99548989e-15,8.16784302e-15,9.09778992e-12,2.1734769e-13,9.96818771e-11,-2.4231158e-16,2.20367535e-05,-1.28247812e-18,1.75506669e-14,4.94685879e-13,2.79406596e-14,6.46342483e-14
0.001125,0.0690407498,1.35509969,-55.3235107,300.107448,0.651164935,6.98269126e-05,6.32330467e-15,-9.32416177e-16,3.39121114e-09,-3.74558767e-19,1.32009128e-05,3.82754133e-15,5.49757155e-14,1.30280736e-15,-1.84800123e-28,-1.33276096e-17,-1.203332e-27,1.37540472e-11,0.999863237,4.09003839e-06,1.41264038e-06,2.00338782e-15,6.95343704e-11,1.16601643e-18,3.99802354e-16,3.80026389e-11,-4.88758497e-22,2.95413376e-07,5.30968822e-17,3.44202707e-08,1.35031839e-12,5.53153351e-09,-1.58358378e-16,1.41119754e-10,4.29131381e-11,-5.40451054e-14,4.24055859e-14,5.69856992e-15,3.01237916e-09,8.69572864e-28,6.59838031e-09,1.98146336e-12,1.38011825e-12,1.50883185e-14,3.53323605e-15,1.75656534e-09,7.91847748e-15,8.00095471e-15,2.30750398e-11,5.54803456e-13,2.52928611e-10,-4.94053877e-16,4.78817697e-05,-1.28248117e-18,5.43548042e-14,1.53544882e-12,7.85856323e-14,1.76401228e-13
0.0015,0.0678938215,1.80734355,-55.3235107,300.235097,0.6507947,9.46368395e-05,5.89856265e-15,-1.65457205e-15,7.30607229e-09,-6.4203518e-19,2.84568566e-05,8.37892654e-15,1.19160058e-13,1.12733076e-15,-4.47346679e-28,-2.8989397e-17,-2.0090815e-27,2.93205835e-11,0.999760054,8.88593769e-06,3.55373294e-06,4.29811276e-15,1.80191239e-10,2.10647474e-18,6.84037221e-16,9.9275093e-11,-8.63661536e-24,7.31506913e-07,1.22289423e-16,8.72232318e-08,3.56796648e-12,1.4672779e-08,-3.08439249e-16,3.94852402e-10,1.20070729e-10,-5.04782264e-14,3.50422753e-14,5.86203732e-15,6.57055041e-09,1.76357658e-27,1.43628163e-08,4.69100493e-12,3.49379305e-12,2.56785548e-14,1.78730832e-15,4.61840315e-09,2.08005572e-14,7.71950222e-15,5.82035294e-11,1.40291809e-12,6.38070312e-10,-9.17601111e-16,0.000103545155,-1.28251496e-18,1.67180976e-13,4.73254252e-12,2.19564037e-13,4.89289767e-13
0.001875,0.0664376739,2.26040878,-55.3235107,300.49358,0.65012481,0.000127976097,5.38950759e-15,-2.73088415e-15,1.56255821e-08,-9.8250517e-19,6.08918657e-05,1.79628325e-14,2.56284283e-13,8.9693994e-16,-9.53394975e-28,-6.06776499e-17,-3.70837135e-27,6.20645868e-11,0.999558694,1.91632378e-05,8.86180144e-06,9.12324915e-15,4.62728246e-10,4.45099529e-18,1.42391362e-15,2.56977987e-10,7.26686416e-24,1.7957853e-06,2.73019576e-16,2.19080556e-07,9.34162199e-12,3.85626126e-08,-5.88399917e-16,1.0941267e-09,3.32712779e-10,-4.51717696e-14,2.60967549e-14,6.15378391e-15,1.42244994e-08,3.49681567e-27,3.10329346e-08,1.10145335e-11,8.75089513e-12,4.81867531e-14,8.08184277e-16,1.20315981e-08,5.41208144e-14,7.26513194e-15,1.45537218e-10,3.51143379e-12,1.5955659e-09,-1.53067527e-15,0.00022228286,-1.28260333e-18,5.08891543e-13,1.44347544e-11,6.07563951e-13,1.355096e-12
0.00225,0.0646962266,2.71518012,-55.3235107,301.010358,0.648894113,0.000172487852,4.80782447e-15,-4.04417523e-15,3.3080308e-08,-1.0433051e-18,0.000128958027,3.80148446e-14,5.45490329e-13,6.33980873e-16,-1.79162046e-27,-1.18378237e-16,-7.49883216e-27,1.30100547e-10,0.999158299,4.09047041e-05,2.18322111e-05,1.93190152e-14,1.17349954e-09,1.02396354e-17,3.3185481e-15,6.56868835e-10,8.85018546e-24,4.35624938e-06,5.84517208e-16,5.43590083e-07,2.41520233e-11,1.00069526e-07,-1.07522457e-15,2.99166703e-09,9.097342e-10,-3.79369873e-14,1.68228257e-14,6.66614562e-15,3.0474071e-08,6.77389069e-27,6.63640555e-08,2.55689208e-11,2.16442145e-11,9.54385985e-14,3.33365983e-16,3.0948979e-08,1.39013381e-13,6.57516997e-15,3.59535131e-10,8.67802981e-12,3.94174148e-09,-2.2239284e-15,0.000472347461,-1.28277204e-18,1.52721028e-12,4.34028991e-11,1.65930687e-12,3.71399064e-12
0.003,0.0604737486,3.63415685,-55.3235107,303.53631,0.643354589,0.000304557159,3.58533874e-15,-5.74378961e-15,1.23526276e-07,7.40015535e-18,0.000481441201,1.43111856e-13,2.05334034e-12,1.78937462e-16,-3.42045023e-27,-3.19934693e-16,-3.40088745e-26,4.78988102e-10,0.997159336,0.000154671142,0.000102020517,7.44724884e-14,5.71477409e-09,4.68641402e-17,1.56728479e-14,3.23515544e-09,3.53269412e-24,1.99067658e-05,1.97474463e-15,2.56614407e-06,1.20959601e-10,5.03709549e-07,-2.78821616e-15,1.62057647e-08,4.92799147e-09,-1.9203825e-14,3.73954743e-15,8.80332684e-15,1.15786329e-07,2.10988051e-26,2.51641896e-07,1.09559339e-10,1.01729777e-10,3.40628839e-13,7.84782262e-17,1.53794465e-07,6.89323069e-13,4.38482023e-15,1.68679514e-09,4.0722335e-11,1.84931247e-08,-2.78124166e-15,0.00177430109,-1.28323988e-18,9.40827475e-12,2.68031938e-10,8.97769966e-12,2.02155773e-11
0.00375,0.0555930323,4.58090894,-55.3235107,310.468711,0.6293975,0.000513181456,3.51663994e-15,-3.10136216e-15,3.88393482e-07,1.00634316e-16,0.00151012122,4.8934458e-13,6.49836866e-12,2.13092469e-17,-1.30503831e-27,-3.20500411e-16,-2.98407035e-26,1.49916891e-09,0.991401451,0.000491426397,0.000385409,2.58114511e-13,2.23142782e-08,1.9108259e-16,6.22290876e-14,1.27511935e-08,1.59564032e-25,7.38381174e-05,6.94992053e-15,9.77321655e-06,4.84521039e-10,2.02328457e-06,-3.13288832e-15,6.91322171e-08,2.10222925e-08,-5.36285532e-15,4.05061183e-16,1.37765406e-14,3.68552884e-07,8.68654305e-26,8.0132049e-07,3.85299316e-10,3.86297937e-10,1.05886147e-12,1.31136233e-17,6.10547099e-07,2.7269266e-12,1.95127359e-15,6.39332491e-09,1.54352912e-10,7.00929088e-08,-1.35692536e-15,0.00561040094,-1.28313157e-18,4.47344602e-11,1.27527122e-09,3.82771871e-11,8.66257855e-11
0.0045,0.0506597669,5.59050646,-55.3235107,327.678935,0.598470776,0.000821098905,7.80919588e-15,3.7365756e-17,1.08938125e-06,7.32503166e-16,0.00420479304,1.7713913e-12,1.83372479e-11,1.16085936e-18,-5.45561122e-29,5.488605e-18,2.25114969e-24,4.27443155e-09,0.976161256,0.00139233465,0.00128201577,8.95395336e-13,7.64000211e-08,8.28865769e-16,2.16801047e-13,4.40534467e-08,6.6511056e-26,0.000241432232,4.30383334e-14,3.27362975e-05,1.71034035e-09,7.13184106e-06,9.98389201e-16,2.57677592e-07,7.83565654e-08,-7.45113391e-16,3.49403947e-16,2.44875634e-14,1.0409602e-06,1.03479318e-24,2.27480665e-06,1.19716196e-09,1.29143992e-09,2.9601005e-12,1.00907934e-18,2.12281154e-06,9.43535489e-12,4.86793192e-16,2.13317441e-08,5.15013404e-10,2.33869269e-07,-2.5121342e-16,0.0158499469,-1.27856026e-18,1.85601913e-10,5.27615238e-09,1.42896979e-10,3.24293819e-10
