x,x_norm,T,rho,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.0,0.0,300.0,0.6501885835683815,0.0008900230074634905,2.033857240858824e-15,0.0,3.9465242335485955e-08,0.0,0.0019331530583190913,5.649181985554493e-14,6.853745718085851e-13,0.0,6.0559029244571335e-15,0.0,0.0,7.138852697286336e-10,0.9888122134086559,0.0006721840227973048,0.0004262694978304017,4.4628865442304605e-13,1.2449494944832329e-08,1.0618258341494727e-14,2.723478363192306e-15,8.711118967285881e-09,0.0,9.834693189225471e-05,4.0637045227642295e-15,9.252905184567476e-06,3.4670267810090845e-10,1.5976795037731198e-06,0.0,5.888666533656249e-08,1.6172458348375457e-08,0.0,0.0,0.0,6.016287230301305e-07,3.3702724028479e-26,8.098914951666573e-07,5.707695722304614e-11,3.998751711058366e-10,4.456502492116691e-13,0.0,7.412879018197596e-07,2.576010474906276e-12,3.227478402899499e-14,3.3472340332889034e-09,1.2174818677531408e-10,5.223094421590959e-08,0.0,0.007154612879199135,1.0636968106429337e-19,2.636018762885532e-11,7.383204018046607e-10,2.0931775934043226e-11,1.0882943462137604e-10
3.7546933667083855e-05,0.0012515644555694619,300.5180093629153,0.6491399409498787,0.000900997621561606,1.9797749296581165e-15,0.0,4.106712190020064e-08,0.0,0.0020115532002880176,5.8796345382442e-14,7.144167602374514e-13,0.0,5.4495547801344135e-15,0.0,0.0,7.422756834977762e-10,0.9883730992312602,0.0006999112147446911,0.0004490188899491271,4.71125055624476e-13,1.3146508827239091e-08,1.1215383705168798e-14,2.8513006679676362e-15,9.205307869737716e-09,0.0,0.00010345721980727328,4.276397262295577e-15,9.752498902952844e-06,3.667602114570236e-10,1.6906662402317136e-06,0.0,6.261525965451166e-08,1.7196468370746378e-08,0.0,0.0,0.0,6.265784818685538e-07,3.5699221249359035e-26,8.43407778779807e-07,5.982296985586954e-11,4.2137724986396524e-10,4.655634706450682e-13,0.0,7.837778744045187e-07,2.7246664428050973e-12,3.174735362824969e-14,3.5266702179618083e-09,1.2827477857790743e-10,5.503090429509858e-08,0.0,0.007448061223185779,1.0636123045119271e-19,2.8289909911417784e-11,7.925386958568615e-10,2.2261457175900268e-11,1.1576443799379365e-10
7.509386733416771e-05,0.0025031289111389237,301.0360187258306,0.6480912983313759,0.0009119722356597214,1.925692618457409e-15,0.0,4.266900146491532e-08,0.0,0.0020899533422569436,6.110087090933906e-14,7.434589486663176e-13,0.0,4.843206635811694e-15,0.0,0.0,7.706660972669187e-10,0.9879339850538643,0.0007276384066920774,0.0004717682820678525,4.959614568259059e-13,1.3843522709645856e-08,1.1812509068842867e-14,2.979122972742967e-15,9.69949677218955e-09,0.0,0.00010856750772229184,4.489090001826925e-15,1.025209262133821e-05,3.8681774481313876e-10,1.7836529766903074e-06,0.0,6.634385397246082e-08,1.82204783931173e-08,0.0,0.0,0.0,6.515282407069769e-07,3.7695718470239066e-26,8.769240623929566e-07,6.256898248869296e-11,4.428793286220939e-10,4.854766920784674e-13,0.0,8.262678469892779e-07,2.8733224107039186e-12,3.12199232275044e-14,3.7061064026347136e-09,1.3480137038050075e-10,5.7830864374287554e-08,0.0,0.007741509567172422,1.0635277983809206e-19,3.0219632193980246e-11,8.467569899090624e-10,2.3591138417757313e-11,1.2269944136621124e-10
0.00011264080100125157,0.003754693366708386,301.5540280887459,0.6470426557128731,0.0009229468497578368,1.8716103072567015e-15,0.0,4.427088102963001e-08,0.0,0.00216835348422587,6.340539643623613e-14,7.725011370951839e-13,0.0,4.2368584914889744e-15,0.0,0.0,7.990565110360612e-10,0.9874948708764686,0.0007553655986394638,0.0004945176741865779,5.207978580273358e-13,1.454053659205262e-08,1.2409634432516938e-14,3.106945277518297e-15,1.0193685674641385e-08,0.0,0.0001136777956373104,4.7017827413582725e-15,1.075168633972358e-05,4.068752781692539e-10,1.876639713148901e-06,0.0,7.007244829040998e-08,1.924448841548822e-08,0.0,0.0,0.0,6.764779995454001e-07,3.9692215691119104e-26,9.104403460061064e-07,6.531499512151636e-11,4.643814073802225e-10,5.053899135118666e-13,0.0,8.68757819574037e-07,3.02197837860274e-12,3.06924928267591e-14,3.885542587307619e-09,1.413279621830941e-10,6.063082445347654e-08,0.0,0.008034957911159065,1.063443292249914e-19,3.2149354476542714e-11,9.009752839612632e-10,2.4920819659614355e-11,1.2963444473862886e-10
0.00015018773466833542,0.0050062578222778474,302.0720374516612,0.6459940130943704,0.0009339214638559522,1.817527996055994e-15,0.0,4.5872760594344695e-08,0.0,0.002246753626194796,6.570992196313319e-14,8.015433255240502e-13,0.0,3.6305103471662545e-15,0.0,0.0,8.274469248052037e-10,0.9870557566990729,0.0007830927905868501,0.0005172670663053033,5.456342592287656e-13,1.523755047445938e-08,1.300675979619101e-14,3.2347675822936276e-15,1.0687874577093217e-08,0.0,0.00011878808355232897,4.914475480889621e-15,1.1251280058108948e-05,4.269328115253691e-10,1.969626449607495e-06,0.0,7.380104260835913e-08,2.0268498437859137e-08,0.0,0.0,0.0,7.014277583838233e-07,4.1688712911999135e-26,9.439566296192561e-07,6.806100775433977e-11,4.858834861383512e-10,5.253031349452658e-13,0.0,9.112477921587962e-07,3.170634346501561e-12,3.016506242601381e-14,4.064978771980523e-09,1.4785455398568741e-10,6.343078453266551e-08,0.0,0.008328406255145708,1.0633587861189075e-19,3.407907675910518e-11,9.55193578013464e-10,2.62505009014714e-11,1.3656944811104646e-10
0.0001877346683354193,0.00625782227784731,302.5900468145765,0.6449453704758676,0.0009448960779540677,1.7634456848552865e-15,0.0,4.747464015905938e-08,0.0,0.0023251537681637222,6.801444749003026e-14,8.305855139529164e-13,0.0,3.0241622028435345e-15,0.0,0.0,8.558373385743463e-10,0.986616642521677,0.0008108199825342365,0.0005400164584240287,5.704706604301956e-13,1.5934564356866144e-08,1.360388515986508e-14,3.362589887068958e-15,1.1182063479545054e-08,0.0,0.00012389837146734755,5.127168220420968e-15,1.1750873776494314e-05,4.4699034488148426e-10,2.0626131860660886e-06,0.0,7.75296369263083e-08,2.1292508460230057e-08,0.0,0.0,0.0,7.263775172222464e-07,4.368521013287917e-26,9.774729132324058e-07,7.080702038716319e-11,5.073855648964798e-10,5.452163563786649e-13,0.0,9.537377647435554e-07,3.3192903144003823e-12,2.963763202526851e-14,4.244414956653429e-09,1.5438114578828076e-10,6.623074461185449e-08,0.0,0.008621854599132353,1.0632742799879009e-19,3.6008799041667645e-11,1.009411872065665e-09,2.7580182143328443e-11,1.4350445148346407e-10
0.00022528160200250313,0.007509386733416772,303.1080561774918,0.6438967278573648,0.0009558706920521831,1.709363373654579e-15,0.0,4.907651972377406e-08,0.0,0.002403553910132648,7.031897301692733e-14,8.596277023817827e-13,0.0,2.4178140585208154e-15,0.0,0.0,8.842277523434888e-10,0.9861775283442813,0.0008385471744816229,0.0005627658505427541,5.953070616316255e-13,1.663157823927291e-08,1.420101052353915e-14,3.4904121918442884e-15,1.1676252381996886e-08,0.0,0.0001290086593823661,5.3398609599523155e-15,1.2250467494879681e-05,4.670478782375994e-10,2.1555999225246824e-06,0.0,8.125823124425746e-08,2.2316518482600978e-08,0.0,0.0,0.0,7.513272760606696e-07,4.568170735375921e-26,1.0109891968455554e-06,7.355303301998659e-11,5.288876436546085e-10,5.651295778120641e-13,0.0,9.962277373283144e-07,3.4679462822992035e-12,2.911020162452322e-14,4.423851141326334e-09,1.6090773759087408e-10,6.903070469104348e-08,0.0,0.008915302943118996,1.0631897738568945e-19,3.793852132423011e-11,1.0636301661178657e-09,2.8909863385185485e-11,1.5043945485588167e-10
0.000262828535669587,0.008760951188986232,303.62606554040707,0.642848085238862,0.0009668453061502985,1.6552810624538715e-15,0.0,5.0678399288488745e-08,0.0,0.0024819540521015745,7.262349854382439e-14,8.88669890810649e-13,0.0,1.8114659141980955e-15,0.0,0.0,9.126181661126313e-10,0.9857384141668856,0.0008662743664290092,0.0005855152426614794,6.201434628330554e-13,1.732859212167967e-08,1.479813588721322e-14,3.618234496619619e-15,1.217044128444872e-08,0.0,0.00013411894729738465,5.552553699483664e-15,1.275006121326505e-05,4.871054115937145e-10,2.248586658983276e-06,0.0,8.498682556220662e-08,2.33405285049719e-08,0.0,0.0,0.0,7.762770348990929e-07,4.767820457463924e-26,1.0445054804587053e-06,7.629904565281e-11,5.503897224127372e-10,5.850427992454633e-13,0.0,1.0387177099130736e-06,3.6166022501980244e-12,2.8582771223777924e-14,4.6032873259992384e-09,1.674343293934674e-10,7.183066477023246e-08,0.0,0.009208751287105639,1.0631052677258879e-19,3.9868243606792576e-11,1.1178484601700667e-09,3.023954462704253e-11,1.5737445822829929e-10
0.00030037546933667084,0.010012515644555695,304.1440749033224,0.6417994426203593,0.000977819920248414,1.601198751253164e-15,0.0,5.2280278853203435e-08,0.0,0.0025603541940705005,7.492802407072146e-14,9.177120792395152e-13,0.0,1.2051177698753755e-15,0.0,0.0,9.410085798817739e-10,0.9852992999894897,0.0008940015583763955,0.0006082646347802048,6.449798640344853e-13,1.8025606004086433e-08,1.539526125088729e-14,3.746056801394949e-15,1.2664630186900555e-08,0.0,0.00013922923521240323,5.765246439015011e-15,1.3249654931650418e-05,5.071629449498297e-10,2.34157339544187e-06,0.0,8.87154198801558e-08,2.436453852734282e-08,0.0,0.0,0.0,8.01226793737516e-07,4.967470179551927e-26,1.078021764071855e-06,7.90450582856334e-11,5.718918011708658e-10,6.049560206788624e-13,0.0,1.0812076824978329e-06,3.765258218096846e-12,2.8055340823032632e-14,4.782723510672144e-09,1.7396092119606075e-10,7.463062484942144e-08,0.0,0.009502199631092282,1.0630207615948814e-19,4.1797965889355044e-11,1.1720667542222674e-09,3.1569225868899576e-11,1.6430946160071688e-10
0.0003379224030037547,0.011264080100125157,304.6620842662377,0.6407508000018565,0.0009887945343465294,1.5471164400524565e-15,0.0,5.388215841791812e-08,0.0,0.002638754336039427,7.723254959761853e-14,9.467542676683816e-13,0.0,5.987696255526556e-16,0.0,0.0,9.693989936509166e-10,0.984860185812094,0.0009217287503237819,0.0006310140268989303,6.698162652359153e-13,1.8722619886493197e-08,1.5992386614561362e-14,3.87387910617028e-15,1.315881908935239e-08,0.0,0.0001443395231274218,5.9779391785463585e-15,1.3749248650035786e-05,5.272204783059449e-10,2.4345601319004636e-06,0.0,9.244401419810495e-08,2.538854854971374e-08,0.0,0.0,0.0,8.261765525759392e-07,5.1671199016399316e-26,1.1115380476850048e-06,8.179107091845682e-11,5.933938799289945e-10,6.248692421122617e-13,0.0,1.123697655082592e-06,3.913914185995667e-12,2.7527910422287335e-14,4.962159695345049e-09,1.804875129986541e-10,7.743058492861043e-08,0.0,0.009795647975078927,1.0629362554638748e-19,4.3727688171917506e-11,1.2262850482744683e-09,3.289890711075662e-11,1.7124446497313447e-10
