z,u,V,T,rho,Z,PV,SourcePV,chiZ,S_n,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.000000000000000000e+00,-1.644726420000000022e+00,0.000000000000000000e+00,3.000000000000000000e+02,1.171970350000000050e+00,0.000000000000000000e+00,8.661147445436508090e-45,-1.042154344020317236e-76,0.000000000000000000e+00,-5.133840000000075676e+00,3.492174650000000078e-44,0.000000000000000000e+00,1.652397630000000005e-58,2.329092180000000012e-01,1.075357690000000009e-58,0.000000000000000000e+00,1.111636329999999999e-53,0.000000000000000000e+00,2.371976679999999944e-93,8.901907330000000236e-143,2.631890489999999860e-108,9.467430120000000802e-111,9.297779779999999485e-88,1.202756579999999879e-83,8.591592529999999882e-74,5.171125929999999989e-86,1.636097520000000104e-124,1.591279110000000046e-96,1.297078390000000011e-146,2.563446659999999995e-105,4.158721280000000411e-97,3.698363379999999823e-164,2.048853170000000172e-97,2.187337410000000258e-157,6.043274970000000496e-99,7.153963610000000191e-103,1.037051010000000064e-93,1.787763279999999952e-153,5.968557830000000061e-103,1.298275860000000037e-105,1.650687530000000192e-82,0.000000000000000000e+00,4.995461810000000515e-73,6.277360130000000020e-84,0.000000000000000000e+00,1.419295810000000013e-80,8.431250289999999383e-86,4.355365750000000056e-65,1.561541210000000033e-84,0.000000000000000000e+00,1.621301699999999946e-92,5.470022040000000207e-96,0.000000000000000000e+00,4.208483309999999859e-95,7.183383110000000294e-95,1.377472709999999926e-92,1.917628559999999910e-95,7.670907820000000266e-01,0.000000000000000000e+00,3.996765869999999988e-110,6.023612970000000131e-122,1.961099089999999958e-153,2.053114170000000066e-107
8.340283569641367481e-04,-2.402071713330995451e-01,0.000000000000000000e+00,3.555947850823800422e+02,9.861997374423836504e-01,8.340283569641367481e-04,9.129063604854705796e-04,3.521696423447957846e-04,8.007931476066222842e+01,7.588527447061174769e+01,2.309290055808491687e-05,1.043486208677639692e-11,3.724662044901622902e-07,2.296125700835340566e-01,9.862708643102334012e-07,3.918476637372935410e-03,1.415777679216554866e-06,1.703314669887103978e-06,6.077133559667881924e-27,1.019557644275805385e-28,1.713429564412377229e-20,1.055627855791910018e-21,2.885417065501628950e-16,1.756714571576560876e-12,7.913410496888723859e-05,7.548907581154661603e-04,3.157268459416946379e-17,4.492990600915114815e-14,4.038512249864365242e-20,1.778352272221298282e-16,4.284846729791162325e-14,3.883371615915307387e-32,4.385706174539658566e-17,4.439806069760144638e-25,2.003192149388940330e-17,2.307116946973354076e-23,2.789060537431830808e-20,4.301921669330635334e-21,1.154932970052426780e-15,2.491723565199329633e-18,3.719824747057851844e-16,1.167449303158570662e-15,2.652783640955112629e-13,2.736081430946331019e-12,2.703054239133294738e-19,1.149699597091288869e-06,8.868257123854174780e-07,6.997658536512775817e-09,1.219111489719678118e-10,4.450774448663491478e-23,1.202408879813770379e-09,8.086541503030794663e-13,9.237336680387999041e-29,8.559605905431397727e-13,1.461023288443277560e-12,2.801669061430677995e-10,4.219774739730164366e-13,7.656053125397461745e-01,0.000000000000000000e+00,2.029458825485801951e-31,3.432310254090397269e-29,3.035389360140854700e-21,9.615559815582709928e-20
1.668056713928273496e-03,-2.555912525045479500e-01,0.000000000000000000e+00,4.070959543126617746e+02,8.596150352035921705e-01,1.668056713928273496e-03,1.716032539743266505e-03,1.636755114199210789e-03,2.533908456572461034e+02,2.307444055225451791e+02,2.908202410247678294e-05,7.105318627309602527e-11,8.201385942115954136e-07,2.261802988377891177e-01,2.182286233446894354e-06,7.299881193005361077e-03,3.722322519437982500e-06,3.346911168531694386e-06,3.589373236400487728e-31,4.419396823724611293e-27,1.221558515103069682e-19,8.511833754568633336e-21,1.069372960257846010e-15,3.372392812792033873e-12,1.600521088426613294e-04,1.810101474811730239e-03,4.418999861084182468e-16,1.152711981450564465e-13,2.103620861646539152e-19,9.734446074798734524e-16,1.031536177702918829e-13,6.354103113273860612e-30,1.012228347958821825e-16,4.741516929068573700e-24,4.740929494654615667e-17,1.435198719645004632e-22,7.013556748835008988e-20,3.185720719825948325e-20,3.128246634448981559e-15,6.687876545188188631e-18,1.096241378792807526e-15,8.786358098242386940e-15,4.970992843660896968e-13,5.215566887020759887e-12,6.654226985332185636e-18,2.409228180484025857e-06,1.852199152773626236e-06,1.690533001495668690e-08,2.910526020163403669e-10,2.861429013207148822e-21,2.884517071275505741e-09,1.947371175525605306e-12,2.903691706622885472e-27,2.060947719655575478e-12,3.517786866311859000e-12,6.745892382901924135e-10,1.413184855385561948e-12,7.645062304307993495e-01,2.203208974775561400e-22,8.946874436957520466e-31,1.084459227602438339e-28,3.789847674851824652e-20,2.956140151765866075e-19
2.502085070892410244e-03,-2.737464357153069350e-01,0.000000000000000000e+00,4.564242766586176003e+02,7.657415054820513323e-01,2.502085070892410244e-03,2.463096902955100569e-03,4.745062446902797298e-03,4.692065963603628234e+02,3.371383178261612557e+02,3.328775085479788114e-05,3.116917618303352860e-10,1.459653205508769443e-06,2.227328599558938693e-01,3.856886336754596942e-06,1.040236977540387464e-02,7.191123667728256106e-06,4.918754226376183425e-06,8.510319993073024013e-30,7.962776847528266312e-26,4.895954726103082942e-19,3.742942640638957134e-20,2.683178642541589729e-15,4.926210770509612393e-12,2.413273460462141194e-04,3.003884653906354479e-03,2.973543685841548061e-15,2.047703443635078963e-13,6.372207670238795365e-19,2.711167899916563581e-15,1.703095676642667162e-13,2.238878907886130373e-26,1.645788754910206373e-16,2.587371596902247286e-23,7.825308532353490794e-17,5.935197615447550014e-22,1.200784668191785123e-19,1.215529955383276354e-19,5.595305126968689842e-15,1.181738943056876307e-17,2.598815832569705578e-15,3.926328683291191086e-14,7.577348211160502770e-13,7.557863217221848753e-12,8.066362335861587088e-17,3.765812520728996900e-06,2.731083517244878304e-06,2.818371990795450742e-08,5.144273978881464256e-10,6.413338835698881703e-20,4.764950776483072397e-09,3.208979807403188742e-12,3.755656101011441096e-26,3.429197329038586596e-12,5.853184282003552404e-12,1.122488404386273289e-09,3.149531817736195092e-12,7.635623122778284477e-01,7.164423202138083361e-22,2.378241800343078573e-30,2.127612042478988276e-28,2.330872179083278959e-19,5.917041567153364922e-19
3.336113427856546992e-03,-2.922466708758105769e-01,0.000000000000000000e+00,5.041810903211016353e+02,6.921152964828944931e-01,3.336113427856546992e-03,3.173362327269331745e-03,1.108076620230270641e-02,7.046408892311337695e+02,4.156467629351707274e+02,3.668618868196323599e-05,1.119290838810800678e-09,2.366347559375910624e-06,2.192777202897336630e-01,6.175330924018003611e-06,1.332097809813214545e-02,1.207071815839264415e-05,6.425129056931559271e-06,6.051263042354193271e-26,8.227407024678618422e-25,1.454134645621174269e-18,1.185830675516482573e-19,5.482515610097319990e-15,6.444797782967925991e-12,3.230022849555606889e-04,4.290422697380818357e-03,1.401858474003853333e-14,3.135434918286165451e-13,1.521178063724366112e-18,5.561054817619866063e-15,2.408844190439598713e-13,2.642614391499274331e-26,2.321638049586278595e-16,9.736949646420151416e-23,1.116499461625667837e-16,2.029535758090594660e-21,1.759544960346396279e-19,3.375942584588707974e-19,8.463262041031791228e-15,1.760344546302758543e-17,5.599154950737509387e-15,1.221689505241747194e-13,1.060457583458363546e-12,9.818173082366083053e-12,6.032659884296599272e-16,5.227940530584112032e-06,3.474097280917508411e-06,4.038792248354814609e-08,8.027331050337656732e-10,6.394947200588455945e-19,6.766830109221342385e-09,4.518358830817802246e-12,2.929337955850678739e-25,4.907530708134284311e-12,8.376356248511234356e-12,1.606489921524603840e-09,5.801417410481078967e-12,7.627154001526954552e-01,1.216847608300025119e-21,5.012400282960193774e-30,3.432409985722640955e-28,1.022863651842905138e-18,9.908441121946485582e-19
4.170141784820683740e-03,-3.105250937111403431e-01,0.000000000000000000e+00,5.506011182632332748e+02,6.326152680325839439e-01,4.170141784820683740e-03,3.855621784486389092e-03,2.289797164046580152e-02,9.496700755756618264e+02,4.753944880644527871e+02,3.959468335659057330e-05,3.655346144096116055e-09,3.643743108528046732e-06,2.158170633271961625e-01,9.356855635150112283e-06,1.609916463599937383e-02,1.860550647854351477e-05,7.861895885624044177e-06,5.478746069885339916e-27,6.468782345589137952e-24,3.640853377445798385e-18,3.110917228844395267e-19,9.884220774755643399e-15,7.940408781397128685e-12,4.051106057224592534e-04,5.649112019454765460e-03,5.557940856713792968e-14,4.440985308513942707e-13,3.197766790882676449e-18,9.578331983365767368e-15,3.129465294836980355e-13,1.569540193497746812e-26,3.034299281942765768e-16,2.976531453252352480e-22,1.473603360801104776e-16,6.073813289255927491e-21,2.373874750871835879e-19,7.892065713787970251e-19,1.171965775192657939e-14,2.391864995203004188e-17,1.140323670622293723e-14,3.039370854451123085e-13,1.417281479828509749e-12,1.202641814707013405e-11,3.460695493222504323e-15,6.807321776658362535e-06,4.045012423489652048e-06,5.331697943803658720e-08,1.170459224892875840e-09,4.009356603240652639e-18,8.856868374250657228e-09,5.815480430923818432e-12,1.792029459680729218e-24,6.472161812814200190e-12,1.104645073114390709e-11,2.118832204712578325e-09,9.564552334178679413e-12,7.619395652190315005e-01,1.720464070939317631e-21,9.258118963731490440e-30,4.991306283266532723e-28,3.640595484365022211e-18,1.509368294121956024e-18
5.004170141784820489e-03,-3.283538612417755131e-01,0.000000000000000000e+00,5.957561816698039365e+02,5.839648811814918128e-01,5.004170141784820489e-03,4.514141275784532524e-03,4.416486204840262830e-02,1.199143948512380575e+03,5.210574290480769832e+02,4.215523934470610150e-05,1.122740935514858142e-08,5.471892929683279610e-06,2.123516229422171553e-01,1.376491183028032052e-05,1.875791947832265716e-02,2.698276799565591126e-05,9.213665585601073607e-06,1.119358352226979933e-26,4.397305382021191595e-23,8.355714470919706618e-18,7.400982826659090628e-19,1.651287870075289798e-14,9.421201222128703606e-12,4.877251043237467408e-04,7.070437927422710406e-03,1.991466702931463375e-13,6.021368651820986064e-13,6.317695141865479620e-18,1.466152539522957575e-14,3.849453919511649532e-13,2.293183359056291403e-25,3.785568849394809096e-16,8.240775888304986911e-22,1.855722755661158825e-16,1.638495126423139747e-20,3.050074854555098648e-19,1.691391100236496014e-18,1.541883090077098646e-14,3.071523260136903154e-17,2.272754024809764386e-14,6.632102009459814722e-13,1.846871290566979847e-12,1.420491097678530341e-11,1.692335992227857400e-14,8.522881762412496445e-06,4.401957190041334661e-06,6.687902746066639060e-08,1.638139775292299801e-09,1.959318230670930887e-17,1.101920796531020346e-08,7.016665872707025323e-12,9.708465485635505171e-24,8.112797707907180438e-12,1.384515546935732622e-11,2.656101704702304320e-09,1.473258071016969188e-11,7.612216877400727055e-01,2.226784541393534574e-21,1.578806604313660419e-29,6.826488895797651856e-28,1.101638214303601330e-17,2.180136258630716159e-18
5.838198498748957237e-03,-3.457121910202083370e-01,0.000000000000000000e+00,6.398735090788202342e+02,5.426008483768325341e-01,5.838198498748957237e-03,5.155053792847168713e-03,7.808476503382169587e-02,1.449801147099367881e+03,5.573510068897014662e+02,4.449332844112597652e-05,2.882843425352797701e-08,7.980832348990190750e-06,2.088825214707641098e-01,1.960353637991724981e-05,2.132781007707638607e-02,3.677868388511804993e-05,1.047515955036704575e-05,3.291429416292925593e-27,2.143321619498930253e-22,1.717684105875177117e-17,1.559680574952143219e-18,2.566147300939513883e-14,1.089633343950929546e-11,5.708495378168000015e-04,8.539319139347354912e-03,5.715298565772831243e-13,7.898543188389179586e-13,1.156885304846700384e-17,2.027838342347312161e-14,4.556262274424949042e-13,9.686044012616490565e-25,4.574832508640301763e-16,1.979714555146025661e-21,2.262745133839038066e-16,3.685697876161314248e-20,3.788771622874144277e-19,3.283658612216190558e-18,1.957699509852902852e-14,3.790870989670474164e-17,4.279163420538433141e-14,1.264654428237744253e-12,2.358091643615466063e-12,1.637729071285945561e-11,6.107108913800603879e-14,1.036563211361878069e-05,4.551584835193194570e-06,8.092439564033763224e-08,2.203201526671190289e-09,6.983207669361365086e-17,1.323418801357425881e-08,8.034827781761834297e-12,3.951860636394197217e-23,9.813019057278500323e-12,1.674314455838386919e-11,3.212667508718130306e-09,2.136305426518202284e-11,7.605451225257163772e-01,2.735117466795600695e-21,2.482937346519819803e-29,8.920562964919300938e-28,2.625398036889081544e-17,3.015923665524367963e-18
6.672226855713093985e-03,-3.624687065638452221e-01,0.000000000000000000e+00,6.828052394423411897e+02,5.080519504025148292e-01,6.672226855713093985e-03,5.777748073517567119e-03,1.339110813130807154e-01,1.699905113481951048e+03,5.848152768190340112e+02,4.663209248567886137e-05,7.068629508005447338e-08,1.165799630235129712e-05,2.054096847785527313e-01,2.768696090173205981e-05,2.380544927078347139e-02,4.753033627218352736e-05,1.160313891573368527e-05,2.191827449313146994e-25,1.166213410192109167e-21,3.514531512729303091e-17,3.260497661749880590e-18,3.867672945707420103e-14,1.237515899417968153e-11,6.547047632582326431e-04,1.005855438963465520e-02,1.571626880853680377e-12,1.021750643626828173e-12,2.120719841475149423e-17,2.568648534539928970e-14,5.231702852691838011e-13,4.301287958810610175e-24,5.421278379435247086e-16,4.794254838577826732e-21,2.706868426783534567e-16,7.608253965003250701e-20,4.617279265549025256e-19,6.353014206360506300e-18,2.444104698377571428e-14,4.560212729738234285e-17,8.204907962598342766e-14,2.297363335585399318e-12,2.996091205370187294e-12,1.856943813630391241e-11,2.148858934537711016e-13,1.235754020523029545e-05,4.453106580437766451e-06,9.548469292732876440e-08,2.880136099913437555e-09,2.499818004054465922e-16,1.550348570154956826e-08,8.687382919582278956e-12,1.704128038379195890e-22,1.158168858480599683e-11,1.975124992567291449e-11,3.790343742715107116e-09,3.007607206328413963e-11,7.599094971713160618e-01,3.245576392313533897e-21,3.720400884115067418e-29,1.134293445117840840e-27,5.562247882888807694e-17,4.100220373141050646e-18
7.506255212677230733e-03,-3.786938101435812776e-01,0.000000000000000000e+00,7.247509079990514920e+02,4.781169362146205914e-01,7.506255212677230733e-03,6.386743380031818795e-03,2.148436357813716946e-01,1.948451403035172234e+03,6.061396154456685963e+02,4.864313061952521420e-05,1.487288437814893202e-07,1.675593534397501025e-05,2.019342285734454512e-01,3.819636471099032213e-05,2.621348912443999951e-02,5.815472628921149721e-05,1.259100886948612079e-05,7.301122261055939484e-25,4.717347391137018713e-21,6.701657402512731075e-17,6.313074263017604504e-18,5.586730410618320113e-14,1.386875584973157060e-11,7.393307704938713526e-04,1.161649176580755415e-02,3.618978847808192446e-12,1.299463062940488771e-12,3.717080836641307320e-17,3.009278582507290061e-14,5.866346286838220388e-13,1.498075511857288073e-23,6.334592910948385266e-16,1.051891502379818643e-20,3.193274281030987795e-16,1.357229405924770984e-19,5.535299856949788002e-19,1.165089978353587750e-17,3.012374043900422778e-14,5.381301813456735896e-17,1.503465842459339072e-13,3.852031906786356133e-12,3.774393693510098586e-12,2.080627633144061442e-11,5.960372444816791949e-13,1.445995481747002149e-05,4.168948637840671039e-06,1.104434395007434943e-07,3.629486646322199293e-09,7.286947083571740453e-16,1.781423760192250625e-08,8.924727875642219781e-12,5.747097969541732252e-22,1.341245788642513653e-11,2.285389664819728211e-11,4.385133081470488698e-09,4.092757332193085797e-11,7.593032045605944136e-01,3.757703154504721478e-21,5.209881342000308092e-29,1.404876701796918666e-27,9.949525539558231871e-17,5.452629141820201238e-18
