z,u,V,T,rho,Z,PV,SourcePV,chiZ,S_n,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.000000000000000000e+00,-2.590474579999999971e+00,0.000000000000000000e+00,3.000000000000000000e+02,1.171970350000000050e+00,0.000000000000000000e+00,1.204785146329365042e-54,-1.449660200586652705e-86,0.000000000000000000e+00,-8.260426666666406348e+00,4.857693709999999942e-54,0.000000000000000000e+00,1.336141320000000122e-65,2.329092180000000012e-01,2.189029890000000019e-68,4.498782140000000456e-74,7.519391739999999841e-64,6.054140019999999773e-68,0.000000000000000000e+00,5.465178440000000245e-158,0.000000000000000000e+00,0.000000000000000000e+00,4.717593160000000310e-99,5.883360479999999679e-95,6.155855049999999979e-86,3.921669400000000014e-100,1.087231490000000011e-136,1.057410779999999921e-108,4.207410320000000158e-163,1.245400740000000088e-116,3.292927069999999885e-109,0.000000000000000000e+00,8.362996049999999340e-109,0.000000000000000000e+00,3.255929259999999957e-110,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.244814300000000045e-115,5.150668670000000234e-118,2.237296320000000224e-93,1.678860220000000097e-110,8.618672209999999702e-85,1.028074379999999937e-96,0.000000000000000000e+00,2.243160400000000063e-93,7.142191809999999468e-100,1.755732980000000133e-65,1.216478660000000054e-97,0.000000000000000000e+00,3.743512090000000145e-106,2.900668599999999948e-109,1.505180239999999904e-159,1.321511220000000038e-108,1.144264290000000042e-108,2.795281110000000089e-106,7.515383219999999213e-109,7.670907820000000266e-01,3.479872109999999928e-112,1.690635570000000160e-117,9.741742839999999441e-132,0.000000000000000000e+00,6.524302360000000311e-119
8.340283569641367481e-04,-3.037564184305977522e-01,0.000000000000000000e+00,3.538856597258302372e+02,9.910632896652995516e-01,8.340283569641367481e-04,8.834291421370480367e-04,8.629499017014285924e-04,1.178246209425543896e+02,9.708543037123158115e+01,3.396256988949092868e-05,2.065536626457536034e-11,4.864306017566311905e-07,2.297252663635737380e-01,1.382510497834097867e-06,3.774969325815918063e-03,2.520647216913636652e-06,2.531924811132121217e-06,5.924702802820512258e-27,2.873834539958259277e-26,2.693714102659867464e-18,1.658733451772258246e-19,3.200269930651916474e-14,1.984502389845439358e-10,1.272628565063272635e-04,7.102793010130596055e-04,1.332029588291607717e-16,3.302250472549886039e-12,6.313133128434356936e-18,4.187174591485796835e-14,4.730602408964739353e-12,7.018293073962219766e-29,1.714353652611797992e-14,3.799600834961557324e-22,1.229379622227066373e-14,4.381007597495277849e-20,3.669527399655552776e-17,5.663056569990433680e-19,1.056857834934792575e-13,2.407281789182711816e-16,3.922897710869752598e-15,7.085540131615525143e-15,1.167520456979927839e-12,1.123053024627550494e-11,5.211886207816727504e-19,7.200927305843185729e-07,5.954750424347841794e-07,5.363051534542796510e-09,1.509726077455790730e-10,1.896697068048791445e-22,3.799596568911872248e-09,6.115002920255079322e-12,2.618772442532007317e-26,3.399758875321817083e-12,2.944542024565055519e-12,7.192651514793838261e-10,1.765501938376596988e-12,7.656200122154330767e-01,0.000000000000000000e+00,1.447580363720359743e-26,2.597935134019837027e-24,9.375515646203515893e-19,7.600701771685734132e-17
1.668056713928273496e-03,-3.221566744620955047e-01,0.000000000000000000e+00,4.048135367872289976e+02,8.647770656044142523e-01,1.668056713928273496e-03,1.675910827279061734e-03,4.165186419905360024e-03,3.774568762177535177e+02,3.383246934986544829e+02,4.295867904399862001e-05,1.503552122647790021e-10,1.073604084754172272e-06,2.263447394978336247e-01,3.135330221936908343e-06,7.106411979891390229e-03,6.711188542254539703e-06,5.020734823586157664e-06,3.160164927871392047e-26,1.428822995565977098e-24,1.968680210641737124e-17,1.372960485135047492e-18,1.179859871853613675e-13,3.848240628705980833e-10,2.599744402439099051e-04,1.718268706186350508e-03,1.734005018398049567e-15,8.335111147616444200e-12,3.402337070553571522e-17,2.079812651779744232e-13,1.149368271861034916e-11,7.060508441656193073e-27,3.993492502748614481e-14,4.242440573293264903e-21,2.934426436275826171e-14,2.773323885792760708e-19,9.338984036200228310e-17,4.351300375341595760e-18,2.879833953398762167e-13,6.506817735108436333e-16,1.010635709091959580e-14,4.464944445655550513e-14,2.158816313284527270e-12,2.162798470481576837e-11,1.411644362550580037e-17,1.534099237655829173e-06,1.244155017177407102e-06,1.307094424724385039e-08,3.558689127827956777e-10,1.341815126980975305e-20,9.199222901365377506e-09,1.488174209237895112e-11,9.344197923659501274e-25,8.258704518094838545e-12,7.152873393250246125e-12,1.747271898013854244e-09,5.298475767389865907e-12,7.645089025964378893e-01,0.000000000000000000e+00,6.303987745970380905e-26,8.222999114564919389e-24,1.048665638071553698e-17,2.323089230394394745e-16
2.502085070892410244e-03,-3.443917326274510970e-01,0.000000000000000000e+00,4.537522999998753335e+02,7.698789210864958044e-01,2.502085070892410244e-03,2.416327742000683784e-03,1.211243951259747750e-02,7.598691295392105758e+02,5.307712715583155614e+02,4.932958410701183087e-05,6.950135345558381236e-10,1.911046490296082354e-06,2.229418251560355280e-01,5.642796259303441592e-06,1.017960922822412281e-02,1.295245278435295853e-05,7.388286750274057148e-06,1.457725473647462937e-29,2.436866176077721900e-23,7.745072843047107508e-17,5.889298593544924083e-18,2.911226509282753620e-13,5.646534992867772565e-10,3.935095821247220726e-04,2.856018738369465494e-03,1.128360240038985678e-14,1.441969455540987119e-11,1.027855862549591452e-16,5.351503050147047824e-13,1.902300263760947010e-11,1.727570980469704326e-25,6.505983911867802678e-14,2.222942783084338609e-20,4.848622110251332881e-14,1.134511441195791494e-18,1.603382060887716080e-16,1.639647887705520517e-17,5.141423981617887359e-13,1.149261369112866562e-15,2.099328195294849214e-14,1.631606840707542210e-13,3.235776800708217199e-12,3.148852720472418572e-11,1.652400488488334148e-16,2.423348320214149939e-06,1.819129731125694437e-06,2.182413198772259472e-08,6.173356138953577483e-10,2.505052045646157074e-19,1.522803775110071309e-08,2.464323024774682175e-11,1.191735124450777845e-23,1.376343497689019908e-11,1.192042682858937024e-11,2.911979509453849655e-09,1.069299272257953909e-11,7.635475286788130367e-01,0.000000000000000000e+00,1.624882173152782131e-25,1.603299143163894219e-23,6.167500576165456966e-17,4.589479655717055082e-16
3.336113427856546992e-03,-3.672752325861513567e-01,0.000000000000000000e+00,5.009875229514766488e+02,6.966598057361614860e-01,3.336113427856546992e-03,3.117002373487119931e-03,2.960812495123987809e-02,1.125020086691825327e+03,6.503497961377048568e+02,5.436416678534520874e-05,3.145868077173227864e-09,3.147533031784340232e-06,2.195259615604293058e-01,9.300953660813097006e-06,1.305456440838103152e-02,2.193013933520008397e-05,9.613075416909268791e-06,5.063087891862924926e-25,3.802819468701206814e-22,2.461977312660637238e-16,2.006277056433095105e-17,6.059914051924481022e-13,7.400615569983413110e-10,5.278588413221215348e-04,4.094487607120964566e-03,6.704803864164294031e-14,2.156454260671111947e-11,2.567995978505196199e-16,1.059526375713544613e-12,2.700861862992261533e-11,2.145132718330924752e-24,9.206325461552679145e-14,9.137391372794797385e-20,6.937780283225358911e-14,4.166396184820089154e-18,2.364709535433269730e-16,4.842252153611272155e-17,7.817418478546923560e-13,1.721081687559305819e-15,4.151776934809499743e-14,4.636567400875574734e-13,4.463973717173757196e-12,4.097024426321290383e-11,1.704374843229783546e-15,3.405355275047603365e-06,2.268277607558810645e-06,3.139762121854011456e-08,9.542081887061536143e-10,3.079719909817909857e-18,2.170523363087926089e-08,3.496017171320814237e-11,1.343463546778088482e-22,1.977416187723392655e-11,1.712580116987965534e-11,4.183864878517324133e-09,1.851023503388093907e-11,7.626930357672123684e-01,0.000000000000000000e+00,3.462688189580747634e-25,2.606741847947695203e-23,3.145685167458187735e-16,7.717912192414087146e-16
4.170141784820683740e-03,-3.899453393762783437e-01,0.000000000000000000e+00,5.469640506797771877e+02,6.366477734663689159e-01,4.170141784820683740e-03,3.791518104475452393e-03,6.095406685918695888e-02,1.553742095553746140e+03,7.522692321515149843e+02,5.870624844845500918e-05,1.094620465654667043e-08,4.870795455286240541e-06,2.161022333339591150e-01,1.429945391949819712e-05,1.579866530712394079e-02,3.340543872130590311e-05,1.169879977107664444e-05,8.873763003832506458e-27,2.914340623741469412e-21,6.157520053030149146e-16,5.241603031927800666e-17,1.087309557259199611e-12,9.129750901972311163e-10,6.629269132053100793e-04,5.399887676513276738e-03,2.748506384508508790e-13,2.960568284891237619e-11,5.404183089788241159e-16,1.740157789223646350e-12,3.517298676640846525e-11,1.966998820086288953e-23,1.204378483655312071e-13,2.754717756044235758e-19,9.159466185984518853e-14,1.170839019832770537e-17,3.199021112944854403e-16,1.134198652146716351e-16,1.083812735746440683e-12,2.343870295600001203e-15,7.692511288452874595e-14,1.033233745746369481e-12,5.863204760056023209e-12,5.024225505911493621e-11,9.720491751516949533e-15,4.474802976606150875e-06,2.584796561426504730e-06,4.152085201636658650e-08,1.366698068820484629e-09,1.738481118623549907e-17,2.846083714844543919e-08,4.534216548877353207e-11,8.389842826348277591e-22,2.612517917717670103e-11,2.262465823044914441e-11,5.527746283558469408e-09,2.871861333191275691e-11,7.619061574488124045e-01,0.000000000000000000e+00,6.296608374143836868e-25,3.792337205378308675e-23,1.069177591912097654e-15,1.168985031666746338e-15
5.004170141784820489e-03,-4.120677130749108019e-01,0.000000000000000000e+00,5.916192166785435802e+02,5.876895506389979706e-01,5.004170141784820489e-03,4.441707030937963596e-03,1.168727732620679499e-01,1.968437738891567960e+03,8.253272555498655265e+02,6.251134011001239024e-05,3.419632783972874289e-08,7.389329443871210548e-06,2.126714537669949778e-01,2.135762626270004653e-05,1.842065477784195215e-02,4.736884904769694051e-05,1.359485624239740958e-05,1.626506776269214531e-24,2.073909405768670700e-20,1.439206666828339350e-15,1.269291613506498032e-16,1.822972751298363196e-12,1.084086172520637522e-09,7.988853712391779001e-04,6.768833834262169905e-03,9.938648891728126056e-13,3.874008817054508646e-11,1.076730083554348326e-15,2.548657795690033286e-12,4.334487479231847651e-11,1.175554150757168083e-22,1.503443312104295200e-13,7.709288271864249915e-19,1.153431978252981405e-13,2.918999849363539729e-17,4.120453162098733232e-16,2.467300383540715604e-16,1.429749966842036451e-12,3.018841280660282621e-15,1.425118673342867016e-13,2.089697881105772559e-12,7.514168369777430363e-12,5.938062997771256956e-11,4.791644547299492962e-14,5.651661128061383685e-06,2.728700945903970246e-06,5.217055062488724755e-08,1.874270175748634060e-09,8.465760903837992764e-17,3.546769242418775860e-08,5.514627324746532201e-11,4.786629739045718293e-21,3.280757252015039634e-11,2.840632918764858042e-11,6.941032979749558668e-09,4.214804294923611233e-11,7.611794378356806501e-01,0.000000000000000000e+00,1.067275081879968623e-24,5.188452425892183303e-23,3.019102733816049146e-15,1.682068352991602376e-15
5.838198498748957237e-03,-4.335341143001770758e-01,0.000000000000000000e+00,6.350866043088775541e+02,5.466596122021928350e-01,5.838198498748957237e-03,5.072462238141589586e-03,2.064195311861338478e-01,2.384228453246035770e+03,8.809847568669894144e+02,6.595083045420121884e-05,8.829181847573414467e-08,1.097903576708303557e-05,2.092356202033918144e-01,3.093319194958845671e-05,2.094475360067049943e-02,6.251318535939428590e-05,1.527807198832144384e-05,6.168776618935339832e-24,1.145422310079867741e-19,3.098604369781202627e-15,2.807419833062035589e-16,2.873174096462472353e-12,1.254444713621179333e-09,9.358155685753181182e-04,8.189658408340797641e-03,2.896370081441469646e-12,4.903079078198320028e-11,2.026982643007983008e-15,3.379878409606880702e-12,5.134289456401936010e-11,5.565434426722698674e-22,1.818504908653895287e-13,1.944477143944236306e-18,1.407218183766725434e-13,6.111738208584073824e-17,5.132838750592857791e-16,4.984701147853854319e-16,1.827026133521249473e-12,3.743332634376076052e-15,2.581795073470094974e-13,3.835792510774920076e-12,9.468850964483277941e-12,6.848961647394182912e-11,1.809063427277820668e-13,6.927839299950589839e-06,2.708423268717345319e-06,6.325415446062810513e-08,2.465043647994461236e-09,3.313666540041194213e-16,4.267214354071430385e-08,6.346961155158563282e-11,2.152811856801103111e-20,3.977809685136506986e-11,3.442729122241752306e-11,8.412325979687429461e-09,5.920207443444669110e-11,7.604986549002007434e-01,0.000000000000000000e+00,1.692430761794692631e-24,6.785465958684577285e-23,6.763274705018284898e-15,2.328107926330405493e-15
6.672226855713093985e-03,-4.542796769792516454e-01,0.000000000000000000e+00,6.773990956432160147e+02,5.118596221440423477e-01,6.672226855713093985e-03,5.686356817713287756e-03,3.394242615586524625e-01,2.798172813611202400e+03,9.227302648851911044e+02,6.911449095171938537e-05,1.958607114425527647e-07,1.607203737764858835e-05,2.057961731915985970e-01,4.359281381990880015e-05,2.338364773241630862e-02,7.728711952685570548e-05,1.671522771714994445e-05,6.757885009930816582e-23,5.202752679143190299e-19,6.252608927123714379e-15,5.786324750880539807e-16,4.320775844601431299e-12,1.425116419308283771e-09,1.073911366658053188e-03,9.656357504121975896e-03,7.133107457239534227e-12,6.066580524409754536e-11,3.659768024662332297e-15,4.111485031294800274e-12,5.898102443182614520e-11,2.233434113263813792e-21,2.153152046588172638e-13,4.509314310623819521e-18,1.681010854774640188e-13,1.104209054611360376e-16,6.242934010108361213e-16,9.570625507802857403e-16,2.292116456631162550e-12,4.524635133414853613e-15,4.583944772200093676e-13,6.559758525172512260e-12,1.180980548179417797e-11,7.767526750048220293e-11,5.564982356197616131e-13,8.289961363295385760e-06,2.544425683444869576e-06,7.472563605923873810e-08,3.114814055866306556e-09,1.107401045296496544e-15,5.004843482439416393e-08,6.922341869404208336e-11,8.039702059646053603e-20,4.703964061865678652e-11,4.067841747323208280e-11,9.936833292320572363e-09,8.064885749138067815e-11,7.598559585446476028e-01,0.000000000000000000e+00,2.534366300987323915e-24,8.573912329984222435e-23,1.269425160619542842e-14,3.134533895388486153e-15
7.506255212677230733e-03,-4.742834269839451000e-01,0.000000000000000000e+00,7.185921327678919397e+02,4.819485228474547633e-01,7.506255212677230733e-03,6.285638962212651212e-03,5.221004783856146858e-01,3.208439734138850781e+03,9.531676271566634568e+02,7.206956070767362766e-05,3.829847054106269349e-07,2.318239744440778771e-05,2.023543570475926923e-01,5.971196047242840213e-05,2.574845891379280369e-02,9.022202495079356525e-05,1.788336789158889484e-05,4.924082073839174084e-22,1.969671927209329647e-18,1.183743552932312829e-14,1.114054783902628369e-15,6.242886344415549176e-12,1.597376962958803153e-09,1.213403371472358350e-03,1.116351456291300899e-02,1.527738050640532271e-11,7.386844259267428020e-11,6.352815181815783303e-15,4.638675024764315460e-12,6.607790272188727709e-11,7.731610662564622007e-21,2.513302610246743550e-13,9.649520876838675088e-18,1.980539951770343147e-13,1.761404786202140905e-16,7.444004692760201837e-16,1.760093532534139460e-15,2.848157853373239937e-12,5.378607065128274091e-15,7.929199564567202231e-13,1.058883416367851529e-11,1.462439275998049109e-11,8.705634582854399792e-11,1.439714487661174100e-12,9.712881820257555948e-06,2.278926683831444812e-06,8.654352346158437170e-08,3.783329859515563949e-09,3.215569203512504601e-15,5.757676653587284457e-08,7.157840448269450896e-11,2.533286823800779250e-19,5.462383298789292938e-11,4.716971008661996687e-11,1.151103566404653787e-08,1.074228470646774956e-10,7.592446604227650608e-01,0.000000000000000000e+00,3.584058169166838274e-24,1.052375967887399411e-22,2.074143674117593468e-14,4.129141667344520224e-15
