z,u,V,T,rho,Z,PV,SourcePV,chiZ,S_n,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.000000000000000000e+00,1.678331980000000168e-02,0.000000000000000000e+00,3.000000000000000000e+02,6.554126439999999887e-01,9.595782163369964701e-01,2.448763240021182685e-03,-3.455107002590607120e-08,1.863322126369918578e+03,1.650468799999998959e+00,1.664808460450933935e-03,1.238140590335366002e-15,0.000000000000000000e+00,6.627289941795083667e-08,3.124186050846224731e-14,8.193435902219294714e-03,1.423051110385451115e-13,1.308893160354530071e-12,0.000000000000000000e+00,1.521577510412138231e-14,0.000000000000000000e+00,0.000000000000000000e+00,2.034997310551204120e-09,9.530026012581326311e-01,2.962419130802407957e-03,2.439284890660710445e-03,2.965931420803359423e-12,5.856822081586393745e-08,1.278842380346390345e-13,5.714708841547900045e-15,4.434160141201048012e-08,0.000000000000000000e+00,5.527679961497241386e-04,2.485325620673181412e-14,4.982190541349487971e-05,1.824070590494072324e-09,8.874310642403717244e-06,0.000000000000000000e+00,3.742007161013569210e-07,9.722708372633517042e-08,0.000000000000000000e+00,4.383638271187363151e-16,0.000000000000000000e+00,2.754796060746170778e-06,2.501429540677543635e-25,3.215693190871010381e-06,1.443002670390855127e-10,2.227740010603411139e-09,1.270278410344070871e-12,0.000000000000000000e+00,4.577788271239950822e-06,1.544100620418238965e-11,0.000000000000000000e+00,1.455283450394181658e-08,5.994385911623654416e-10,2.563815470694441785e-07,0.000000000000000000e+00,3.111451280842775224e-02,1.424347830385802234e-20,1.757059950475921482e-10,5.516256941494146837e-09,1.112403440301308293e-10,8.595897632328305855e-10
3.750000000000000078e-04,1.740224560000000129e-02,0.000000000000000000e+00,3.138630519999999819e+02,6.289448490000000280e-01,9.481320450552802592e-01,3.031659327056437404e-03,1.089297445745303174e-11,2.766604874279231808e+03,1.467278933333334257e+00,1.795301570925417851e-03,1.615197980832580627e-15,0.000000000000000000e+00,8.394491594327080344e-08,1.982820531022077767e-16,1.036802860534437321e-02,1.804410070930112832e-13,1.661303270856346230e-12,0.000000000000000000e+00,2.150155391108333454e-21,0.000000000000000000e+00,0.000000000000000000e+00,2.565810821322590028e-09,9.403485994847182727e-01,3.766166141941332431e-03,3.297378231699688196e-03,4.051007902088159418e-12,8.012680464130269038e-08,1.751964570903079141e-13,7.806091584023779415e-15,6.088471243138403966e-08,0.000000000000000000e+00,7.417814783823635126e-04,3.341284781722320468e-14,6.752106863480484991e-05,2.519075251298499116e-09,1.227630790632802556e-05,0.000000000000000000e+00,5.302698682733363613e-07,1.377779070710199123e-07,0.000000000000000000e+00,1.288272290664061393e-16,0.000000000000000000e+00,3.503165021805764482e-06,3.253146521676888106e-25,4.090256502108390157e-06,1.899692790979227992e-10,3.016515001554912505e-09,1.619527550834812309e-12,0.000000000000000000e+00,6.302738313248850853e-06,2.129938551097912062e-11,0.000000000000000000e+00,1.968947601014926922e-08,8.110194464180533702e-10,3.468752761788026295e-07,0.000000000000000000e+00,3.958777242040616845e-02,1.412378300728033834e-20,2.606323661343472547e-10,8.190966724222169071e-09,1.577895190813352145e-10,1.220435250629093512e-09
7.500000000000000156e-04,1.795247520000000166e-02,0.000000000000000000e+00,3.302679449999999974e+02,6.007274310000000339e-01,9.341847548086854580e-01,3.724999110656720871e-03,1.163075367461748793e-11,3.955789762108774539e+03,1.250182933333325419e+00,1.928064039528491974e-03,3.273793089199394267e-15,0.000000000000000000e+00,1.052501189742610917e-07,2.160075639471753675e-16,1.296050649683050913e-02,2.715029699336039755e-13,2.087060719489609333e-12,0.000000000000000000e+00,3.403770479167607887e-28,0.000000000000000000e+00,6.612578708382894924e-26,3.288156109195881790e-09,9.249732107737977937e-01,4.739440968840969402e-03,4.398454128924358594e-03,5.738405688596673790e-12,1.079980689735890735e-07,2.458388139398801299e-13,9.554631637663416197e-15,8.235499297986009730e-08,3.707662809093291911e-26,9.825732647597118074e-04,7.649455178129327295e-14,9.025700977792765374e-05,3.448615879156641263e-09,1.674093639590600431e-05,0.000000000000000000e+00,7.395171498191511919e-07,1.921457029530107547e-07,0.000000000000000000e+00,2.827878169308442569e-16,6.820104868332143325e-17,4.401043588923725024e-06,1.511093989630461921e-24,5.149554578740676931e-06,2.464156199397390576e-10,4.030151699014426614e-09,2.040009379501116178e-12,0.000000000000000000e+00,8.545610927910171110e-06,2.884908939294495744e-11,0.000000000000000000e+00,2.628498959357200604e-08,1.082691179735227959e-09,4.630700448867562291e-07,0.000000000000000000e+00,4.989091318779918099e-02,1.396094749658584998e-20,3.807274319068931228e-10,1.192195279708448843e-08,2.200598909461843877e-10,1.705088959583020602e-09
1.124999999999999915e-03,1.842129379999999858e-02,0.000000000000000000e+00,3.493476109999999721e+02,5.714963090000000356e-01,9.175071810148666129e-01,4.533250493308583172e-03,8.341730614322408732e-12,5.428982050073924256e+03,9.790258666666677989e-01,2.061227440252319520e-03,7.400793460905949429e-15,3.645766230446285992e-17,1.304528470159690438e-07,2.909653970356177633e-16,1.598323440195654685e-02,4.282491670524229728e-13,2.591721430317258545e-12,0.000000000000000000e+00,2.629197140321845971e-30,8.594614591052085539e-18,1.193471380146095496e-24,4.260436060521529568e-09,9.066290561109825452e-01,5.895931900721734266e-03,5.779857690707526120e-03,8.237529531008375082e-12,1.431467850175229070e-07,3.503854240428914658e-13,1.112623370136198756e-14,1.095347080134083933e-07,1.715659170210017662e-25,1.282568550157002192e-03,1.917643490234743055e-13,1.187920480145415991e-04,4.666466890571233061e-09,2.246211170274963934e-05,1.068805810130834920e-16,1.012882740123989253e-06,2.631728940322155841e-07,0.000000000000000000e+00,7.003912610857364771e-16,9.241901731131323804e-16,5.454993470667758106e-06,7.923930630969986849e-24,6.408428870784470494e-06,3.144637100384942473e-10,5.303458450649208700e-09,2.537569920310629923e-12,0.000000000000000000e+00,1.138875640139412257e-05,3.825455490468283061e-11,0.000000000000000000e+00,3.456352830423100023e-08,1.423687090174276755e-09,6.089149440745386930e-07,0.000000000000000000e+00,6.220127870761420208e-02,1.374682390168278070e-20,5.459434270668302204e-10,1.698340120207897565e-08,3.010320170368500313e-10,2.339200540286346637e-09
1.500000000000000031e-03,1.878842849999999912e-02,0.000000000000000000e+00,3.711322299999999927e+02,5.420677790000000273e-01,8.979693894202205318e-01,5.454917274328180930e-03,-2.681483054710063569e-11,7.141018796749976900e+03,6.396746666666732750e-01,2.192795840421108561e-03,1.718899810330100522e-14,1.054907190202586142e-16,1.596545680306603466e-07,3.841357920737701052e-16,1.942470940373035304e-02,6.756817171297591545e-13,3.177575700610226868e-12,0.000000000000000000e+00,2.491160080478406635e-29,3.466951260665798758e-17,4.234746780813247627e-24,5.556355561067052343e-09,8.851767291699909057e-01,7.241964991390759457e-03,7.470789941434703013e-03,1.169789320224648298e-11,1.862920710357758437e-07,5.037477270967405354e-13,1.256253320241253115e-14,1.430221040274662098e-07,7.917285141520448967e-25,1.647313200316352774e-03,4.819222750925492431e-13,1.537071550295181915e-04,6.226627811195772705e-09,2.960408970568522197e-05,8.072791041550313022e-16,1.360021090261180659e-06,3.533676850678613287e-07,0.000000000000000000e+00,1.727270080331708070e-15,1.896655790364237499e-15,6.663439391279658804e-06,4.241087240814465928e-23,7.873628521512065196e-06,3.941595620756950958e-10,6.863595591318096339e-09,3.114136710598044409e-12,0.000000000000000000e+00,1.489458440286038181e-05,4.944284000949508729e-11,0.000000000000000000e+00,4.469932390858413409e-08,1.841184070353584122e-09,7.874795191512289548e-07,6.466232311241786150e-18,7.662987111471612767e-02,1.347463960258769414e-20,7.660509861471138078e-10,2.363939770453974935e-08,4.028685730773675443e-10,3.145219010604013029e-09
1.874999999999999931e-03,1.902830650000000151e-02,0.000000000000000000e+00,3.955535249999999792e+02,5.132157429999999465e-01,8.755617370633473895e-01,6.482197462245940615e-03,-1.805726019614431400e-10,9.003344882395194873e+03,2.270277333333293179e-01,2.320814170869524296e-03,4.013340451503652592e-14,1.933668790724475304e-16,1.927677050722230696e-07,4.913293481840832734e-16,2.324890920871052272e-02,1.040244620389741836e-12,3.843092331439867302e-12,0.000000000000000000e+00,9.240907393462231723e-29,6.929752352596325798e-17,1.635602680612800783e-23,7.269487542723612615e-09,8.606077013224383565e-01,8.775114543287715688e-03,9.488145643554863826e-03,1.599018430599094049e-11,2.377915440890918548e-07,7.266969122722668964e-13,1.381613080517640171e-14,1.831374130686149329e-07,3.476858991302652671e-24,2.079630880779161691e-03,1.190081770445880527e-12,1.953137960731769881e-04,8.178973273064363602e-09,3.827890991434171737e-05,1.850601740693353336e-15,1.787985290669893237e-06,4.645620691740545371e-07,0.000000000000000000e+00,4.161726681559247959e-15,3.106116521163749211e-15,8.016149713003359778e-06,2.227994420834748755e-22,9.542297773575151852e-06,4.845396521815394105e-10,8.726095393269350954e-09,3.766868981411308803e-12,0.000000000000000000e+00,1.909549520715438916e-05,6.187943742318397469e-11,0.000000000000000000e+00,5.679121292127759881e-08,2.339253400876433025e-09,1.000504990374852831e-06,1.366126280511837623e-17,9.320544913492069539e-02,1.313995730492306472e-20,1.048543530392851015e-09,3.210623291202903870e-08,5.261015111971111665e-10,4.138804971550660311e-09
2.249999999999999830e-03,1.911344189999999998e-02,0.000000000000000000e+00,4.224664149999999836e+02,4.855720199999999931e-01,8.504012981354707179e-01,7.601559576777570937e-03,-7.106032564709952703e-10,1.170594632690262188e+04,-5.221811999999991238e-01,2.443524190590679393e-03,9.324628972254067415e-14,3.322107710803061956e-16,2.295136980554809386e-07,6.070125201467347515e-16,2.739832830662307026e-02,1.537969120371777312e-12,4.582851041107824375e-12,0.000000000000000000e+00,1.781871270430736342e-28,1.265659980305951265e-16,6.790474691641479510e-23,9.520301332301366830e-09,8.330513262013756748e-01,1.048391000253430343e-02,1.183373950286060149e-02,2.032900850491418508e-11,2.975712660719327083e-07,1.047587280253236081e-12,1.480272850357829999e-14,2.298632240555654311e-07,1.415034380342060135e-23,2.579097810623452291e-03,2.870159690693811171e-12,2.435975020588854515e-04,1.056351950255354810e-08,4.852900891173104927e-05,3.783129520914506421e-15,2.300153540556022116e-06,5.976326071444673115e-07,0.000000000000000000e+00,9.726163982351131625e-15,4.821949771165622680e-15,9.494982452295246906e-06,1.121476010271097569e-21,1.140167750275615685e-05,5.835210871410561427e-10,1.089216930263299222e-08,4.484646101084085271e-12,0.000000000000000000e+00,2.398761230579858918e-05,7.419124121793443599e-11,0.000000000000000000e+00,7.084573561712572208e-08,2.918164720705415612e-09,1.248106530301707984e-06,2.327334080562592177e-17,1.118680050270421528e-01,1.274137750308000740e-20,1.395087110337237955e-09,4.251284711027674053e-08,6.685672911616145139e-10,5.325168661287267106e-09
3.000000000000000062e-03,1.872180600000000056e-02,0.000000000000000000e+00,4.827613109999999779e+02,4.356292920000000013e-01,7.930227533260965078e-01,1.004015335901889926e-02,-6.405858739065781612e-09,1.458112391941013630e+04,-1.696960799999999159e+00,2.668211979491244817e-03,4.268243529186161971e-13,7.676578278536285262e-16,3.118390959405407966e-07,8.944870698294457096e-16,3.637026429306518260e-02,2.941912109439057261e-12,6.243759248809484761e-12,0.000000000000000000e+00,0.000000000000000000e+00,3.209076029388116783e-16,9.236245398238899852e-22,1.600453199694837166e-08,7.702912718531264025e-01,1.433525509726665641e-02,1.740671459668101384e-02,2.396337739543083376e-11,4.387613169163401496e-07,2.074493459604450589e-12,1.584634329697853222e-14,3.407257599350328172e-07,1.877525559642007003e-22,3.755437999283939808e-03,1.329700659746462131e-11,3.578528629317671958e-04,1.661088429683275537e-08,7.335447278601329058e-05,1.207502099769762045e-14,3.558320669321525025e-06,9.245159078237199520e-07,6.586550188744124524e-20,4.417928759157621164e-14,1.126535989785200248e-14,1.272808169757310180e-05,2.070746989605164778e-20,1.559011229702738803e-05,7.962623438481743666e-10,1.603621499694233134e-08,6.003428658855309776e-12,1.187025479773666610e-22,3.558140329321559227e-05,9.032535588277741222e-11,0.000000000000000000e+00,1.042026469801313864e-07,4.292151009181602868e-09,1.835761669649970138e-06,5.714939568910315725e-17,1.546700889705086290e-01,1.176948889775587773e-20,2.239604499572968616e-09,6.882337578687725367e-08,9.888522268114527893e-10,8.213265908433954253e-09
3.749999999999999861e-03,1.744908540000000147e-02,0.000000000000000000e+00,5.500797390000000178e+02,3.936634749999999849e-01,7.289841625988319196e-01,1.260186423803058564e-02,-3.801963266250246621e-08,1.618497207321381575e+04,-2.939084266666670331e+00,2.860902480453724785e-03,1.608035130255026223e-12,1.417914590224874229e-15,4.015534560636843134e-07,1.967831160312088025e-15,4.568938470724610845e-02,5.156157530817740476e-12,8.057848981277934773e-12,0.000000000000000000e+00,0.000000000000000000e+00,6.373327101010777828e-16,8.179794851297274388e-21,2.691673030426885793e-08,7.003384141110701178e-01,1.856111280294369878e-02,2.387294920378612781e-02,1.758592100278903495e-11,6.006433330952589969e-07,3.925775410622607816e-12,1.758354970278866194e-14,4.684977990743013624e-07,3.114673000493971106e-21,5.105722880809742022e-03,4.778726330757881373e-11,4.895146500776345480e-04,2.393968820379671385e-08,1.027026350162881223e-04,3.402125010539560227e-14,5.065158170803308154e-06,1.315956700208704080e-06,1.043463850165487919e-18,1.586212820251565279e-13,3.085595420489359137e-14,1.613393970255876057e-05,2.526223290400646520e-19,2.018173610320072101e-05,9.987521671583970280e-10,2.198923240348738076e-08,7.282771401155010784e-12,1.977931370313690069e-21,4.891010850775689506e-05,6.303913320999767973e-11,0.000000000000000000e+00,1.428214840226507605e-07,5.882881680932995515e-09,2.516110080399042378e-06,1.192867800189182647e-16,2.028833640321762721e-01,1.061820910168399450e-20,2.908854250461329433e-09,1.004485020159306202e-07,1.254329910198930281e-09,1.147742430182026096e-08
4.499999999999999660e-03,1.524477219999999938e-02,0.000000000000000000e+00,6.231069919999999911e+02,3.589677359999999817e-01,6.615154780437630944e-01,1.514141933800130721e-02,-1.579614079278286819e-07,1.632466895237567223e+04,-4.150673333333327442e+00,3.020321628680897996e-03,4.905767767857443575e-12,2.138031079066232009e-15,4.937640147843523483e-07,9.824454585709247177e-15,5.481469857606011131e-02,8.781433686164777195e-12,9.925048285665311607e-12,0.000000000000000000e+00,0.000000000000000000e+00,1.013180219557501479e-15,4.754302497923595496e-20,4.592936887994070537e-08,6.267163537262865347e-01,2.292938498998577102e-02,3.086825758651853130e-02,1.187455139481388344e-11,7.731690426623244957e-07,6.727481867061824935e-12,2.066618789097420402e-14,6.052947317356422897e-07,9.978090905642146415e-20,6.551260867138787580e-03,1.314820599425762378e-10,6.307749407245139819e-04,3.068477728659866488e-08,1.348765479410937306e-04,9.705868645761037472e-14,6.732566557059604278e-06,1.748992469236141142e-06,1.849426219192277577e-17,4.470278078047640753e-13,8.779235366165737126e-14,1.951497099147698780e-05,2.042182629108092553e-18,2.492375858911474390e-05,1.155333799495416882e-09,2.838953698760109144e-08,7.896882216551097094e-12,5.114193727766415998e-20,6.313357027242690327e-05,1.995600889128437076e-11,0.000000000000000000e+00,1.844800669194297758e-07,7.598816346681276215e-09,3.249975228580598459e-06,2.203243739037750475e-16,2.542124448889747090e-01,9.359746485912203810e-21,2.322875178985502456e-09,1.337268319415958504e-07,1.278007629441840240e-09,1.441796209370306770e-08
