x,Z,T,rho,PV,SourcePV,psi,mu,Cps,alpha,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.0,0.121602,294.0,1.0898107933117287,4.888348058160763e-06,9.1848794137067e-10,1.07555962823758e-05,1.7073989638334962e-05,1156.31553556187,2.1999271911962216e-05,1.958251652376377e-05,8.104334901085123e-17,-3.382077755038208e-17,0.2045827934620369,-4.783758167632285e-16,1.364249812349548e-07,2.056908976026402e-12,9.023748210833523e-11,-1.710723815017601e-15,-8.087575325595522e-17,1.33201657291937e-15,1.395464803099572e-30,2.555360074951125e-16,0.1215968991586684,3.469997806393215e-08,9.432127243573157e-10,3.150018824281405e-24,1.054449171575e-10,-5.472403594637833e-29,2.365381904168443e-22,3.297097476896236e-11,-4.788646684910733e-17,1.67741600610112e-10,-2.924772772655133e-32,2.524879653268256e-10,-2.553556891284306e-26,5.053284546769171e-11,-5.460698860142903e-26,8.544827671210294e-12,3.436456746748442e-15,5.405358349774304e-16,1.117982350369302e-15,-8.250798656109983e-18,9.311949138834246e-15,3.653799463610861e-32,3.848099473282886e-16,-2.369320613511504e-16,6.538328506906593e-16,-2.079739822876183e-15,7.9006158107366e-17,9.177313484864714e-15,-5.895388571754607e-15,-5.214446457149619e-26,4.829875952689512e-18,6.765523951307652e-20,7.843269197542453e-17,1.015217959458106e-17,0.6738005520843989,4.407585006878992e-53,1.040697011786637e-21,7.210462309546959e-14,-2.755093131727658e-24,1.31811007115137e-13
0.008,0.121602,294.0180915038816,1.0891006971666246,1.741881368480092e-05,6.079448467446237e-16,1.0748588178303716e-05,1.7074720079281653e-05,1156.963166455572,2.2048122229596903e-05,6.899651261723555e-05,1.340598897493665e-22,-2.361148169822497e-16,0.2045717907823029,1.810085730538596e-20,1.320521504893605e-06,2.120943262502058e-11,9.359912546433277e-10,-4.056978845723357e-23,-2.943915677695931e-25,6.451943968410888e-22,1.338467838548985e-29,4.233676800011634e-16,0.121583302222584,3.588039365398589e-07,1.251254479973233e-08,-1.150580198367633e-23,1.421906992983954e-09,-7.390636303170586e-28,3.21128243237032e-21,4.518187000809568e-10,-6.223461340500761e-25,2.120493615028817e-09,1.479070754785597e-30,3.307126256331091e-09,-3.579756108434656e-25,7.138582991799259e-10,-4.724193122175791e-25,1.318463030298102e-10,5.319526232426139e-14,6.930446539368934e-18,1.075982977125881e-19,-7.369305983432815e-18,9.22036738676496e-14,2.990700854140871e-31,4.004434533969767e-15,6.339276526938499e-15,8.743954135874119e-15,-2.068409681401143e-15,2.935296596315736e-24,2.088802475876548e-14,-5.89536227061377e-15,-4.560740826372327e-25,6.408450618775568e-17,9.005738015733648e-19,1.044738472035e-15,1.346206243826e-16,0.6737742095367978,1.592737870768224e-53,1.862456005546625e-20,1.269674497993902e-12,-4.267054392197569e-23,2.050572147545011e-12
0.012,0.121602,294.0851544803808,1.0879233688728456,3.6188571467107644e-05,-6.516373383463174e-19,1.073696885144678e-05,1.7077610160300177e-05,1157.915175474825,2.2123939138364008e-05,0.0001404975023089669,-1.88718479282653e-25,-6.595919219248073e-17,0.2045543868575822,-1.713139728149054e-20,5.767399000938447e-06,9.771922257969965e-11,4.332117153435562e-09,-2.09572420385888e-30,-2.353105936774422e-33,-1.242874785310419e-25,-2.814852318791514e-33,4.358573803206307e-15,0.1215614508014561,1.656327331105133e-06,7.152061187553006e-08,-9.04588263730925e-25,8.24440917384373e-09,-1.287097197551441e-27,1.524597206491275e-19,2.656894054496678e-09,-1.705727157992317e-32,1.162326570748116e-08,7.471111263839126e-31,1.869504758115936e-08,1.661937506541273e-25,4.311278589085462e-09,-7.238388034547147e-25,8.607047122103858e-10,3.47329529648694e-13,1.891620654623115e-19,1.030483421095269e-23,-6.555234375896658e-18,4.104168585022871e-13,-4.219079479558405e-34,4.089085502832693e-15,3.698102861133167e-14,5.033070330070319e-14,-2.061828309082113e-15,2.322701951948316e-31,8.247280485116437e-14,-5.895235936414984e-15,-4.439068646238109e-32,3.675146342810918e-16,5.165788287840417e-18,5.962605049195547e-15,1.274924598884412e-16,0.6737361187464165,1.314030946176977e-53,1.389675431125893e-19,9.4764175300202e-12,-6.741663013787009e-23,1.348474175617815e-11
0.016,0.121602,294.4372286650031,1.0845268015063707,8.189085669188378e-05,5.035200584913125e-15,1.0703447337837355e-05,1.7093114989966893e-05,1160.1446885386822,2.2321062777890025e-05,0.0003023677137544397,3.791094554268112e-24,-1.703279318117113e-17,0.2045068604673987,5.503826704015295e-19,2.952009031572066e-05,5.316813840841662e-10,2.365194192119678e-08,-1.175472930606204e-37,-6.924629226164402e-41,-2.240604219968809e-25,2.682939486994145e-32,2.667651468915738e-14,0.1215018443682938,9.017055748445851e-06,4.925382060188009e-07,-1.328147694976335e-24,5.766642177486008e-08,1.029134396926494e-26,5.056795436348652e-18,1.887195746030271e-08,1.213777188313322e-36,7.646285430953913e-08,7.236705930907768e-28,1.271993305174488e-07,6.47944882279143e-23,3.1528213139058e-08,-1.223823411558101e-24,6.848673008822677e-09,2.763806651616921e-12,5.44675199024457e-21,-6.629810878204312e-23,-5.245778126986451e-18,2.14557658789473e-12,8.592552473912358e-33,4.55952433340604e-15,2.376865956050287e-13,3.49270791685e-13,-2.050582489571565e-15,1.977672294349046e-38,5.348609232836061e-13,-5.894295589131763e-15,-4.283419278364127e-39,2.540728221236511e-15,3.571404317505326e-17,4.114653478353468e-14,1.141594440098585e-16,0.6736495548038018,1.163587253999397e-53,1.273777562863139e-18,8.720698970593014e-11,-1.187082310635398e-22,1.08153441447689e-10
0.018,0.121602,295.1696334492643,1.0798046160189698,0.00013284180251413706,4.009678626748708e-14,1.0656842990564709e-05,1.7125601885036893e-05,1162.4632336332293,2.2563484764887897e-05,0.0004600097056646473,4.297729327402981e-23,-6.134850702327516e-18,0.2044428635535608,4.312224900022363e-18,7.999989324236274e-05,1.517276316777796e-09,6.723322468293296e-08,-1.524510879870029e-44,7.353835210200043e-42,-2.777113335979443e-25,6.800000970374424e-31,7.430999367882986e-14,0.1214248895883448,2.557996609396554e-05,1.670100065103454e-06,4.969662525087927e-24,1.978952522930091e-07,3.382546815009835e-25,4.006951553478887e-17,6.554510899081145e-08,3.332762703161156e-35,2.502650344630515e-07,1.715540888284215e-26,4.272841164223623e-07,1.097630252702816e-21,1.120434286522981e-07,-1.135026544757018e-24,2.60163351680794e-08,1.049903337269541e-11,3.357340285809e-22,-1.89783435820308e-22,-4.38089240047132e-18,5.905839265211941e-12,1.004189083445662e-31,5.748551687538957e-15,7.551457284436341e-13,1.191376932987154e-12,-2.036678901971645e-15,4.969968462941945e-39,1.835669867538481e-12,-5.891560348120843e-15,1.431484381774293e-41,8.641313104782572e-15,1.214685970367928e-16,1.39885900272415e-13,1.042081712595251e-16,0.6735638385868514,1.137940559707524e-53,5.458012300744179e-18,3.726005533637302e-10,-1.43083504966407e-22,4.134541950647481e-10
0.02,0.121602,297.4216079440752,1.0683495904111249,0.00023409452629475822,3.7979557870378074e-13,1.0543790677632609e-05,1.7225502318090608e-05,1166.6527031346889,2.3099365580912304e-05,0.0007168445503402398,6.528948245392658e-22,-1.284098478899282e-18,0.2042843902513146,3.902053216523828e-17,0.000239300481143719,4.848390576452283e-09,2.124474475438351e-07,7.538459582860543e-47,9.053447652920673e-41,-2.306648581368518e-25,1.880408350451396e-29,2.258512792011314e-13,0.1212496081716771,8.065394310137621e-05,6.439023827541521e-06,2.392139207780054e-22,7.731079963017671e-07,1.214027381668684e-23,3.843063944755793e-16,2.595403596154212e-07,1.373480764728753e-33,9.273462814764311e-07,5.922240890226918e-25,1.630058330132915e-06,2.797582097960272e-20,4.553824845451064e-07,1.229636280367062e-23,1.139020049229795e-07,4.596588320873233e-11,1.927555767192344e-23,-6.281868681640459e-22,-3.312437225191489e-18,1.798383333602576e-11,1.677777990833143e-30,1.000194005518017e-14,2.700797756003043e-12,4.624258168978427e-12,-2.000404919647874e-15,2.133833286919157e-37,7.23694506828411e-12,-5.880112191488577e-15,2.846879354106186e-40,3.343122305403094e-14,4.699360552808141e-16,5.410902521884423e-13,8.9688995331342e-17,0.6734183831831376,1.120255154566387e-53,2.789477972434613e-17,1.859961621901657e-09,-5.629212466883724e-23,1.822977083499323e-09
0.022,0.121602,304.2047768043753,1.0393390418607724,0.0004548640307075108,3.8291969394789255e-12,1.0257478824187235e-05,1.752431110236327e-05,1174.722649284063,2.4406101869197532e-05,0.001132600458339603,1.213459476794075e-20,9.363522539144554e-19,0.203846278851995,3.458798104436888e-16,0.000736095315218711,1.639443583177689e-08,6.917319061050444e-07,1.462996445678462e-39,1.028308068689547e-32,7.162424081243017e-25,5.313562249712069e-28,7.156514920588069e-13,0.1208194842071052,0.0002621602625322458,2.554896624441272e-05,8.523883858968578e-21,3.10504406051873e-06,4.301432157161122e-22,3.959934330294367e-15,1.056473462342821e-06,8.49378147695996e-32,3.538303390481479e-06,2.331740360208954e-23,6.39943569160106e-06,8.135246970292597e-19,1.903966842532237e-06,5.653748053129628e-22,5.121628577665409e-07,2.066869533269032e-10,8.970805487296092e-25,-2.379885878272976e-21,-2.022554566371682e-18,5.634364625783433e-11,4.131022758313957e-29,2.554911327626119e-14,9.941485039148632e-12,1.847198644307067e-11,-1.898412465637657e-15,1.319578327253203e-35,2.93978633351604e-11,-5.832841670414834e-15,1.883019056459554e-33,1.331116182785381e-13,1.871130995360948e-15,2.154299863886616e-12,6.821511935523884e-17,0.6731605903214011,1.105718226752983e-53,1.599749157793235e-16,9.52637142378151e-09,3.798457952999801e-21,8.254440834921773e-09
0.024,0.121602,323.7396147560805,0.9688645632473764,0.0009748133796040191,4.075838925426331e-11,9.56194979765483e-06,1.8366208251581232e-05,1191.5485958694699,2.7838187725217705e-05,0.001792094744787708,2.941313272797146e-19,9.212584432386939e-18,0.2025639556980839,2.659546799834033e-15,0.002232324378135801,5.920574722416225e-08,2.229159083297413e-06,2.662689268682502e-32,2.810856545471628e-33,3.101406473531252e-23,1.438867695168145e-26,2.447665872255449e-12,0.1197224659871451,0.0008445588102595501,9.977623770889834e-05,2.588184574575611e-19,1.223902235311113e-05,1.26582961021102e-20,4.310964128046089e-14,4.2197821411627e-06,1.219475743514849e-29,1.330694745077156e-05,1.011929051605716e-21,2.472207078952369e-05,2.064059408041347e-17,7.826680967708535e-06,2.163574985021834e-20,2.256030476893677e-06,9.104385321740033e-10,2.691462956012115e-26,-1.133562668118939e-20,-4.614165906862285e-19,1.741906578574087e-10,2.108052886388499e-27,8.694015498406891e-14,3.607752509454225e-11,7.262579697353113e-11,-1.616991801958426e-15,1.690958500716555e-33,1.171946705285642e-10,-5.644614438293889e-15,-8.286053298745863e-34,5.216940186911221e-13,7.333404238837763e-15,8.443001041394804e-12,3.771341426421155e-17,0.6726778795326622,1.090346269273462e-53,1.169604569414e-15,4.778152027394865e-08,2.654119333481159e-19,3.660931885171184e-08
0.025,0.121602,346.0874180235784,0.9011561718346432,0.0015173818015388335,1.9609214894457467e-10,8.89371992928342e-06,1.9298191360401623e-05,1207.8320448568477,3.1738761508291185e-05,0.002254076688987856,2.595536755777865e-18,4.112708424014906e-17,0.2009891567881656,9.392225161263572e-15,0.004017400542857255,1.338639383883384e-07,4.183218171020142e-06,3.143190331887529e-33,-4.78448127005535e-35,3.329095080122e-22,1.293904890839336e-25,6.054062122690125e-12,0.1185354187813363,0.001588014363269798,0.00021186197670531,1.984182522345702e-18,2.607674987151623e-05,9.300439635565206e-20,2.048043142233534e-13,9.071502782466434e-06,4.512475902709371e-28,2.757776686909792e-05,1.13983499486155e-20,5.209306876103e-05,1.433037031936205e-16,1.719789244561101e-05,1.989561871541933e-19,5.18401104946434e-06,2.092050139345763e-09,1.126041982594915e-27,-3.059252025310569e-20,6.318792120172039e-19,3.176388488216514e-10,3.91244084919792e-26,2.064567005612158e-13,7.29910023049162e-11,1.549253984408498e-10,-1.325193016915104e-15,5.397636070872459e-32,2.514891876050388e-10,-5.355480999710875e-15,1.260955361133066e-33,1.110536308125403e-12,1.561074097905137e-14,1.797263037242184e-11,2.106697320882779e-17,0.6722623448596238,1.081388118574215e-53,5.924469908357641e-15,1.20493811981818e-07,4.161159878570556e-18,8.451774044692186e-08
0.026,0.121602,385.0947398429805,0.8041188621981692,0.0024383209495577973,1.1476214639738918e-09,7.9360361430858e-06,2.0856143261100596e-05,1234.7673500090673,3.8855864551094445e-05,0.002819442683328807,3.570163532662446e-17,2.25197734745334e-16,0.1979832411437682,3.585940091773704e-14,0.007250667742546763,3.256350109866917e-07,7.95117262822062e-06,-2.73891753139902e-34,7.664526256054523e-35,4.834576749922921e-21,1.551505354799092e-24,1.843960832808593e-11,0.1164888432186556,0.003030633932832094,0.0004607352164421687,1.816293758610433e-17,5.672117530096181e-05,7.621121046532862e-19,1.088140361373146e-12,1.99310342876161e-05,4.012994018782459e-26,5.842692480685212e-05,1.911355813179813e-19,0.0001122579391395684,1.121009739016238e-15,3.884224912543562e-05,2.172330942378042e-18,1.226810221059976e-05,4.950900360145419e-09,-8.731183530792129e-29,-8.792255791783192e-20,2.459291485970528e-18,5.825864932309548e-10,1.580015499584932e-24,5.521082992513862e-13,1.50490741206622e-10,3.386987973155301e-10,-8.688129784645608e-16,3.720275294565438e-30,5.510174983938951e-10,-4.708685823418462e-15,6.509998439688195e-35,2.422212948354799e-12,3.404898321949129e-14,3.920037199517436e-11,7.289122038159397e-18,0.671659187030601,1.070890286650858e-53,3.773284920138542e-14,3.171118833169604e-07,1.000304539726645e-16,2.010549170273897e-07
